报表日期,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,3625.87,4517.0,7770.96,6819.79,57557.98,55790.07,53068.71,51661.52,52867.37,50827.99,48908.72,50679.6,54545.64,45477.07,49205.92,48243.84,61180.05,59714.95,59096.2,53780.67,56541.0,54347.53,52353.34,58552.8,76218.15,41825.98,51149.86,71555.05,105031.9,480351.78,315874.98,317082.39,322097.09,330980.41,338682.8,335509.27,247988.82,266399.76,221953.98,239566.74,231906.24,160256.29,180159.05,138000.61
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814.09,4099.74,0.0,0.0,0.0,0.0,0.0,119135.46,247897.76,254813.96
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87487.49,0.0,94038.25,0.0,123412.09,0.0,134661.51,165226.19,175647.15,205048.69,183330.89,203439.17,199784.32,208171.9
应收票据,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.25,0.0,0.0,0.0,89.4,89.4,0.0,0.0,0.0,0.0,445.27,239.31,581.98,368.31,537.2,2176.07,1374.22,2504.95,5931.5,3897.31,4543.82,2420.4
应收账款,1079.17,3109.43,2633.46,3840.57,3060.08,3034.74,4026.86,5266.62,6741.05,6407.42,7906.13,7296.55,7214.5,8780.82,8522.73,9264.55,8786.59,11912.49,13534.72,15091.33,20183.69,26936.3,34502.65,34515.07,29666.17,41201.41,49820.53,58829.87,68606.69,86045.25,87487.49,101466.97,93592.98,121522.65,122830.11,128879.85,134124.31,163050.12,174272.93,202543.74,177399.38,199541.87,195240.5,205751.5
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,135.45,666.96,635.75,569.03,239.93,169.71,61.73,239.91,588.47,79.67,146.44,224.46,731.76,267.38,218.45,296.41,419.43,315.81,366.17,461.97,1841.93,1769.38,1000.07,629.13,3421.26,1650.19,11378.82,12653.32,4490.36,2962.78,3943.54,8477.7,3228.23,6539.76,5466.14,5270.36,4969.34,5657.6,7440.64,7423.6,4305.95,3340.63,5361.39,4913.14
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6523.18,0.0,12686.33,0.0,21012.02,0.0,10995.49,18063.26,17545.02,17345.35,15416.95,13585.57,3738.55,6380.91
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.98,703.98,703.98,703.98,822.05,822.05,822.05,822.05,914.04,875.41,834.35,814.04,1963.31,1920.45,1876.98,1611.7,1805.78,1304.56,1280.82,1130.61,526.55,335.19,330.66,330.66,7325.62,9680.99,11647.31,13886.38,7519.7,13060.59,12877.78,0.0,13080.1,9533.85,1934.58,2201.37
