报表日期,2009-12-31,2010-12-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,248587.78,276471.52,254204.49,344796.23,99420.24,192771.25,292274.35,390515.3,111748.67,218165.87,332373.42,443704.23,121395.85,238008.12,359715.38,476421.09,132095.27,264435.82,407585.25,548617.98,158728.08,307079.89,471559.13,632162.68,173634.08,343277.29,521462.12,693894.43,184249.25,361624.44,546089.7,722001.76,189210.57,382935.31,588773.5
营业收入,248587.78,276471.52,254204.49,344796.23,99420.24,192771.25,292274.35,390515.3,111748.67,218165.87,332373.42,443704.23,121395.85,238008.12,359715.38,476421.09,132095.27,264435.82,407585.25,548617.98,158728.08,307079.89,471559.13,632162.68,173634.08,343277.29,521462.12,693894.43,184249.25,361624.44,546089.7,722001.76,189210.57,382935.31,588773.5
二、营业总成本,235617.76,259731.78,240438.56,326309.83,94581.26,181400.46,277582.99,371931.14,106847.66,206187.05,317237.37,427729.14,116364.45,228294.42,345987.27,462819.69,126469.28,251996.31,391443.95,532153.5,153696.86,296510.47,457926.94,618196.87,168687.56,331811.0,504707.31,671869.45,178467.08,346758.42,521446.43,692040.35,183318.03,364681.58,557403.39
营业成本,190091.37,210625.39,192315.97,260036.61,74615.75,142953.46,218001.91,288500.99,83810.56,159133.55,244239.05,325686.94,89798.96,174290.84,264112.93,351659.26,98256.57,193304.06,297390.39,399799.48,115751.27,223104.91,344374.1,460142.69,126795.39,248798.35,378873.3,501532.36,133786.95,258485.38,387901.08,509995.93,132656.77,267200.57,411861.91
营业税金及附加,1758.92,1831.35,1785.6,2460.54,665.95,1395.66,2192.52,2963.68,781.14,1664.11,2542.77,3509.9,967.53,1980.65,2974.71,3958.8,1062.39,2237.6,3464.01,4624.58,1168.07,2012.08,2641.4,4404.64,638.81,1957.26,2707.41,3914.34,751.02,1989.97,2884.91,4244.76,980.83,2287.6,3108.93
销售费用,37907.76,40654.15,41050.89,55836.8,17707.08,33284.88,51954.27,72012.72,20693.22,41782.17,66457.64,90675.53,24180.83,48572.56,73404.17,97974.67,25361.1,52214.47,83433.12,115949.19,34573.99,65560.53,102263.37,142414.35,38489.36,75600.78,115048.82,154270.87,40898.36,80745.48,122412.31,161586.71,46290.2,88023.17,132456.33
管理费用,5994.19,6513.5,5077.54,7698.59,1519.08,3616.34,5223.84,8139.8,1556.12,3629.36,5324.35,9869.13,1405.12,3404.87,5407.81,9088.52,1789.44,4431.17,6874.46,11427.03,2053.35,5602.77,8225.5,10632.66,2292.46,4646.36,6867.41,9791.11,2523.61,4865.2,7141.27,13056.83,3024.66,6832.32,10097.96
财务费用,131.31,150.98,209.5,277.32,73.4,153.43,213.77,320.11,6.62,-16.53,-1321.0,-2007.37,12.02,35.51,77.64,125.56,-0.22,-192.21,281.96,366.4,44.51,124.52,316.91,596.64,471.54,808.26,1210.37,1729.72,507.14,672.39,1106.87,915.66,365.57,337.93,-121.73
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值损失,-265.8,-43.59,-0.94,-0.03,0.0,-3.31,-3.31,-6.16,0.0,-5.62,-5.43,-5.0,0.0,9.99,9.99,12.87,0.0,1.22,0.0,-13.18,105.66,105.66,105.66,5.89,0.0,0.0,0.0,631.05,0.0,0.0,0.0,2240.47,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,15.58,0.0,0.0,0.0,0.0,0.0,0.0,83.53,0.0,94.52,123.86,1055.97,0.0,2574.64,2574.64,5241.09,0.0,1235.34,1811.37,3718.41,0.0,150.68,268.6,119.64,-280.6,-768.54,-2000.62,-2133.5,863.33,2284.96,3706.67,5651.32,2867.91,7463.73,13055.78
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-802.94,-2075.57,-2539.89,863.33,2162.63,3584.34,5528.99,2651.14,7002.86,12594.9
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,12985.61,16739.74,13765.92,18486.4,4838.98,11370.79,14691.36,18667.68,4901.01,12073.34,15259.91,17031.06,5031.4,12288.34,16302.76,18842.49,5625.99,13674.86,17952.67,20182.89,5031.22,10720.11,13900.8,14085.45,4665.91,12065.3,16603.06,21322.71,6560.2,17820.66,29354.06,37374.93,8817.43,26105.93,45398.26
加:营业外收入,1310.78,1113.77,1277.08,1838.25,183.08,596.04,794.29,1804.45,298.07,441.16,859.65,1955.06,393.82,418.48,572.04,1665.17,122.05,370.34,415.82,1574.44,716.13,1476.86,2095.36,3568.88,386.2,56.74,76.51,241.1,54.98,86.15,124.21,327.84,14.85,66.56,76.6
