报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
一、营业总收入,467840.94,920647.02,1484135.82,2070637.45,654728.56,1457300.14,2298196.41,2921665.48,589650.95,1207152.56,1906458.0,2656551.44,708442.46,1625563.24,2599265.13,3711500.71,1061562.26,2213997.88,3314175.78,4239099.7,974802.16,1883645.41,2685706.43,3727636.16,937943.99,1815433.95,2761600.82,3684887.87,927966.84,1846914.39,2722835.34,3561858.08,658774.84,1324901.44,1947086.9,2590945.86,614659.42,1228316.7,1862463.52,2665040.13,904465.16,1909477.89,2991904.51,4155716.91,1135040.57,2258328.85,3445323.52,4735111.02,1026074.46,2287777.37,3512175.35,4862010.18,1068703.84,2300340.52,3716672.7,5469398.76,1760930.64
营业收入,467840.94,920647.02,1484135.82,2070637.45,654728.56,1457300.14,2298196.41,2921665.48,589650.95,1207152.56,1906458.0,2656551.44,708442.46,1625563.24,2599265.13,3711500.71,1061562.26,2213997.88,3314175.78,4239099.7,974802.16,1883645.41,2685706.43,3727636.16,937943.99,1815433.95,2761600.82,3684887.87,927966.84,1846914.39,2722835.34,3561858.08,658774.84,1324901.44,1947086.9,2590945.86,614659.42,1228316.7,1862463.52,2665040.13,904465.16,1909477.89,2991904.51,4155716.91,1135040.57,2258328.85,3445323.52,4735111.02,1026074.46,2287777.37,3512175.35,4862010.18,1068703.84,2300340.52,3716672.7,5469398.76,1760930.64
二、营业总成本,442460.29,865815.76,1402822.16,1962455.24,646826.16,1423953.65,2270240.57,2919432.78,641142.19,1249236.43,1896275.81,2622512.57,703011.76,1581372.8,2544252.2,3638314.35,1048110.32,2183861.32,3277125.76,4196320.62,973688.22,1883619.72,2703704.57,3723162.21,929055.85,1824764.61,2763209.64,3665010.11,914218.25,1823709.19,2699370.36,3546428.94,694076.02,1388941.65,2046528.1,2713764.56,612712.34,1220431.11,1850488.29,2642148.1,884881.92,1870762.61,2851365.73,3855438.21,1012908.87,2019558.96,3065623.19,4200153.21,981700.12,2141137.27,3344733.39,4602018.8,1050184.06,2214345.38,3578396.48,5287959.7,1667172.17
营业成本,401249.25,784374.29,1281704.58,1815636.46,602536.79,1331837.67,2135448.09,2749820.72,602452.25,1177545.97,1786652.57,2468050.07,672040.91,1512062.21,2435880.81,3489316.54,1005778.53,2095252.73,3141719.92,4021947.72,929692.43,1783444.31,2562746.11,3554205.61,883566.62,1741851.09,2643761.75,3504349.55,863474.72,1726405.61,2556918.75,3360366.85,648404.76,1306581.45,1920541.08,2513870.35,576973.09,1159791.19,1764913.81,2523569.95,864735.09,1837849.71,2803152.88,3783079.77,993028.28,1961755.91,2961729.21,4053513.83,956146.62,2052991.72,3194203.08,4387369.82,1002844.19,2123644.18,3440394.53,5041143.47,1544723.23
营业税金及附加,3354.83,5689.25,10803.24,14905.78,4919.55,9028.8,13531.76,17042.16,2796.23,4895.82,6802.87,9931.51,866.82,2926.26,5663.57,8981.45,1648.29,3957.98,6838.19,9228.21,1248.47,3547.6,3638.88,5687.17,383.18,1905.41,1925.85,3612.11,1398.13,2660.18,6271.88,6442.9,135.4,2579.89,3211.15,4767.98,2909.21,6017.18,9265.78,12662.74,146.47,1080.87,7813.67,17086.32,5536.63,8286.98,15505.58,25514.4,2937.72,4592.4,7962.08,14506.45,1782.19,4551.28,6392.82,16315.96,4209.47
销售费用,1210.64,3494.35,5659.5,7243.49,965.67,2995.36,5123.13,5775.89,812.87,1277.82,2117.09,3462.84,1157.37,2741.02,4031.35,5093.16,1466.3,2444.94,3273.43,3757.73,381.35,902.02,1334.21,1870.93,396.18,800.68,1240.64,1636.65,330.98,1052.86,1650.98,2232.68,534.82,1055.85,1630.59,2574.62,1593.69,2349.12,3267.41,4099.56,1221.57,2060.49,2896.58,4314.67,1298.01,2532.51,3859.98,5706.72,1710.97,2975.7,4321.44,11696.05,3470.19,4833.87,6396.31,5947.05,3924.76
管理费用,28133.13,59466.91,87513.27,102575.26,23512.99,54102.9,77992.05,89628.89,23537.52,43062.9,68355.32,98122.57,18243.57,41739.15,66324.57,92324.53,25981.95,50360.36,72745.17,92403.53,24253.8,50795.5,72539.98,90642.49,31820.21,57687.76,82712.1,112844.31,27453.01,52464.95,79312.82,109389.3,31055.53,55043.36,80432.9,109060.39,21835.46,18428.94,26000.34,35038.88,10581.77,19444.02,27286.47,40506.68,16214.7,30659.3,32661.01,52420.97,8919.84,19521.77,29562.26,42736.94,13718.43,24329.57,35639.91,60062.13,24989.16
财务费用,8512.44,12804.97,17155.58,21010.64,14891.16,25988.92,38145.54,47882.26,11543.32,22453.92,32347.96,42599.06,10703.09,21904.16,32351.9,42684.14,13235.25,31845.3,52549.05,68921.87,18112.17,44930.29,63445.4,69500.82,12889.65,22519.66,33569.3,40602.79,21561.41,41125.59,55215.94,64413.28,13945.5,23681.09,40712.38,74231.4,9400.9,33844.68,47040.96,64207.42,8197.02,10327.51,10216.13,11979.77,-3168.77,16324.25,36882.44,37016.56,314.06,4642.85,7577.92,5815.11,3964.89,7290.32,6476.83,9487.35,16780.49
资产减值损失,0.0,-14.0,-14.0,1083.61,0.0,0.0,0.0,9282.87,0.0,0.0,0.0,346.53,0.0,0.0,0.0,-85.47,0.0,0.0,0.0,61.55,0.0,0.0,0.0,1255.19,0.0,0.0,0.0,1964.71,0.0,0.0,0.0,3583.93,0.0,0.0,0.0,9259.82,0.0,0.0,0.0,2569.56,0.0,0.0,0.0,-1529.0,0.0,0.0,0.0,-730.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47,4.62,0.0,7.71,0.0,3.85,-35.27,-26.02,-52.23,52.23,52.42,53.41,52.23,0.76,-38.66,0.03,30.18,-48.51,-30.18,35.66,3.97,120.17,104.13,26.09,604.4,-637.22,-652.54,-609.82,-518.76,61.53,-93.77,-18.55,-119.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
