报表日期,2016-12-31,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,13349371.0,15076628.0,16707352.0,4035127.0,7868516.0,12531578.5,17074342.0,3991581.0,8697314.0,13999324.1
营业收入,13349371.0,15076628.0,16707352.0,4035127.0,7868516.0,12531578.5,17074342.0,3991581.0,8697314.0,13999324.1
二、营业总成本,12865752.0,14776204.0,16068349.0,3982723.0,7547732.0,11975883.9,16302171.0,0.0,0.0,13107966.4
营业成本,11871370.0,13807442.0,15002074.0,3632182.0,7029609.0,11128088.9,15127556.0,0.0,0.0,12306026.7
营业税金及附加,14306.0,46088.0,43020.0,10554.0,19277.0,30036.5,40958.0,0.0,0.0,32566.4
销售费用,655418.0,655178.0,720273.0,192237.0,348584.0,566476.7,802485.0,0.0,0.0,605523.4
管理费用,215075.0,212984.0,233971.0,62289.0,106988.0,177977.6,257438.0,0.0,0.0,207379.2
财务费用,97088.0,40861.0,54057.0,8760.0,35175.0,60848.6,55352.0,0.0,0.0,-56074.8
研发费用,12495.0,13651.0,14954.0,3928.0,8099.0,12455.6,18382.0,0.0,0.0,12545.5
资产减值损失,0.0,0.0,0.0,72828.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,-5557.0,-40995.0,25363.0,-12998.0,-13798.0,178.0,26154.0,0.0,0.0,-101976.4
投资收益,-296354.0,347608.0,94810.0,43477.0,43158.0,59362.0,101277.0,0.0,0.0,-54255.5
其中:对联营企业和合营企业的投资收益,3983.0,20631.0,37396.0,7829.0,12435.0,16708.2,31455.0,0.0,0.0,9894.5
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,157373.0,591905.0,673124.0,87667.0,185884.0,444337.9,706867.0,136054.0,386973.0,706499.6
加:营业外收入,28795.0,5860.0,4970.0,755.0,2059.0,3188.5,5128.0,0.0,0.0,3541.9
减：营业外支出,5903.0,6790.0,7881.0,958.0,2143.0,3569.9,16184.0,0.0,0.0,13025.9
其中：非流动资产处置损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,180265.0,590975.0,670213.0,87464.0,185800.0,443956.5,695811.0,133641.0,382592.0,697015.6
减：所得税费用,94890.0,62609.0,118519.0,4396.0,26937.0,85377.0,139447.0,0.0,0.0,152735.4
五、净利润,85375.0,528366.0,551694.0,83068.0,158863.0,358579.5,556364.0,124081.0,317037.0,544280.2
归属于母公司所有者的净利润,51138.0,500113.0,512759.0,86619.0,159685.0,348911.0,540803.0,121616.0,300769.0,508983.9
少数股东损益,34237.0,28253.0,38935.0,-3551.0,-823.0,9668.5,15561.0,0.0,0.0,35296.3
基本每股收益(元/股),0.0,0.0,0.0,0.18,0.33,0.72,1.11,0.0,0.0,1.04
稀释每股收益(元/股),0.0,0.0,0.0,0.18,0.33,0.72,1.11,0.0,0.0,1.04
七、其他综合收益,-52716.0,-5878.0,3849.0,10954.0,22620.0,39275.6,22737.0,0.0,0.0,12523.8
八、综合收益总额,32659.0,522488.0,555543.0,94022.0,181483.0,397855.1,579101.0,0.0,0.0,556804.0
归属于母公司所有者的综合收益总额,-1477.0,494177.0,521223.0,95141.0,179996.0,385967.6,560834.0,0.0,0.0,519875.9
归属于少数股东的综合收益总额,34136.0,28311.0,34320.0,-1119.0,1487.0,11887.5,18267.0,0.0,0.0,36928.1
