报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,24723.67,96539.47,51223.7,23380.87,52838.59,111874.09,173663.47,41472.31,90913.0,131317.5,146792.17,26669.72,60046.47,85297.47,107737.12,39125.81,82343.47,122690.32,181040.01,50355.28,106329.67,176615.98,276538.41,63726.34,138079.47,208776.09,395441.16,146908.34,338355.65,483916.6,747493.58,119534.93,358882.99,686923.78,1094526.54,320209.68,835336.87,1262056.51,1790654.76,410624.96,965111.98,1678179.91,2650505.06,543496.67,1196632.66
收到的税费返还,0.0,2.6,404.76,0.0,47.51,246.86,439.06,587.27,1016.72,1693.06,1928.52,1560.52,2387.39,2948.14,3988.72,1357.19,2760.28,4678.45,8291.67,5960.59,7941.46,8575.84,17209.33,13899.93,14111.62,20682.08,23957.18,8319.52,11322.5,12931.21,14201.55,3410.18,4606.28,5580.24,12076.88,21865.23,25471.92,60751.5,83334.92,37489.58,75647.95,99703.85,123016.95,18595.96,66643.19
收到的其他与经营活动有关的现金,1633.73,1879.3,1637.86,599.58,679.13,5879.66,3644.39,534.3,1828.72,2931.57,7808.65,1752.01,3275.85,3828.75,5782.06,864.48,3074.95,3903.22,5472.75,1299.98,2304.71,6915.63,4955.11,1745.02,3682.56,6085.76,15234.93,2312.73,11300.6,26572.85,37064.82,7010.82,23076.19,42391.52,50238.92,27622.59,54572.93,84929.31,116855.82,53066.4,112861.89,160529.86,212338.79,34637.54,73073.6
经营活动现金流入小计,26357.4,98421.38,53266.32,23980.45,53565.23,118000.61,177746.93,42593.88,93758.43,135942.13,156529.35,29982.25,65709.71,92074.36,117507.89,41347.48,88178.7,131271.99,194804.42,57615.86,116575.85,192107.45,298702.84,79371.29,155873.65,235543.92,434633.27,157540.58,360978.74,523420.67,798759.96,129955.93,386565.46,734895.54,1156842.34,369697.5,915381.72,1407737.33,1990845.5,501180.94,1153621.82,1938413.62,2985860.8,596730.17,1336349.45
购买商品、接受劳务支付的现金,17457.95,91952.31,35442.35,16146.66,30703.81,46692.4,78022.31,41231.48,68438.8,107343.1,125359.01,18132.56,51454.55,106477.58,89968.66,35182.67,48969.33,86586.28,153595.57,38699.95,79108.33,146746.03,208887.94,67613.22,137869.27,217544.75,302734.85,96195.22,218878.52,357084.84,529320.3,126537.03,223737.69,407946.29,688815.29,329063.88,599270.56,991792.58,1443799.78,271808.73,606677.47,1097741.83,1553400.53,470324.55,946110.25
支付给职工以及为职工支付的现金,0.0,1846.28,4971.48,2361.52,4295.16,6646.52,9762.49,5000.68,9307.79,14522.5,19868.3,5593.17,12220.89,18583.34,24082.02,6591.91,12766.95,19320.3,26706.34,9562.16,17474.08,26163.83,35856.34,12109.97,22499.86,34705.58,48205.47,18828.43,36842.79,58121.35,82928.11,33686.33,64090.05,97536.54,135949.4,48198.57,91785.28,139161.96,190472.54,64622.84,128121.89,194125.34,272271.4,90210.82,197697.33
支付的各项税费,1623.63,3914.91,2076.5,297.17,1507.95,3043.49,7866.22,5744.97,9863.1,13933.37,15300.56,1405.17,2895.49,4161.44,4988.23,610.13,1373.21,2053.85,3465.81,2029.64,3848.34,6376.05,9272.32,5363.73,8447.98,14055.65,20214.93,8424.35,24897.95,48975.67,68156.31,21180.87,43420.51,83400.6,114202.31,30227.88,51188.02,69203.28,87752.05,32345.75,58789.14,85174.72,127066.18,39641.42,95026.74
支付的其他与经营活动有关的现金,706.71,2936.35,1887.55,944.38,1697.54,3439.39,4579.45,1955.69,2588.82,95.3,7062.24,1996.63,3070.32,4786.24,6139.86,1133.76,2838.96,4138.42,5323.2,2802.86,4215.13,6302.06,7936.49,4072.44,12600.33,30635.02,27022.34,19182.89,27300.5,49799.52,64779.51,30413.27,43923.05,74698.35,93684.29,33857.19,56255.68,101478.72,151493.97,38569.65,117353.12,159942.45,217298.59,50161.12,63632.94
经营活动现金流出小计,20626.05,100649.84,44377.88,19749.73,38204.46,59821.8,100230.47,53932.82,90198.5,135894.27,167590.11,27127.52,69641.25,134008.6,125178.77,43518.47,65948.45,112098.85,189090.92,53094.61,104645.87,185587.96,261953.09,89159.37,181417.45,296941.0,398177.59,142630.89,307919.77,513981.38,745184.23,211817.5,375171.3,663581.78,1032651.28,441347.52,798499.54,1301636.54,1873518.34,407346.97,910941.62,1536984.34,2170036.7,650337.91,1302467.26
经营活动产生的现金流量净额,5731.35,-2228.46,8888.44,4230.72,15360.77,58178.81,77516.45,-11338.94,3559.93,47.86,-11060.76,2854.73,-3931.55,-41934.24,-7670.88,-2170.99,22230.24,19173.14,5713.5,4521.25,11929.97,6519.5,36749.75,-9788.08,-25543.8,-61397.07,36455.68,14909.7,53058.97,9439.29,53575.73,-81861.57,11394.16,71313.76,124191.06,-71650.02,116882.18,106100.79,117327.15,93833.98,242680.19,401429.28,815824.1,-53607.74,33882.19
收回投资所收到的现金,79.2,3800.0,0.0,0.0,0.0,450.0,5850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,2360.0,2360.0,2360.0,0.0,0.0,0.0,0.0,0.0,5878.97,51953.66,199110.17,31251.93,127516.34,235268.41,209647.49,217761.3,433670.8,581449.34,660566.9,280000.0,330000.0,360000.0,1342700.0,10000.0,60000.0,810000.0,1408903.55,710000.0,1560000.0
