报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,4928.18,4341.31,10570.65,8183.03,78954.3,73554.61,83351.8,76935.61,70800.23,68720.17,68019.04,60728.65,56554.92,52588.17,76810.34,78148.45,73968.24,67992.04,79422.92,85153.32,85973.34,62156.68,123309.45,99710.71,125141.52,293200.47,315725.06,260197.55,364532.02,420458.1,616172.14,563573.26,421945.68,435900.4,703181.12,395470.3,319708.01,318399.55,401296.14,347455.28,338909.33,245695.2,388178.33,308567.95,276070.8,216857.29
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.45,486.45,0.0,0.0,66.78,2766.78,374.17,374.17,315.98,315.98,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597992.89,0.0,667915.81,0.0,919753.11,0.0,951428.1,1086704.53,1295634.79,1311117.81,1231852.18,1214624.27,1152399.94,1095654.55,771995.6,690773.47,645378.01,616796.75
应收票据,645.2,476.83,422.34,454.46,1028.58,2295.54,1121.48,1501.44,6700.41,6889.46,10438.91,8508.34,10606.25,11101.19,5157.06,5755.19,3468.42,4039.81,3552.1,14601.52,17008.65,5106.8,7236.65,16598.98,18192.73,16489.57,18853.92,19671.72,35250.27,34378.46,28324.94,27559.51,64836.52,96356.71,59645.4,50883.51,61138.48,57281.76,55080.91,31158.15,38566.74,36113.97,52167.69,13967.95,12339.65,11819.99
应收账款,8421.26,15657.38,18808.76,20151.74,28937.38,30998.56,31523.02,33097.89,34889.0,45858.8,43869.96,57990.6,66024.44,77090.87,62200.81,78221.31,74789.17,86545.32,97897.01,108858.28,134922.19,198281.24,183949.15,192690.46,286385.06,415758.99,362800.77,466931.14,562742.62,659725.14,639590.87,715217.94,854916.6,955384.34,891782.7,1035821.03,1234496.3,1253836.06,1176771.28,1183466.12,1113833.2,1059540.58,719827.92,676805.52,633038.35,604976.76
预付款项,2740.37,1635.1,1040.79,1662.71,1085.02,4577.4,3150.44,7830.83,13808.35,18491.01,10729.49,15002.48,17311.02,24395.94,12142.71,15022.04,28051.25,35754.76,12088.82,33542.03,31925.22,40809.9,22791.66,25110.31,58724.37,34406.99,74372.42,142414.86,235845.72,219184.46,262571.55,309818.11,329649.74,340888.21,257347.19,399400.91,443243.91,412144.64,261293.47,336616.14,300700.06,310453.48,224933.17,276308.84,265446.38,272586.08
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,380.45,433.36,253.03,729.84,320.75,378.02,303.66,917.13,939.9,1111.93,3841.04,1219.64,1354.06,1612.38,1345.99,2800.8,2068.58,2474.99,2915.69,3525.53,1335.84,1272.48,4111.54,5388.06,5183.38,4578.1,3716.89,6567.47,12889.52,10792.12,8353.01,11385.68,12181.9,19864.93,9584.2,11803.52,15202.76,15186.5,26405.35,0.0,29182.68,0.0,26090.82,0.0,16959.32,0.0
