报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
一、营业总收入,182223.66,332269.99,425034.21,120288.77,220190.04,401702.08,628706.7,156669.1,300877.53,523170.24,776058.04,131922.34,251121.89,461122.79,706346.77,140179.33,272497.53,492710.37,729371.76,145740.13,293175.76,536158.17,814713.38,165567.68,336939.41,616932.76,945444.92,192301.37,387926.16,712380.31,1066716.57,206659.14,443308.54,804224.75,1202630.0,251239.73,553246.12,976412.18,1571913.15,411782.91,821943.14,1326117.95,1933676.52,273791.06,573398.73,944982.93,1520491.08
营业收入,182223.66,332269.99,425034.21,120288.77,220190.04,401702.08,628706.7,156669.1,300877.53,523170.24,776058.04,131922.34,251121.89,461122.79,706346.77,140179.33,272497.53,492710.37,729371.76,145740.13,293175.76,536158.17,814713.38,165567.68,336939.41,616932.76,945444.92,192301.37,387926.16,712380.31,1066716.57,206659.14,443308.54,804224.75,1202630.0,251239.73,553246.12,976412.18,1571913.15,411782.91,821943.14,1326117.95,1933676.52,273791.06,573398.73,944982.93,1520491.08
二、营业总成本,158845.04,273554.37,333617.9,93202.01,173928.07,315823.78,490786.67,121771.08,240841.81,414501.96,613929.62,110508.73,217283.16,403319.09,607413.5,120128.17,235992.7,420895.46,606819.53,123367.0,248881.66,450303.5,673317.24,138392.73,281983.52,510836.16,772299.38,160140.81,325611.26,583948.66,888747.04,175208.16,377124.99,670596.22,1062769.86,213513.6,473793.61,810286.07,1382537.06,370654.92,703181.51,1116635.11,1661576.24,255316.35,534021.84,870854.2,1359549.28
营业成本,134676.62,234183.42,280364.77,77264.37,140498.31,259333.54,403699.28,100154.34,190602.18,332531.06,485958.82,82594.91,156479.4,299528.02,467854.57,89282.79,177061.48,316081.74,471543.51,93251.18,186332.57,340134.02,520914.16,106671.47,211342.35,388401.35,589366.51,121400.57,239656.83,438807.83,657489.92,119682.5,265148.58,492626.23,775566.96,153021.96,341081.54,597852.74,946585.64,240133.26,453392.41,737667.23,1111272.81,161245.56,325373.13,549230.14,907134.5
营业税金及附加,793.51,1769.2,2678.07,946.3,1585.75,2739.43,3849.99,1007.55,2173.35,3316.26,5093.75,947.99,1802.06,3155.72,5052.47,1382.33,2328.3,4478.03,6424.83,1428.85,2623.69,4523.89,6401.05,1082.42,2583.39,4577.45,6519.19,1499.13,2620.1,5219.26,8839.23,1624.4,2452.24,5276.47,8305.37,1710.87,3331.27,5888.83,11136.74,2838.38,4531.77,8096.72,12748.34,1713.22,2934.54,6377.04,13564.49
销售费用,14271.83,23756.38,33979.69,10774.93,23438.88,38736.9,58283.31,15396.93,36641.74,58736.83,90082.1,20412.1,47595.96,72143.99,106213.8,22361.64,44983.48,66397.14,92114.85,20812.1,41558.53,65528.49,91856.9,23092.1,48652.59,77232.32,112012.42,27100.51,59165.36,97880.45,145539.34,37632.22,78604.82,120941.78,176343.76,43871.8,94681.18,144432.53,257037.82,97063.39,196380.52,299912.71,405533.98,74675.58,157192.76,249647.22,334945.37
管理费用,6716.51,9121.5,13420.36,3084.43,6580.41,10875.29,16932.28,4356.71,10097.34,14644.91,22133.66,4853.33,10718.71,16165.6,22660.51,5395.86,11911.92,18518.01,26127.48,6711.7,14106.83,21834.31,31240.29,6812.84,15962.69,24325.56,38680.88,8245.94,17913.28,32485.39,55164.29,13603.01,24405.33,37743.68,63883.09,12217.52,23703.05,23988.54,52190.15,17780.14,37393.99,56593.65,102929.02,14700.07,41908.96,51899.19,82401.33
财务费用,757.89,163.13,-574.25,-127.75,-396.17,-565.64,-1280.19,-452.36,-1506.99,-3245.26,-5560.29,-2185.76,-7738.56,-9537.78,-12649.98,-2039.08,-10355.65,-12749.39,-17613.82,-3223.23,-7686.97,-9102.63,-13622.03,-4891.49,-9480.1,-12415.58,-14744.8,-2664.05,-4672.27,-6382.69,-7256.04,-1296.97,-4719.61,-5806.22,-7929.45,-4763.64,-6015.04,-7867.74,-7580.07,-7043.44,-6515.84,-7996.05,-12273.28,-2076.66,-5657.48,-5588.52,-7667.38
资产减值损失,1628.68,4560.73,3749.25,1259.72,2220.87,4704.27,9302.0,1307.92,2834.19,8518.15,16221.58,3886.16,8425.58,21863.54,18282.14,3744.63,10063.18,28169.92,28222.69,4386.39,11947.01,27385.42,36526.87,5625.4,12922.6,28715.07,40465.18,4558.7,10927.96,15938.41,28970.29,3963.01,11233.62,19814.28,46600.13,7455.08,17011.6,29985.82,86735.76,13364.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.84,637.05,448.39,730.36,1083.74,-163.77,-200.34,-130.11,-1958.5
