报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
销售商品、提供劳务收到的现金,28942.9,71414.11,130339.41,178088.92,21055.28,35904.04,56708.14,104727.33,37800.94,102357.21,139625.68,155367.79,11932.16,32743.54,64779.5,115885.56,42865.03,85523.68,116630.22,164062.21,45413.35,95176.31,125738.67,176682.92,38324.46,79999.13,131511.72,186124.89,32468.58,73727.07,97437.9,142137.11,20801.53,75512.27,117278.45,194821.8,79882.97,209896.06,375209.05,613267.92,143516.63,394666.11,628512.46,2814624.93,504336.02,1109084.84,1703274.32,2541511.22,398803.86,728960.18
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0
收到的其他与经营活动有关的现金,6856.0,12433.45,13816.46,23528.11,2446.31,278.0,11744.5,40672.61,1372.46,2311.58,2810.64,1142.87,242.19,1288.71,638.85,2674.88,10.86,339.34,2341.99,4662.19,454.44,873.46,1892.36,3397.95,1350.95,5971.53,7459.61,7334.09,1086.01,2102.77,3822.55,4178.7,1346.03,1006.81,2560.44,21405.26,11275.07,8859.94,380081.82,539716.58,108348.02,99946.07,101111.04,776487.15,58561.05,230531.36,118244.87,108470.45,19816.53,29753.95
经营活动现金流入小计,35798.9,83847.56,144155.87,201617.03,23501.59,36182.04,68452.64,145399.94,39173.39,104668.79,142436.32,156510.66,12174.34,34032.25,65418.57,118563.39,42875.9,85863.02,118972.21,168724.4,45867.79,96049.77,127631.04,180080.87,39675.41,85970.66,138971.33,193458.97,33554.59,75829.84,101260.46,146315.81,22147.56,76519.08,119838.89,216227.07,91158.04,218756.0,755290.87,1152984.5,251864.65,494612.17,729623.5,3591112.08,562897.08,1339616.2,1821521.45,2649981.67,418620.39,758714.12
购买商品、接受劳务支付的现金,24194.29,47345.49,80856.08,99355.94,16866.9,35728.04,62805.98,98077.55,14871.52,27976.67,47777.85,76485.81,11630.23,31266.75,46677.85,84651.98,18715.35,37798.03,58162.94,78488.47,12273.12,30270.5,44327.82,60511.95,18657.9,29389.82,49896.43,65059.18,22928.79,41896.57,64638.46,143951.83,27954.68,118312.1,271966.9,418243.42,184989.79,271725.84,659108.45,1089662.81,106598.47,253580.99,384665.76,1495652.98,414585.8,609660.17,934278.59,1247463.99,461248.7,705926.59
支付给职工以及为职工支付的现金,245.89,573.95,829.32,1464.95,282.63,624.0,911.44,1374.79,463.94,799.74,1113.76,1470.27,465.67,981.94,1419.64,2132.37,572.88,965.83,1458.67,3077.17,585.21,1071.31,1640.99,3332.87,516.63,1053.57,1747.13,3912.31,569.67,1201.28,1799.76,4368.62,704.8,1671.54,2994.36,6650.76,1229.86,2630.55,4473.06,8489.49,2016.49,4455.65,7233.32,40999.58,9816.69,18554.52,30046.09,51887.42,10551.49,21437.89
支付的各项税费,1465.66,5303.84,9154.02,9971.41,6464.13,11896.19,14052.33,16007.59,7635.35,17269.93,25478.85,27633.95,3375.57,9691.4,19013.1,26781.94,9704.84,23165.08,36799.57,43476.03,10227.53,22554.73,26386.89,30413.93,6238.49,15317.78,23439.73,28545.19,3423.69,18060.81,22718.4,33162.28,7428.62,19993.79,29948.33,39592.63,16497.68,43494.43,63635.51,92313.53,19435.52,36553.42,51437.82,285486.78,89028.93,265734.58,360773.29,407661.95,79086.95,193247.86
支付的其他与经营活动有关的现金,1162.45,10956.99,13945.48,38856.63,3093.45,2024.07,6392.21,43016.02,981.46,2757.42,3876.15,6053.76,1099.0,3199.2,4229.46,7439.26,2119.47,2188.73,4034.97,7140.05,3481.17,4036.29,6295.9,8792.16,1975.35,3382.0,6471.83,9342.99,3053.01,7602.97,10024.17,11719.78,3917.78,3930.31,6946.4,13209.92,10930.24,12602.74,402050.86,627452.62,32792.2,52065.78,52413.34,966222.49,89776.8,112317.29,161720.36,346512.71,22114.26,47018.59
经营活动现金流出小计,27068.29,64180.27,104784.9,149648.93,26707.11,50272.29,84161.96,158475.94,23952.26,48803.75,78246.62,111643.79,16570.48,45139.29,71340.04,121005.56,31112.54,64117.67,100456.16,132181.71,26567.02,57932.83,78651.6,103050.9,27388.37,49143.17,81555.11,106859.66,29975.16,68761.62,99180.79,193202.51,40005.88,143907.74,311855.99,477696.73,213647.56,330453.55,1129267.88,1817918.45,160842.68,346655.84,495750.25,2788361.84,603208.23,1006266.57,1486818.32,2053526.08,573001.4,967630.93
经营活动产生的现金流量净额,8730.61,19667.28,39370.97,51968.1,-3205.52,-14090.25,-15709.31,-13076.0,15221.13,55865.04,64189.71,44866.87,-4396.14,-11107.03,-5921.47,-2442.17,11763.36,21745.35,18516.05,36542.69,19300.77,38116.93,48979.44,77029.97,12287.04,36827.49,57416.22,86599.32,3579.43,7068.22,2079.67,-46886.69,-17858.32,-67388.66,-192017.1,-261469.66,-122489.52,-111697.55,-373977.01,-664933.96,91021.97,147956.33,233873.25,802750.24,-40311.15,333349.63,334703.13,596455.59,-154381.01,-208916.81
