报表日期,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
货币资金,10183.3,7030.83,9762.45,12316.6,17569.34,13396.11,11423.45,23825.56,16743.84,11169.84
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,897.78,1764.08,3800.28,2987.16,16409.75,19286.41,2687.64,29431.17,24015.09,25957.83
应收票据,0.0,400.06,1706.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,0.0,1364.02,2093.88,2987.16,16409.75,19286.41,2687.64,29431.17,24015.09,25957.83
应收款项融资,0.0,0.0,0.0,2135.6,698.83,611.99,3250.84,0.0,3019.37,2227.83
预付款项,3056.5,5199.42,8899.64,6696.91,4693.18,7397.9,8267.0,10265.32,9432.8,12344.88
其他应收款(合计),123.36,282.36,1391.5,284.65,222.62,194.87,317.66,811.08,3843.02,4493.53
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,0.0,0.0,0.0,284.65,222.62,194.87,292.16,0.0,3843.02,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,16169.26,16880.52,22271.7,29191.68,23791.34,23463.61,33778.29,31099.67,31921.0,31146.8
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,22.55,12.25,321.67,1004.43,964.76,1002.06,1187.3,569.4,476.95,559.14
流动资产合计,30452.74,31169.47,46447.24,54617.04,64349.82,65352.95,60912.18,96002.2,89952.08,88399.84
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,50.0,1547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,0.0,42.24,0.0,231.14,222.41,208.53,208.53,0.0,560.0
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,7952.89,3412.4,4982.31,4150.23,1961.17,935.79,473.75,380.96
在建工程,0.0,0.0,0.0,3412.4,4982.31,4150.23,1961.17,0.0,473.75,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),448.0,6307.79,2879.6,10324.19,10049.08,10702.88,14361.12,16177.52,16148.85,15954.86
固定资产净额,0.0,6307.79,2879.6,10324.19,10049.08,10702.88,14361.12,0.0,16148.85,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34
无形资产,14.08,3304.92,3212.65,3127.71,3035.37,2993.06,3923.47,3876.1,4133.35,4073.43
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.61,334.33,730.0
商誉,0.0,0.0,0.0,293.63,294.86,294.86,313.28,313.28,271.87,270.64
长期待摊费用,272.9,256.28,413.25,423.59,423.98,380.51,407.71,405.64,401.0,393.98
递延所得税资产,46.37,173.67,222.31,278.44,468.53,422.12,303.41,300.94,390.41,387.84
其他非流动资产,511.64,1382.58,720.0,643.0,1080.0,195.05,0.0,0.0,522.48,522.49
非流动资产合计,1292.99,11475.23,16989.93,20049.96,22112.26,20908.11,23025.69,23843.41,22726.04,23403.21
资产总计,31745.73,42644.7,63437.17,74667.0,86462.08,86261.06,83937.87,119845.6,112678.12,111803.05
短期借款,0.0,0.0,4000.0,4000.1,4000.0,4000.0,4004.83,2000.0,2002.42,2002.42
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,12123.24,9211.79,14073.57,16710.07,28522.9,26550.52,20842.65,33600.59,28199.28,24605.54
应付票据,0.0,4710.58,6266.55,7911.4,7352.92,4543.88,9000.3,14919.63,9226.45,1580.15
应付账款,0.0,4501.21,7807.02,8798.67,21169.98,22006.64,11842.35,18680.96,18972.83,23025.39
预收款项,577.43,762.35,933.44,1161.85,1105.21,1600.64,0.0,0.0,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,439.6,1018.52,772.05,479.76,540.79,582.67,583.46,736.23,786.08,953.29
应交税费,135.54,202.46,417.91,711.58,250.62,247.13,469.87,444.04,197.59,173.67
其他应付款(合计),202.3,1027.98,724.04,764.41,661.79,828.98,1228.83,1157.14,277.87,2.58
应付利息,0.0,0.0,0.0,5.85,4.99,5.54,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应付款,0.0,0.0,0.0,758.57,656.79,823.44,1228.83,0.0,277.87,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,582.97,586.77,398.25,432.59
流动负债合计,13478.12,12223.1,20921.01,24077.65,35364.31,34098.45,29814.59,40659.13,33552.02,32335.46
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,120.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
预计非流动负债,11.83,11.68,12.64,316.05,139.96,213.2,0.0,0.0,0.0,0.0
递延所得税负债,0.0,1065.95,1040.86,1015.35,1004.69,999.36,957.54,943.09,928.63,914.18
长期递延收益,64.16,142.33,165.33,547.6,545.08,643.82,642.56,642.56,242.56,484.26
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,76.0,1219.95,1218.83,1879.01,1689.73,1856.38,1600.1,1585.65,1271.2,1518.44
