报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,3140.33,4941.71,7898.56,3568.33,5717.25,7177.91,12124.72,3817.83,7409.08,10259.48,17881.13,5946.31,11367.6,17813.6,31300.32,8843.0,19652.39,30152.27,46816.14,9576.0,21765.26,32287.2,61526.64,12319.67,29493.33,47166.6,93110.91,18410.42,44909.51,67105.59,127774.77,22472.55,54725.59,79763.15,150598.95,23063.51,57889.41,95198.1,199617.79,28461.94,64661.59,110542.94
营业收入,3140.33,4941.71,7898.56,3568.33,5717.25,7177.91,12124.72,3817.83,7409.08,10259.48,17881.13,5946.31,11367.6,17813.6,31300.32,8843.0,19652.39,30152.27,46816.14,9576.0,21765.26,32287.2,61526.64,12319.67,29493.33,47166.6,93110.91,18410.42,44909.51,67105.59,127774.77,22472.55,54725.59,79763.15,150598.95,23063.51,57889.41,95198.1,199617.79,28461.94,64661.59,110542.94
二、营业总成本,2999.97,3938.54,5800.45,2204.0,4070.92,5240.37,8208.64,2290.76,4948.01,6928.32,12020.84,4144.92,8304.62,13547.13,23146.86,6795.53,16653.26,25781.43,37744.64,7307.71,18319.66,27847.44,47518.99,10091.29,24318.78,39253.46,71126.79,15031.06,37956.15,55949.16,98661.39,17710.22,45226.9,65265.77,110577.88,20473.74,49029.08,79107.9,147670.11,24136.4,60514.02,97060.87
营业成本,1752.52,2556.39,3758.76,1258.55,2619.99,3140.5,5186.91,1423.36,3458.71,4893.91,8447.3,2912.71,5958.02,10026.46,16837.54,4708.7,11392.64,17819.47,25927.61,4175.73,11275.18,17609.47,31781.52,6354.22,15555.22,24839.57,49307.81,9139.67,26027.43,37110.99,68630.5,11124.34,29593.95,43180.47,75652.81,12385.64,31820.09,51162.72,101101.79,14098.25,33187.51,55195.24
营业税金及附加,51.2,76.79,140.4,53.22,93.41,103.97,198.56,86.79,167.73,278.25,429.68,145.17,439.47,567.41,648.04,23.91,93.09,106.25,162.62,60.0,122.71,182.49,415.6,92.01,226.04,354.12,687.96,132.93,259.47,333.49,812.95,184.08,609.62,811.35,1399.36,153.87,409.47,563.95,1375.01,244.39,706.55,932.08
销售费用,254.65,279.43,295.13,103.76,180.23,325.33,520.74,123.42,290.71,571.32,1002.11,251.36,522.67,951.36,2018.28,412.56,885.95,1718.25,2923.68,709.18,1440.41,2285.1,3872.86,669.95,1763.39,2968.79,5180.35,1042.72,2970.02,4999.12,7680.96,1799.66,3955.1,5983.97,9288.32,2536.64,5318.21,8529.82,11893.34,2317.39,6339.53,10881.14
管理费用,947.16,981.0,1598.34,791.16,1152.73,1641.56,2256.95,680.81,1516.49,2059.87,3332.2,1155.14,1945.83,2826.77,4596.99,1801.62,4536.69,6531.31,9046.19,2403.86,5217.37,7512.24,10861.84,2997.67,6525.53,10320.69,15046.65,4417.46,8439.83,12924.85,16989.46,4493.67,10606.43,15220.05,21744.94,5565.87,12161.52,12294.39,18484.05,5040.52,7552.72,10947.02
财务费用,5.51,1.58,3.12,-2.69,-4.32,0.12,-2.97,-23.61,-494.03,-863.95,-1248.36,-319.46,-553.47,-816.45,-1018.86,-151.26,-310.31,-453.74,-535.95,-41.05,-10.85,-16.84,-37.95,-22.56,-42.68,170.51,411.22,339.12,293.76,304.83,-726.63,226.52,272.51,-191.87,-507.83,-112.56,-171.85,-35.0,192.23,-244.18,387.81,273.51
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7135.33,11166.35,2815.47,12339.9,18831.89
资产减值损失,-11.07,43.36,4.71,0.0,28.89,28.89,48.44,0.0,8.39,-11.07,57.9,0.0,-7.88,-8.43,64.87,0.0,55.21,59.89,220.5,0.0,274.84,274.97,625.12,0.0,291.29,599.77,492.8,-40.85,-34.35,275.88,5274.15,-118.06,189.29,261.8,3000.28,-55.73,-508.37,-543.31,3457.34,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.14,-108.61,-161.09,-206.51,-40.31,-91.69,-135.57,-198.92,-46.69,-92.55,-176.88,-121.43,-28.71,-336.76,461.27,1427.88,829.34,2117.27,2500.84,3430.44,756.81,1718.33,2433.43,3598.73,-119.87,752.9,903.28
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.61,0.0,0.0,0.0,-91.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1481.12,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
