报表日期,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,3992.18,5913.77,5168.52,3889.1,7563.9,32822.41,35075.24,24719.24,27364.14,31194.81,30298.64,30817.12,25616.15,17665.36,15922.79,13555.2,12424.43,13750.73,9484.41,12126.81,21863.2,16739.87,13527.4,14555.18,10910.47,5386.52,7620.8,8948.47,9401.05,2728.27,5612.44,5759.24,691550.9,930799.29,1137176.01,1546309.58,1731833.95,1658280.6,1327840.7,1048584.24,1613111.99,965654.02,1248721.8,1125184.36,1852099.17,699206.3,1011259.15
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3380.34,3267.46,1812.92,1773.33,1781.94,1703.97,1537.05,1743.18,1444.2,496099.71,252576.46,570945.54,291017.29,1573353.85,1347141.56
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33069.08,33486.78,28869.69,27352.0,25468.96,28220.04,27256.48,456431.82,0.0,436594.02,0.0,581332.57,542592.09,571255.94,609794.37,737383.65,767893.32,855767.93,951362.15,1214024.47,1239591.14,1330256.82
应收票据,248.4,368.9,836.81,344.3,1759.53,1981.07,2126.67,3107.24,5246.29,4885.76,5187.19,553.33,6341.92,6658.07,11799.33,7065.31,21350.75,16053.64,17211.76,15222.42,18337.0,19003.16,9631.12,12556.17,13028.12,14363.02,13119.78,5884.13,6386.48,5155.1,5827.04,5533.6,440.67,455.14,557.27,251.25,917.31,2030.1,0.0,2203.11,2095.87,1363.51,3258.28,4157.95,4300.48,4626.89,9952.03
应收账款,5446.77,8940.58,9534.72,11668.43,10504.27,12290.91,12612.11,12146.95,11611.5,15534.0,14751.01,19472.1,19117.86,20093.81,21268.72,19704.95,18320.21,19883.95,23663.65,21363.66,15693.7,17897.91,17751.04,18304.25,17140.88,18706.05,20367.0,22985.56,20965.52,20313.86,22393.0,21722.88,455991.15,408880.5,436036.75,462241.98,580415.26,540561.99,0.0,607591.26,735287.77,766529.82,852509.64,947204.21,1209723.99,1234964.25,1320304.79
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,1677.01,1698.45,2639.5,4187.45,3056.92,15204.81,8686.62,11349.01,8168.44,14166.62,25850.16,22765.26,17064.46,13246.8,10924.36,19866.05,11124.1,8325.08,14297.65,11915.81,14368.26,17446.53,17819.71,14241.51,8897.48,7077.64,4656.22,6920.36,7248.43,10147.74,6269.77,7097.56,149254.92,129951.32,139935.86,154406.9,177402.73,179126.93,189377.32,227694.48,251685.12,245928.33,244576.84,255688.0,265424.5,270367.21,266394.52
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.68,475.24,380.82,332.61,561.35,305.29,296.93,102489.93,0.0,90110.44,0.0,160907.39,158548.05,117675.18,144109.15,139791.35,151221.4,171564.66,180164.08,210220.72,214143.42,201918.95
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,97.62,0.0,0.0,0.0,27.35,0.0,0.0,0.0,17.82,0.0,7.04,7.04,524.15,558.46,1590.81,3549.07,5471.06,6363.06,0.0,0.0,0.0,1305.34,0.0,0.0,0.0,0.0,0.0
