报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
一、营业总收入,37382.54,81480.87,120969.54,174787.54,81753.63,193620.18,287072.11,331396.23,52320.81,121584.74,200156.15,289822.52,83101.84,162438.71,241149.33,344526.36,95175.77,203221.92,292557.86,380399.17,94771.07,187514.09,272366.59,363141.75,102051.69,201844.01,287751.77,423763.51,96409.87,213049.79,303019.95,416420.92,95767.56,193135.81,283126.94,382254.3,108661.43,230266.63,342238.11,469627.73,122798.78,260802.24,409217.13,623510.82,304545.1,465116.99,671942.72,868338.17,183604.51,386737.57,576552.68,762098.29,261961.71,529027.42,747332.87,1031408.44,374383.18,725422.16,1051629.66,1479798.91,430799.17,821503.93,1191001.81
营业收入,37382.54,81480.87,120969.54,174787.54,81753.63,193620.18,287072.11,331396.23,52320.81,121584.74,200156.15,289822.52,83101.84,162438.71,241149.33,344526.36,95175.77,203221.92,292557.86,380399.17,94771.07,187514.09,272366.59,363141.75,102051.69,201844.01,287751.77,423763.51,96409.87,213049.79,303019.95,416420.92,95767.56,193135.81,283126.94,382254.3,108661.43,230266.63,342238.11,469627.73,122798.78,260802.24,409217.13,623510.82,304545.1,465116.99,671942.72,868338.17,183604.51,386737.57,576552.68,762098.29,261961.71,529027.42,747332.87,1031408.44,374383.18,725422.16,1051629.66,1479798.91,430799.17,821503.93,1191001.81
二、营业总成本,37500.09,80942.67,118162.58,164468.19,48843.98,92280.28,132814.5,167665.68,36388.83,78699.2,120743.47,169914.26,51703.75,95089.83,142585.77,212879.0,61480.13,129805.8,185757.42,249920.56,59380.83,120803.74,180669.91,249962.26,78096.39,151470.26,214086.22,320168.81,71701.45,146640.58,218914.65,315379.41,86376.63,173943.07,252885.93,341017.37,89287.16,167497.56,241604.64,328615.22,96670.27,196867.73,309792.27,420353.89,126060.23,228211.33,384966.92,528729.28,129266.36,264849.41,393448.69,531505.76,156202.01,278917.66,419087.27,642797.44,241704.29,455516.78,676885.97,992716.93,297578.15,572888.45,853402.75
营业成本,32056.74,69167.47,101009.11,138895.92,38466.37,70623.26,99574.04,116900.67,26598.41,63561.59,97210.57,130464.52,41618.86,70110.26,109785.54,165923.43,52400.46,108874.48,152108.68,201210.79,50957.78,99746.91,148871.79,204504.47,65174.99,126984.55,178651.73,262762.67,58407.17,119706.06,175559.6,249955.39,69150.93,141337.99,207629.73,278209.16,71417.53,133039.63,191404.01,256287.11,75028.68,148757.06,234144.17,308830.46,80897.06,164914.12,295373.85,404869.71,98046.46,206424.85,306538.14,401767.61,128355.11,213284.15,310549.7,472726.4,194149.26,375532.5,559350.75,821229.29,251809.45,494512.28,739720.6
营业税金及附加,89.19,290.99,447.99,831.5,369.3,1088.78,1942.3,3162.41,402.87,916.64,1390.76,2337.87,789.5,1210.62,1788.55,2518.12,847.1,1892.98,2811.61,3019.58,997.0,1769.31,2518.04,2900.22,1507.56,1287.74,2226.21,6042.22,740.5,1772.63,2736.39,4003.34,994.24,1812.46,2959.93,3985.91,890.44,2292.78,3416.88,7467.43,1872.89,4289.37,6176.64,9678.71,4434.22,7676.98,10610.9,14373.72,1989.48,4139.96,6158.01,9687.66,2429.32,5014.3,7823.96,11479.32,2962.48,6079.43,8826.99,13162.48,2987.19,5161.07,8026.61
销售费用,1517.09,3182.69,4480.45,6058.67,2042.6,4087.84,5838.93,7289.43,1059.77,2108.44,3808.45,7174.59,1524.91,4080.22,6091.59,9650.08,2066.76,4392.26,6905.41,8548.97,1399.45,3220.34,4506.87,6528.98,1847.59,4028.11,6065.01,9790.85,3065.51,5621.28,7866.61,11536.28,3774.28,8803.46,11898.29,15713.71,3596.82,7440.01,10702.31,14941.66,4110.54,8547.12,16991.13,21138.7,6002.54,12343.78,19146.95,25209.72,5168.86,11515.4,17529.03,23208.35,4298.04,13080.56,20250.16,31295.79,11187.26,5547.96,8886.41,10703.71,2279.01,5727.79,8898.26
管理费用,2308.31,4487.35,6737.28,9773.86,3209.02,6814.33,9221.17,19133.93,5206.02,9039.74,14486.35,22273.77,4925.22,12643.89,19332.37,27242.15,6653.41,13310.71,20349.16,29855.68,7321.17,14838.04,24219.44,30812.79,8273.96,14697.52,23221.7,35997.21,9298.19,19085.11,29211.88,43416.37,10286.25,20155.96,30279.16,43010.41,11584.75,23292.89,34835.14,47797.38,13872.35,26984.32,39515.77,59831.8,18283.37,37935.3,26275.09,35104.98,8789.29,16997.12,25358.66,37517.84,8167.33,18165.57,28588.03,42285.39,9854.56,18750.59,29152.58,42358.44,10867.39,21228.48,34440.28
财务费用,1688.79,3877.57,5361.06,8015.43,2488.63,6675.86,13176.58,18666.44,2476.17,2944.7,3165.48,5595.41,2743.72,6658.15,4858.8,6879.01,-723.69,437.2,4020.35,6974.32,-587.15,1190.79,858.2,2648.33,1819.09,2874.82,3330.25,4632.9,64.95,226.47,3468.41,6013.7,2187.13,1564.24,-330.69,-91.55,1132.09,-187.82,-45.34,-439.44,1765.09,6985.53,11596.52,15114.9,11060.4,5289.41,2618.91,2422.09,4997.78,6606.59,8620.91,15911.03,3600.91,7498.07,16962.86,30454.3,7563.4,14453.01,18663.04,26996.84,6853.35,2223.11,2307.66
资产减值损失,-160.03,-63.41,126.69,892.81,2268.06,2990.22,3061.49,2512.79,645.6,128.1,681.87,2068.1,101.54,386.7,728.92,666.22,236.09,898.17,-437.79,311.23,-707.42,38.36,-304.43,2567.48,-526.8,1597.51,591.31,942.96,125.12,229.03,71.76,454.32,-16.19,268.98,449.53,189.72,665.54,1620.08,1291.63,2561.08,20.71,1304.33,1368.04,5759.31,5382.63,51.74,-321.25,1042.23,805.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,1.15,0.0,-440.28,6.69,-100.08,-72.15,467.11,-17.24,24.34,188.31,172.76,-154.05,-106.29,-170.32,-160.54,26.91,-65.53,-21.37,203.04,-137.04,-242.1,-83.64,100.9,-461.05,-574.84,936.67,-430.33,367.86,530.49,137.0,150.91,21.23,-142.7,-117.26,-116.03,-9.56,-102.49,-57.05,0.0,0.0,-716.1,-1061.34,-757.82,600.4,-39.08,-724.31,-94.26,59.48,1043.73,1299.18,936.99,865.65,2367.18,3383.72,3786.37,1273.16,1183.67,-5350.15
