报表日期,2007-12-31,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
一、营业总收入,1653.61,3459.76,5367.06,1822.24,3595.38,5336.54,7867.58,1756.63,3623.86,5226.41,7959.75,1560.64,4369.8,7938.75,13201.11,3072.29,7876.31,12716.62,18498.84,4342.76,11427.28,18022.43,32447.6,10094.16,20514.47,32971.34,48952.76,6644.08,15448.35,27455.02,34309.09,6238.79,11879.31,19686.65,32134.81,6962.12,16652.9,22979.79,31322.31,7451.24,14421.94,19965.5,33400.54,8577.31
营业收入,1653.61,3459.76,5367.06,1822.24,3595.38,5336.54,7867.58,1756.63,3623.86,5226.41,7959.75,1560.64,4369.8,7938.75,13201.11,3072.29,7876.31,12716.62,18498.84,4342.76,11427.28,18022.43,32447.6,10094.16,20514.47,32971.34,48952.76,6644.08,15448.35,27455.02,34309.09,6238.79,11879.31,19686.65,32134.81,6962.12,16652.9,22979.79,31322.31,7451.24,14421.94,19965.5,33400.54,8577.31
二、营业总成本,845.83,1782.64,2420.24,1102.46,2289.16,3216.86,4404.18,928.43,1949.52,3101.93,5802.5,1268.89,4245.53,7317.37,13264.95,3148.34,7400.91,12298.67,18151.52,4499.83,10240.43,16392.61,26921.28,9888.19,19819.46,33495.22,56849.36,7325.1,16474.21,29681.79,68355.79,6325.97,12839.76,19977.14,44871.02,7570.13,16596.69,22272.19,30614.85,6547.67,13438.63,18296.66,30501.31,7829.32
营业成本,195.65,266.76,442.8,180.53,392.59,530.6,843.38,222.26,501.03,817.63,1178.62,368.05,920.07,1460.63,4099.31,937.71,1953.92,3323.03,5756.17,1822.64,4165.97,6800.73,10230.33,3784.38,7670.03,13148.44,19933.91,2814.46,6778.14,13754.66,19529.9,1996.0,4506.32,6757.44,12308.61,3110.46,7762.33,10270.3,13780.19,3167.49,6331.01,8650.29,13723.8,3281.86
营业税金及附加,49.3,108.93,150.63,35.55,66.81,90.55,122.72,28.23,57.26,74.38,109.75,35.83,96.27,240.4,337.13,116.99,284.64,462.29,622.25,109.43,221.65,348.86,600.71,149.69,217.67,237.68,289.27,9.91,33.43,47.02,179.88,94.16,130.54,266.88,104.41,19.65,49.79,66.44,96.7,31.2,45.7,58.63,97.63,19.33
销售费用,179.7,1130.95,1433.76,499.48,1202.41,1706.02,2329.82,539.69,1097.66,1856.66,3099.03,562.9,2559.21,4233.78,6029.41,1322.03,3729.45,6272.98,8422.33,1658.66,3651.3,5606.82,8471.26,2460.51,5245.38,9826.69,15133.56,1569.79,3451.04,6573.49,8946.78,1710.59,3050.36,4873.23,6713.4,1249.02,2442.7,3418.5,4102.76,707.93,1921.84,2780.51,6271.64,2488.63
管理费用,353.64,355.51,613.29,420.77,691.1,995.67,1256.66,368.48,840.61,1283.81,2694.98,640.54,1311.74,2386.18,3511.49,1235.77,2312.34,3589.55,4837.85,1269.37,2564.1,4172.41,7567.46,3624.37,6938.41,10041.79,12516.48,2655.55,5138.22,7901.88,10511.74,2976.7,5794.32,8611.95,12838.09,2812.33,5983.48,8049.9,10380.08,2014.81,4419.48,2732.45,3809.32,923.2
财务费用,1.21,-79.51,-155.02,-25.55,-50.46,-92.7,-131.41,-235.2,-576.78,-940.33,-1295.57,-335.79,-670.81,-1069.0,-1484.84,-437.43,-866.28,-1313.76,-1667.36,-337.08,-548.09,-754.88,-838.39,-131.55,-150.53,247.8,853.15,441.35,1001.06,1122.8,948.73,53.25,-172.48,-216.74,-529.48,52.48,204.75,362.1,448.87,208.48,-82.5,-253.31,-103.99,205.42
资产减值损失,66.33,0.0,-65.22,-8.32,-13.29,-13.29,-16.99,4.97,29.74,9.77,15.68,-2.64,29.06,65.38,772.44,-26.74,-13.16,-35.42,180.28,-23.18,185.49,218.67,889.91,0.79,-101.51,-7.19,8122.99,-165.96,72.32,281.94,28238.77,-504.73,-469.29,-315.64,13435.99,326.18,153.64,104.94,1806.24,417.77,803.09,755.46,2221.47,-142.86
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15,56.47
投资收益,0.0,0.0,30.55,0.8,0.8,0.8,0.8,0.0,0.0,-1.24,-7.48,-12.78,53.15,-16.43,-2.86,-3.02,-30.45,29.62,-10.75,4.61,110.51,769.42,502.76,341.8,341.8,2258.66,6041.11,807.64,1263.03,1460.76,24887.04,-121.3,-80.8,-172.8,-430.62,577.38,703.01,844.3,3910.28,423.35,1096.44,1069.21,1073.34,11.99
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.43,-2.86,-3.02,-30.45,21.35,-18.15,4.61,20.28,20.63,3.66,-19.17,-19.17,76.89,218.39,829.6,1263.02,1460.75,1260.8,-121.3,-115.06,-235.21,-436.1,164.44,236.39,347.99,3357.68,-128.3,-113.05,-128.97,-154.89,-7.74
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,807.78,1677.12,2977.37,720.58,1307.02,2120.48,3464.19,828.2,1674.34,2123.23,2149.77,278.98,177.42,604.95,518.47,-79.07,444.95,447.58,336.57,-152.46,1297.36,2399.24,6029.08,547.78,1036.81,1734.78,-1855.49,126.61,237.17,-766.01,-9159.66,-208.48,-1041.25,-463.28,-13166.83,-30.63,759.21,1551.9,5058.93,1479.37,2182.74,2858.06,4171.55,878.45
