报表日期,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31
一、营业总收入,3046.57,7506.35,10461.92,19597.41,2599.1,7052.75,11582.47,19751.35,2881.36,6544.78,10446.29,15174.05,1798.44,3450.2,4896.28,6351.44,569.92,1761.25,2242.87,3298.59,475.58,1429.62,2160.47,3231.15,1450.03,4516.38,7210.0,10234.11,1350.07,3783.88,6003.13,7999.09,1482.82,2844.63,6169.99,8370.07,1251.82,3639.88,6844.7,13874.17
营业收入,3046.57,7506.35,10461.92,19597.41,2599.1,7052.75,11582.47,19751.35,2881.36,6544.78,10446.29,15174.05,1798.44,3450.2,4896.28,6351.44,569.92,1761.25,2242.87,3298.59,475.58,1429.62,2160.47,3231.15,1450.03,4516.38,7210.0,10234.11,1350.07,3783.88,6003.13,7999.09,1482.82,2844.63,6169.99,8370.07,1251.82,3639.88,6844.7,13874.17
二、营业总成本,3161.57,7434.02,10484.11,18966.29,2949.31,7213.61,11578.59,18881.89,3168.82,6731.2,10593.95,14508.07,2270.02,4787.77,7210.38,15625.76,2127.46,3837.93,6001.36,12114.47,1282.8,3216.31,4855.91,7174.77,1974.13,4961.36,7882.81,12226.27,1836.71,5117.8,7749.5,10661.54,1822.45,4119.93,7699.63,11098.65,3317.46,5583.17,8986.01,16646.28
营业成本,1826.99,4864.8,6815.28,13848.72,2082.9,5017.86,8283.52,14916.84,2368.45,4753.51,7637.84,11122.76,1439.41,2780.08,3968.47,5395.01,410.02,1335.5,1634.08,2596.95,392.62,1215.68,1743.66,2679.55,782.63,2141.76,3730.0,5584.99,631.57,2640.31,3932.84,5175.64,982.23,1932.91,3710.9,4475.24,1126.84,2909.61,5051.85,6461.74
营业税金及附加,25.75,54.99,62.68,136.15,15.51,49.02,75.44,126.62,7.37,24.14,50.11,113.78,10.89,17.86,25.42,113.29,31.22,65.3,99.61,133.59,32.35,63.3,91.16,144.14,32.41,58.28,91.1,119.79,19.84,44.08,62.18,83.05,15.91,32.32,57.03,87.47,16.75,39.21,48.89,83.97
销售费用,567.01,897.12,1243.35,1578.18,142.83,763.49,1191.88,1632.62,170.67,733.72,1107.27,1453.83,135.47,513.69,802.82,1000.27,70.57,323.54,375.14,579.15,76.4,189.71,323.52,514.69,422.64,1739.37,2593.99,3913.14,760.98,1451.53,2247.78,3178.5,408.28,1064.27,1712.78,3563.55,553.3,760.26,1404.11,6820.79
管理费用,764.85,1635.41,2370.54,2925.55,698.98,1381.82,2059.53,2772.6,618.92,1200.53,1775.43,2546.56,689.77,1472.83,2400.21,3549.38,1575.32,2028.79,2860.41,4517.47,783.81,1654.94,2612.76,3687.8,754.12,1112.8,1602.21,2684.31,392.62,999.02,1518.69,1946.97,389.24,965.06,1980.48,2714.26,1489.3,1597.27,2208.27,2954.49
财务费用,12.93,19.6,30.17,0.28,9.09,1.42,-31.78,19.53,3.41,19.3,23.3,16.0,-5.52,-2.55,7.6,53.49,40.33,62.69,73.64,106.19,0.77,36.33,49.15,-29.99,-17.66,-90.86,-134.49,-178.17,31.7,-17.13,-11.99,27.16,26.8,52.47,94.99,42.24,47.28,153.16,23.36,49.23
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.31,0.0,0.0,0.0,102.21,0.0,0.0,0.0,250.22,0.0,72.89,143.45,215.89,84.0,123.65,249.53,276.05
资产减值损失,-35.96,-37.91,-37.91,477.41,0.0,0.0,0.0,-586.31,0.0,0.0,0.0,-744.87,0.0,5.86,5.86,5514.31,0.0,22.12,958.48,4181.11,-3.15,56.35,35.67,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
