报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,17733.57,39517.05,62152.21,94583.4,17244.38,46586.77,63956.12,97399.29,21989.57,46165.04,71346.68,102913.0,20211.66,47495.95,73736.48,108129.41,34899.46,66522.29,91923.57,123280.17,42665.49,90581.62,147285.21,219104.55,50106.31,199872.76,302348.12,422374.34,111913.31,286762.06,493376.4,730663.63,191141.79,416481.24,689264.33,1012300.04,239581.61,584354.76,891902.13,1266774.6,387178.4,910021.56,1658119.44,2548817.57,760822.59,1915470.06,3359630.44,4694082.03,969372.02,2154077.23,3823032.75,5165328.02,1123514.02,3028629.22
营业收入,17733.57,39517.05,62152.21,94583.4,17244.38,46586.77,63956.12,97399.29,21989.57,46165.04,71346.68,102913.0,20211.66,47495.95,73736.48,108129.41,34899.46,66522.29,91923.57,123280.17,42665.49,90581.62,147285.21,219104.55,50106.31,199872.76,302348.12,422374.34,111913.31,286762.06,493376.4,730663.63,191141.79,416481.24,689264.33,1012300.04,239581.61,584354.76,891902.13,1266774.6,387178.4,910021.56,1658119.44,2548817.57,760822.59,1915470.06,3359630.44,4694082.03,969372.02,2154077.23,3823032.75,5165328.02,1123514.02,3028629.22
二、营业总成本,18024.85,39828.63,62647.1,95397.4,17773.45,47094.7,64570.11,97364.45,22314.87,46927.32,72358.8,104900.94,22035.66,49971.86,76103.37,110038.6,34814.61,66610.26,92118.21,123497.49,43247.0,90256.58,146127.98,218992.85,51112.91,196082.86,295781.56,413858.5,111188.74,284270.41,487385.59,718921.09,190693.09,411764.85,678129.24,989398.88,239090.93,579718.61,879034.85,1262140.47,385001.66,900893.26,1637055.48,2517696.59,755523.45,1893383.45,3321729.12,4630770.98,963699.01,2114110.49,3741046.4,5024696.98,1090005.59,2924147.62
营业成本,15482.48,33835.4,52792.12,81175.5,14463.57,40345.87,53719.37,80967.63,17632.87,35350.03,56991.94,86526.99,16076.02,39746.47,60746.91,86313.72,28139.49,53251.01,71909.31,95107.33,31408.38,70190.06,114725.46,172119.77,39650.86,168625.79,249111.92,349961.62,93750.34,250428.78,427894.46,627004.79,160355.52,353556.22,590223.29,855593.3,204160.26,503138.84,770171.57,1092963.19,343903.12,812127.62,1482498.35,2279192.32,669628.07,1693984.96,2994702.14,4176705.7,855534.87,1899488.09,3396820.62,4546831.4,991251.12,2668965.98
营业税金及附加,5.15,84.08,105.65,219.82,-8.12,59.67,109.74,202.64,15.88,203.8,242.92,334.36,68.64,141.28,200.2,484.06,152.89,227.98,311.64,652.88,158.62,311.02,509.2,885.89,187.31,437.54,623.85,754.28,177.33,380.24,570.81,890.7,127.03,344.48,632.34,1008.03,196.12,401.1,710.68,2598.19,456.23,816.32,2239.7,3364.03,756.0,1835.52,3277.66,5333.45,860.62,2663.77,5011.47,9303.3,1153.67,3001.88
销售费用,1012.71,2119.58,3415.28,5425.49,1510.83,3159.29,5174.83,7168.59,1585.81,3476.45,4809.73,6536.48,1823.46,3323.89,5372.38,7515.93,2283.77,4291.47,6718.33,10000.64,4426.6,6749.04,11308.57,17754.27,3790.29,10556.32,17342.0,24854.71,6492.2,15605.82,26620.25,40048.94,13194.52,24198.79,36591.29,52256.74,11895.84,26680.53,40109.35,57978.65,14300.21,32047.44,58459.12,79410.19,19792.62,46406.47,81533.98,122925.16,31598.5,69244.92,105471.65,143885.18,28954.23,80387.59
管理费用,1612.47,3810.41,6439.4,8128.87,2001.84,4174.86,6242.66,9584.51,3107.41,7713.99,10117.71,11211.26,3909.01,6272.18,9517.87,15249.31,3766.7,7637.79,12357.92,16661.6,6795.94,11753.15,18590.5,25115.63,6507.3,13862.33,22338.07,27611.38,7299.12,13016.9,23712.55,36010.93,11340.98,22142.43,35169.49,57547.3,17070.43,34690.49,52462.32,56917.28,19462.6,37606.96,68337.67,107217.33,39218.69,97139.65,46077.45,57675.76,17009.41,41393.5,64717.04,78030.2,15455.29,43215.43
财务费用,-87.95,-20.84,-105.36,-327.64,-194.67,-777.99,-713.63,-524.38,-27.1,-0.27,-70.39,-103.36,-20.05,-102.36,-304.82,-366.14,141.8,303.82,419.05,490.92,126.88,216.81,436.06,1096.61,645.73,2336.79,4834.91,7014.94,1921.63,3395.21,5031.12,6863.08,3453.71,6191.29,8879.5,11262.02,2695.79,5002.7,7503.46,11413.94,2850.68,9630.58,12953.28,21720.9,4992.98,18937.48,32123.6,42428.68,1100.08,9017.56,24540.19,11874.64,7616.67,2312.48
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123047.89,174666.71,43191.57,92302.65,144485.42,234772.25,45574.6,126264.26
资产减值损失,0.0,0.0,0.0,775.35,0.0,133.02,37.16,-34.55,0.0,183.32,266.89,395.2,178.58,590.41,570.84,841.72,329.96,898.2,401.94,584.12,330.58,1036.52,558.19,2020.69,331.44,264.09,1530.81,3661.57,1548.11,1443.46,3556.4,8102.64,2221.33,5331.65,6633.33,11731.48,3072.5,9804.93,8077.48,40269.22,4028.82,8664.35,12567.36,26791.81,21135.1,35079.37,40966.41,51035.52,2064.67,0.0,0.0,0.0,0.0,0.0
