报表日期,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
货币资金,4307.2,2576.47,19107.69,15981.25,15490.32,11593.46,10935.9,15137.88,14248.44,9278.24,32007.54,32606.69,33337.0,27305.85,35433.22,35419.25,32968.09,25015.18,20741.3,26796.81,32135.66,32418.77,30614.64,25756.64,32258.7,32767.16,32479.22,29864.72,36352.1,43072.61,87255.6,34048.91,46136.39,34859.89,288618.27,297298.07,233944.94,231560.08,173263.06,106783.1,205338.98,154038.28,133207.8,90860.94,166115.27,88506.75,110942.61,68113.81,156309.42,163478.71,247724.32,217362.91,277489.58,179533.02,315186.82,265465.87,239357.87,245086.73,305160.25,345233.87
交易性金融资产,0.0,0.0,0.0,0.0,26.34,46.46,69.69,207.87,223.78,95.29,92.15,304.52,159.62,180.41,48.23,0.0,0.0,89.54,134.38,172.85,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88500.0,133560.0,61604.91,105134.36,120563.22,194169.07,228122.73,276385.26,235251.13,218856.83
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105083.07,0.0,79032.91,0.0,129847.25,0.0,106132.52,127736.44,157351.07,148862.35,124256.25,158482.8,166827.24,158556.17,97426.03,86904.08,75092.64,68160.44,54681.15,73077.91,83256.82,77186.58,51601.38,76381.23,97602.81,82670.3
应收票据,470.35,604.76,319.18,170.81,287.55,198.81,357.89,863.02,1242.41,821.15,855.12,256.58,373.26,2369.62,4475.34,4293.99,11110.06,7305.13,15331.02,11332.16,15394.82,12954.78,20414.99,19101.3,24444.2,20731.83,23870.57,24668.56,30660.75,16309.88,21201.83,21607.83,25898.58,18648.57,27451.84,12571.91,23678.59,8123.8,15672.37,13101.9,30774.39,34372.54,45773.46,42918.48,39819.41,30795.15,20852.76,10325.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,4296.72,6004.34,6410.84,6586.24,4622.09,8887.39,11323.31,9332.51,8242.54,16226.64,17878.79,17314.89,14509.56,25143.5,24760.23,26088.61,21019.51,34445.31,35528.64,35043.62,28693.08,41903.07,39822.11,45040.06,32640.9,49873.0,59419.05,61961.53,43185.86,68081.82,79251.97,81749.71,49319.39,75315.59,77631.23,81346.9,55354.32,108929.32,114174.88,111228.74,75358.14,93363.9,111577.61,105943.87,84436.85,127687.66,145974.48,148230.18,97426.03,86904.08,75092.64,68160.44,54681.15,73077.91,83256.82,77186.58,51601.38,76381.23,97602.81,82670.3
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27113.37,11901.18,10574.38,13923.41,26959.94,22101.97,24587.09,39989.54,26775.6,5565.7,5689.94,6265.47
预付款项,386.37,541.66,714.68,1168.41,720.37,379.25,373.36,217.62,475.61,741.8,1367.49,1572.92,2218.39,1420.36,1235.96,864.19,1303.41,1357.7,1662.16,2501.19,4125.86,4229.68,1985.42,3201.43,2298.25,1937.53,1377.58,2558.07,11704.46,14292.59,5604.91,7509.43,9457.46,17928.93,18685.57,19290.31,9107.1,10612.83,14699.7,20094.5,22520.98,34241.78,32797.37,34792.35,14273.16,23780.32,22874.1,25393.97,23638.4,21473.07,23528.72,14712.46,5842.04,7016.74,6088.78,6258.25,4229.77,6767.38,5686.17,6008.45
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9065.72,0.0,6511.25,0.0,11401.59,0.0,8295.09,13756.29,7991.11,9027.77,8797.07,9162.73,8088.25,8713.93,4543.26,3454.7,3039.6,5388.76,3020.71,4645.76,4075.58,6582.15,3501.55,5176.33,3868.37,3261.58
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,535.87,622.43,1378.23,968.06,432.09,697.49,797.97,663.92,518.07,843.45,500.99,595.35,872.53,1574.21,1578.56,1071.21,899.25,1823.07,2146.33,1499.76,6099.72,6885.8,7442.88,7371.63,6843.04,9882.92,11800.26,12767.89,6505.43,7541.77,6480.81,7035.45,6571.21,7304.3,9065.72,11143.12,6511.25,7226.33,11401.59,8639.22,8295.09,13756.29,7991.11,9027.77,8787.93,0.0,8088.25,0.0,4543.26,0.0,3039.6,0.0,3020.71,0.0,4075.58,0.0,3501.55,0.0,3868.37,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
