报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31
货币资金,1014.63,4563.54,3262.2,7594.24,2916.79,10237.61,5293.94,4396.84,8744.69,10441.74,6638.3,8889.88,5702.78,14734.52,11221.29,16739.95,17526.49,11937.33,67862.96,49242.32,64039.83,11709.74,30379.28,41454.47,57515.86,83247.63,63862.85,62761.54,67087.8,64224.08,53552.34,59895.31,26148.27,15304.95,23632.79,30127.2,38689.08,23896.8,33430.13,33278.42,32784.65,36455.07,41701.31,41665.65,25428.92,31768.02,44141.35,37401.56,19750.45,85496.43,55228.17,66368.92
交易性金融资产,747.5,729.86,1041.49,1015.77,733.53,507.15,408.66,385.88,635.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.2,202.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,381.55,193.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64521.7,0.0,52314.03,0.0,76709.6,0.0,68709.71,76410.14,90033.28,84273.95,87312.15,103004.26,106900.28,99101.87,81360.67
应收票据,447.63,380.61,678.41,1338.59,710.2,212.48,139.55,316.81,464.08,428.47,488.69,552.16,673.58,1015.59,1623.53,1677.68,573.72,1770.62,569.03,1601.39,2385.43,1350.16,737.52,2674.47,1967.43,3362.41,1322.83,3102.15,1125.2,1963.65,2986.33,3316.07,4432.61,5830.42,11490.21,12611.54,12987.31,9518.38,4103.55,6027.12,9118.85,9499.59,9451.21,7613.0,5669.79,8583.59,10813.93,10584.22,10928.95,10885.55,13049.41,0.0
应收账款,7045.24,8112.69,8852.86,6945.63,8606.44,9807.6,8384.36,7328.05,9262.11,9005.66,10265.09,9669.86,14351.83,16290.93,18436.3,15960.84,18312.32,31207.03,37654.61,41543.94,48545.71,59080.7,56701.12,50791.6,55280.12,54786.08,48289.62,41253.82,40908.03,44844.39,41413.96,36490.08,43713.97,45333.53,44932.12,45185.23,52576.59,55003.32,53510.2,46286.91,64511.57,67210.02,57598.28,61096.71,70740.35,81449.69,73460.02,76727.94,92075.31,96014.73,86052.47,81360.67
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12497.64
预付款项,5323.39,6139.33,4913.65,3758.18,4206.94,5543.5,5677.12,3096.67,3253.25,3532.81,3202.98,4444.23,3152.95,7410.8,7308.6,13132.92,14370.48,12326.59,15904.7,14173.33,18517.77,18193.38,12458.68,12292.89,16956.98,15788.19,15152.32,14263.38,19602.15,12465.4,10910.17,10902.72,20534.1,9976.36,12961.98,12878.87,14838.29,13152.07,15022.51,13914.69,21688.89,14157.33,16200.47,10762.73,19821.14,13732.35,17237.81,14476.86,15663.35,14743.01,16049.7,12688.13
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3769.4,0.0,2861.06,0.0,3722.87,0.0,4316.57,4510.82,5089.19,5673.84,3955.39,4521.72,3817.71,4851.22,3237.62
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,600.83,51.33,480.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,3242.84,1054.77,904.53,710.48,1017.1,1538.46,1264.24,1094.3,1250.23,1202.68,1675.89,3419.31,4253.67,961.62,3435.5,1898.29,3715.85,1388.97,3064.28,1654.8,2207.14,4333.35,1490.66,4402.32,3435.91,5835.42,4035.53,4004.34,3488.36,3941.34,3155.68,1774.76,2546.28,2319.31,2288.63,2430.57,2555.75,3769.4,2619.43,2861.06,2688.48,3722.87,4585.33,4316.57,4510.82,5089.19,5673.84,3955.39,0.0,3817.71,0.0,3237.62
