报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
一、营业总收入,10351.34,21031.07,32554.44,48533.55,7967.75,18031.64,23234.82,49333.43,4209.39,12913.66,15153.41,19387.73,1518.9,3054.63,7929.17,12653.34,21299.04,25731.67,94682.96,158088.07,12892.67,38382.09,112983.24,147379.71,13020.09,41025.97,46267.16,140799.62,49693.46,81717.41,200137.02,474179.74,229528.89,477087.12,622559.9,884520.89,232400.84,507500.38,722892.18,1066387.4,207959.67,397247.94,518369.15,821752.6,237032.9,541326.06,747404.49,1103846.2,37859.54,54378.29,92705.77,116610.41,15407.82
营业收入,10351.34,21031.07,32554.44,48533.55,7967.75,18031.64,23234.82,49333.43,4209.39,12913.66,15153.41,19387.73,1518.9,3054.63,7929.17,12653.34,21299.04,25731.67,94682.96,158088.07,12892.67,38382.09,112983.24,147379.71,13020.09,41025.97,46267.16,140799.62,49693.46,81717.41,200137.02,474179.74,229528.89,477087.12,622559.9,884520.89,232400.84,507500.38,722892.18,1066387.4,207959.67,397247.94,518369.15,821752.6,237032.9,541326.06,747404.49,1103846.2,37859.54,54378.29,92705.77,116610.41,15407.82
二、营业总成本,10230.41,20532.88,31858.39,48015.37,7804.23,17859.57,23031.2,48173.64,3945.57,13689.36,15843.41,20030.22,2187.34,3503.66,7318.49,11807.74,18562.42,21144.02,86015.49,147814.28,11450.45,38472.01,111520.06,139874.49,20385.46,44101.98,47118.77,127128.13,44271.99,74991.21,189346.39,444946.28,216947.19,457802.42,596708.72,839470.07,206446.03,457783.64,659661.91,986654.81,198239.23,368590.91,475983.85,749288.02,221140.42,527251.52,740124.17,1225860.6,47501.07,73919.62,122146.95,162424.35,25164.36
营业成本,9259.85,18683.92,29055.46,43385.84,6709.85,16183.81,20319.29,41801.57,3089.77,11651.07,13245.02,16227.7,851.64,1790.65,5302.1,8395.96,16201.73,19030.54,84327.88,143398.87,12843.27,38253.16,109554.2,135412.99,12952.56,36316.96,38628.32,117407.1,43176.43,72441.67,183817.61,433868.27,214393.35,446741.63,580716.96,815125.45,194782.78,432043.09,616282.07,922701.41,185003.12,338459.61,428827.35,676842.77,204472.68,487842.68,682355.82,1023317.57,32752.6,45815.26,79046.04,102388.2,13276.34
营业税金及附加,23.44,96.27,171.99,544.35,103.95,148.13,374.76,2244.34,273.53,669.46,854.68,1217.7,128.5,257.98,647.92,876.37,1771.23,1957.69,2604.27,3739.63,5.05,13.9,422.61,1847.84,0.52,201.47,248.41,542.87,184.52,237.36,299.44,745.85,168.2,125.15,211.38,459.54,1033.96,1940.88,2885.24,5129.7,838.96,1772.64,2704.64,3984.82,671.74,1541.11,2059.88,2814.18,382.31,779.02,1105.34,1706.6,165.33
销售费用,365.52,639.67,936.57,1160.37,215.11,466.04,637.58,1062.13,137.8,240.94,339.75,421.31,87.69,133.42,196.58,377.07,71.78,127.55,311.27,963.23,67.16,91.36,223.01,798.69,0.0,0.0,16.59,61.17,24.66,226.52,258.32,433.59,222.52,595.72,913.77,1580.3,4799.36,8636.58,13833.03,17361.3,3068.76,6826.63,10418.88,15282.05,3805.06,8004.13,11528.16,18042.6,2150.52,4144.46,7926.78,7619.92,1271.19
管理费用,414.67,790.58,1142.04,1810.75,608.97,1097.48,1636.56,2536.97,435.38,1018.37,1313.92,1846.68,504.11,756.66,1109.73,1521.03,336.29,680.61,999.84,1802.42,225.36,708.47,2195.16,2643.23,7508.4,6862.72,7344.82,5861.53,518.66,1181.86,1947.08,3009.38,684.06,2222.48,3977.89,6529.66,2796.52,6007.14,9579.55,14583.37,3534.64,7292.42,10792.79,15613.93,3467.59,7043.59,10077.4,14454.21,1887.92,5236.28,7161.89,12467.29,2395.28
财务费用,238.73,284.37,391.47,440.54,201.35,210.08,309.73,386.37,16.08,33.74,66.12,125.26,25.8,-310.16,-858.07,-677.29,-388.21,-1035.54,-1368.23,-1520.05,-271.08,-325.35,-459.56,-630.18,-12.89,265.0,734.68,1374.94,537.38,982.99,2031.28,4012.75,2909.32,7183.16,11173.72,16265.88,4464.28,10143.68,16845.06,22786.12,6618.52,14078.69,21834.36,29477.62,7844.25,16800.88,24818.96,36292.37,8534.0,17908.56,26867.21,38242.34,8056.22
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.25,23.57,36.04,39.7,0.0,0.0
资产减值损失,-71.8,38.08,160.87,673.53,-35.0,-245.97,-246.72,142.26,-6.99,75.79,23.92,191.57,589.61,875.11,920.23,1314.6,569.59,383.17,-859.53,-569.82,-1419.32,-269.54,-415.37,-198.08,-63.13,455.82,145.96,1880.53,-169.67,-79.2,992.66,2876.44,-1430.25,934.28,-285.01,-490.77,-1430.86,-987.74,236.95,4092.92,-824.77,160.91,1405.83,8086.83,879.11,6019.13,9283.96,130867.41,1770.16,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.79,-305.33,-939.17,-30.66,464.69,-272.57,-94.21,0.0,0.0,0.0,31.79,-686.15,-359.51,-31.79,2147.4,529.48,-625.6,-802.98,592.87,-488.61,-16288.51,-10275.38,865.73,-3454.24,-2723.31,-3029.01,-2996.69,-1251.42,532.81,-326.54,-2886.9,2700.59,2110.46,2104.53,2236.5,-112.52
投资收益,0.0,0.0,0.0,0.0,0.0,0.34,0.34,29.17,0.0,1178.36,1178.64,1178.36,0.79,-30.94,-190.9,-199.17,-108.61,1179.02,2411.65,3766.81,-30.66,-242.97,300.17,679.66,15262.53,15321.5,15399.93,3287.4,170.59,431.34,1235.76,1754.51,-524.95,1886.7,2004.42,2305.55,1014.01,-1239.25,-8228.4,-11920.45,6599.26,6884.01,6606.08,7226.42,368.54,807.93,1051.1,6479.54,-1585.62,-1394.06,-1472.68,-2064.76,-38.0
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,-31.73,-191.69,-200.18,-130.43,-236.17,-236.17,-236.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-244.17,-512.3,-140.27,-175.69,-168.06,-187.94,12.15,-31.06,-82.26,-24.21,-27.12,11.27,-67.35,-142.21,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,120.93,498.19,696.05,518.18,163.52,172.41,203.96,1188.96,263.81,402.65,488.64,535.87,-667.64,-479.97,419.78,646.43,2628.01,5815.46,10773.79,13101.43,1380.91,131.8,1490.79,8090.68,7897.16,12245.49,14548.33,16990.66,4905.92,6798.03,11994.61,33135.37,12586.23,20545.81,27052.63,47949.24,26480.21,32188.97,44726.48,68677.86,12865.46,32817.73,45962.38,79344.66,16182.97,18141.04,10731.55,-114230.59,-8500.7,-21417.19,-33238.02,-333850.34,-15928.03
加:营业外收入,14.13,51.33,51.95,588.7,0.0,12.39,48.7,133.78,0.0,34.81,288.63,288.63,0.0,0.33,0.33,0.03,2.6,10.85,11.03,29.17,0.0,27.7,1092.77,666.39,0.0,65.49,136.19,172.23,0.03,5.07,35.07,1009.66,0.01,71.84,1311.41,1582.09,1202.73,1863.52,2522.91,2889.43,1048.0,1209.14,2389.23,663.52,8.47,15.35,1002.74,995.25,7.13,32.91,34.11,255.61,3.76
减：营业外支出,0.15,21.53,21.63,21.93,0.14,1.48,128.48,174.9,4.66,21.92,22.16,39.88,6.53,8.16,20.74,49.07,21.83,27.69,108.47,171.87,12.96,89.39,219.7,147.82,81.79,31.1,31.1,54.69,0.0,1.13,4.56,47.89,35.18,346.55,370.08,556.92,74.68,125.27,229.93,132.11,10.72,33.1,219.76,384.84,8.59,52.98,75.75,3822.14,17.88,52.73,75.26,163.93,12.9
其中：非流动资产处置损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,13.12,11.15,11.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.36,0.0,49.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,0.0,0.36,12.85,13.23,0.0,13.31,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,134.91,527.99,726.37,1084.94,163.38,183.32,124.18,1147.85,259.16,415.55,755.11,784.62,-674.17,-487.8,399.37,597.39,2608.77,5798.62,10676.35,12958.74,1367.95,70.11,2363.85,8609.25,7815.37,12279.88,14653.42,17108.2,4905.95,6801.97,12025.12,34097.15,12551.06,20271.1,27993.95,48974.42,27608.27,33927.22,47019.46,71435.18,13902.74,33993.76,48131.84,79623.33,16182.85,18103.41,11658.53,-117057.48,-8511.44,-21437.01,-33279.18,-333758.66,-15937.18
减：所得税费用,31.06,-67.74,10.73,365.7,61.56,77.06,42.1,817.23,175.92,195.99,277.27,355.3,-100.06,-32.18,256.18,307.45,691.44,1471.53,2359.05,3015.48,1365.95,-61.7,296.22,2097.19,2028.08,2980.49,3602.42,8167.26,1235.62,1757.99,3393.82,8979.69,2973.79,6388.99,9250.33,14219.27,6962.97,8833.0,13289.65,20443.15,3385.33,8766.06,13731.86,23377.52,5295.67,7585.17,7391.13,396.48,586.58,771.66,343.51,8036.65,-826.08
五、净利润,103.85,595.73,715.64,719.24,101.82,106.27,82.08,330.62,83.23,219.56,477.83,429.33,-574.11,-455.62,143.19,289.94,1917.33,4327.1,8317.3,9943.25,2.0,131.81,2067.63,6512.05,5787.3,9299.39,11051.0,8940.95,3670.33,5043.98,8631.3,25117.46,9577.27,13882.1,18743.62,34755.15,20645.3,25094.21,33729.81,50992.03,10517.41,25227.7,34399.98,56245.81,10887.19,10518.24,4267.4,-117453.96,-9098.03,-22208.66,-33622.68,-341795.31,-15111.09
归属于母公司所有者的净利润,106.23,593.96,716.1,712.96,108.82,118.9,108.79,284.13,83.79,261.27,509.55,443.53,-543.49,-440.36,87.25,207.31,1719.95,3881.28,7573.39,9035.37,10.09,156.77,1873.0,5878.31,5787.3,9299.39,11051.0,8940.95,3670.33,5043.98,8631.3,25117.46,9577.27,13882.1,18743.62,34755.15,20447.19,24751.68,33271.29,49606.71,10583.57,25436.58,34786.82,54515.31,11005.41,10810.71,4683.21,-116494.22,-9017.96,-22060.77,-33380.87,-337453.88,-15057.19
少数股东损益,-2.37,1.77,-0.46,6.28,-7.0,-12.64,-26.71,46.49,-0.56,-41.71,-31.71,-14.2,-30.62,-15.25,55.94,82.63,197.39,445.81,743.91,907.88,-8.09,-24.96,194.63,633.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.11,342.53,458.52,1385.32,-66.16,-208.88,-386.84,1730.5,-118.22,-292.47,-415.81,-959.75,-80.07,-147.89,-241.82,-4341.43,-53.9
基本每股收益(元/股),0.0084,0.047,0.056,0.056,0.0086,0.0094,0.0086,0.022,0.0066,0.0206,0.0402,0.035,-0.0428,-0.0347,0.0069,0.016,0.136,0.306,0.597,0.71,0.001,0.0124,0.148,0.4633,0.184,0.296,0.351,0.31,0.097,0.103,0.176,0.512,0.195,0.283,0.174,0.322,0.137,0.166,0.223,0.333,0.071,0.171,0.234,0.366,0.074,0.073,0.031,-0.783,-0.061,-0.148,-0.224,-2.267,-0.101
稀释每股收益(元/股),0.0084,0.047,0.056,0.056,0.0086,0.0094,0.0079,0.022,0.0066,0.0206,0.0402,0.035,-0.0428,-0.0347,0.0069,0.016,0.136,0.306,0.597,0.71,0.001,0.0124,0.148,0.4633,0.184,0.296,0.351,0.31,0.097,0.103,0.176,0.512,0.195,0.283,0.174,0.322,0.137,0.166,0.223,0.333,0.071,0.171,0.234,0.366,0.074,0.073,0.031,-0.783,-0.061,-0.148,-0.224,-2.267,-0.101
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,-59.35,205.04,127.86,162.67,-250.31,-250.02,-705.22,-851.01,-865.31,-146.49,6.54,-107.26,-542.4,-372.0,-186.0,110.4,-133.2
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.33,-574.11,-455.62,143.19,289.94,1917.33,4327.1,8317.3,9943.25,2.0,131.81,2067.63,6512.05,5787.3,9299.39,11051.0,8940.95,0.0,5043.98,8631.3,25117.46,0.0,13882.1,0.0,35553.15,20585.95,25299.26,33857.67,51154.7,10267.1,24977.68,33694.76,55394.8,10021.88,10371.75,4273.94,-117561.23,-9640.43,-22580.66,-33808.68,-341684.91,-15244.29
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.53,-543.49,-440.36,87.25,207.31,1719.95,3881.28,7573.39,9035.37,10.09,156.77,1873.0,5878.31,5787.3,9299.39,11051.0,8940.95,0.0,5043.98,8631.3,25117.46,0.0,13882.1,0.0,35553.15,20387.84,24956.72,33399.15,49769.38,10333.26,25186.56,34081.6,53664.3,10140.1,10664.22,4689.75,-116601.48,-9560.36,-22432.77,-33566.87,-337343.48,-15190.39
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.2,-30.62,-15.25,55.94,82.63,197.39,445.81,743.91,907.88,-8.09,-24.96,194.63,633.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.11,342.53,458.52,1385.32,-66.16,-208.88,-386.84,1730.5,-118.22,-292.47,-415.81,-959.75,-80.07,-147.89,-241.82,-4341.43,-53.9
