报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,303399.83,256697.85,160134.7,211985.3,181997.78,303782.7,305711.92,443008.12,343981.71,408197.42,325888.88,497685.38,479971.91,623705.79,371292.78,349081.65,405401.41,670930.2,543153.32,404643.71,496662.51,505722.09,527660.89,589391.34,764473.6,772636.79,457216.65,411610.55,460789.41,430370.54,812970.96,493417.25,673068.22,2190658.15,1195341.01,1041289.75,535816.97,457126.3,489778.7,597062.31,601934.9,613999.38,754680.7,1166616.67,837303.97,1097834.36,847266.8,1170537.4,1028391.09,999102.18,1259402.47,1177091.86,812900.74,906100.88,843448.47
交易性金融资产,2755.68,3597.32,5079.18,6142.79,4566.85,4109.95,4059.78,3024.6,3517.87,4111.88,4104.98,4884.82,4178.27,3042.91,3176.83,3138.16,3270.88,3079.32,2575.81,2607.04,2631.13,2410.39,2302.62,2653.31,2712.5,2138.21,2209.54,2168.44,2264.76,2370.21,2526.17,3751.69,3947.5,4368.4,3280.17,3314.15,3107.37,3022.13,2672.84,3401.12,3609.83,3703.88,3702.14,3756.21,3741.24,3639.01,4046.88,3323.73,3689.34,3536.82,1235.44,1217.08,1020.23,1550.7,1545.13
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639621.06,0.0,576744.52,0.0,611023.7,0.0,708907.14,895572.58,1029596.69,1345185.89,1053493.39,721311.5,751912.45,717486.75,389559.77,361921.35,361457.14,469005.52
应收票据,128804.93,109819.56,326156.9,75155.36,192901.73,111195.02,405430.4,442374.87,215291.26,327417.91,330975.62,391734.11,458891.48,381638.74,381675.65,368029.96,376737.52,414584.18,423165.53,622635.64,590467.89,623041.72,542151.85,588742.43,406980.05,518788.01,523037.83,562910.43,548269.48,498965.41,719283.55,801190.17,798079.42,762021.85,782981.46,469308.03,548362.12,475628.88,519948.75,421019.11,402467.07,434471.92,436022.24,400422.01,562233.78,700408.77,915558.26,745532.7,382512.0,379466.91,374473.76,77142.39,88716.63,41506.71,99039.42
应收账款,41095.14,43762.76,44643.35,37893.61,11941.78,18508.14,27587.08,40880.39,40956.28,52712.34,53327.65,27698.13,101213.03,79827.47,54376.22,88557.07,37701.27,150367.17,43664.64,100099.52,71960.0,104927.51,98444.93,182589.3,136427.6,124027.97,132442.14,124632.64,107087.41,144601.88,131160.2,172740.47,126668.47,169783.62,179528.19,138064.41,131261.58,163992.18,192925.89,155725.4,176806.58,176551.79,293232.13,308485.14,333338.79,329187.91,429627.64,307960.69,338799.5,372445.54,343013.0,312417.38,273204.72,319950.43,369966.1
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292298.0,335758.4,337639.05,489863.49
预付款项,38580.15,51362.36,76986.94,114674.29,119231.76,122233.15,88306.56,93724.41,103409.07,105189.95,100091.74,80220.33,61135.64,81632.8,82840.74,97508.84,69819.86,87787.7,55536.4,52442.28,32140.25,60909.48,60324.23,100445.39,58668.44,182188.97,40059.55,81558.21,91544.16,99720.2,85938.41,48499.74,65225.23,1527988.45,76005.77,42116.28,35136.67,72596.11,71987.02,148512.28,190832.94,141289.43,197889.94,85397.33,108286.2,86519.97,107251.23,45003.54,45932.5,71956.56,133578.44,92163.0,66635.48,81979.4,88057.38
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123236.04,0.0,86725.3,0.0,84753.35,0.0,47570.85,34056.1,56593.78,52968.14,48184.54,43089.78,45933.62,45351.53,37918.6,58825.02,51201.34,46907.61
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
