报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,109058.56,110765.01,112736.36,121696.87,53632.37,80333.23,113148.9,21800.2,51097.24,80502.18,114616.98,24130.71,54702.28,157827.42,211437.51,43081.47,97437.07,162184.23,245749.28,65626.34,137810.85,210638.39,315956.16,55286.16,144064.43,258132.94
营业收入,109058.56,110765.01,112736.36,121696.87,53632.37,80333.23,113148.9,21800.2,51097.24,80502.18,114616.98,24130.71,54702.28,157827.42,211437.51,43081.47,97437.07,162184.23,245749.28,65626.34,137810.85,210638.39,315956.16,55286.16,144064.43,258132.94
二、营业总成本,99038.82,98067.74,99347.08,107105.75,46844.94,70251.76,97489.69,18854.88,43255.83,68865.96,97009.67,21844.13,48180.41,107046.33,150099.35,28900.02,70522.98,114636.64,178029.07,43295.82,95854.22,141612.31,218921.87,42236.36,113936.26,195966.54
营业成本,85844.9,86431.24,87328.82,94103.73,40098.52,60305.54,83934.67,15191.0,36240.58,57968.87,81573.44,18473.75,41793.71,90257.24,120504.8,23226.78,57052.11,93927.29,142415.73,35521.18,77109.97,116139.78,173030.12,29089.23,86542.74,153189.13
营业税金及附加,586.89,578.45,619.02,676.78,193.3,359.78,571.88,105.66,233.21,392.12,1076.76,225.19,579.03,1079.65,1663.16,214.66,711.03,1450.45,2043.67,193.85,411.3,852.13,1492.04,653.64,1077.56,2264.14
销售费用,1763.56,2769.96,2939.02,2959.49,1400.86,1970.16,2975.66,746.95,1686.94,2442.58,3440.15,651.01,1233.96,2967.89,4220.27,1032.67,2282.23,3406.83,4982.1,1160.91,2928.52,4354.73,6725.02,1802.01,4301.84,7206.63
管理费用,9019.95,6477.1,7169.12,8208.19,4601.81,6799.72,8910.95,2491.33,4859.46,7461.94,10122.25,2611.04,4745.96,7674.36,13646.81,2480.14,5508.5,7675.45,15442.77,3041.04,6650.8,8164.43,12286.78,3648.67,7056.06,13301.67
财务费用,1693.72,1535.27,1213.81,979.81,479.06,745.24,949.68,109.88,364.09,585.64,431.18,-116.85,-200.0,606.58,1222.34,334.16,960.98,1300.05,2485.03,940.45,3966.12,4809.97,9896.59,4034.76,8451.3,11782.96
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4401.43,8542.66,1571.6,4008.13,6141.08,9664.99,2248.93,4787.51,7291.27,15491.32,3008.05,6506.75,8222.02
资产减值损失,129.79,275.71,77.29,177.76,71.39,71.31,146.86,210.06,-128.44,14.82,365.9,0.0,27.73,59.2,299.32,40.0,0.0,735.49,994.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,61.36,67.92,74.77,99.98,53.87,54.31,125.22,0.54,78.66,105.37,136.34,233.01,588.95,801.81,936.91,259.18,702.66,871.19,934.98,47.47,66.22,102.83,167.64,0.0,93.78,137.98
其中:对联营企业和合营企业的投资收益,61.36,67.92,72.81,96.95,46.31,50.38,116.44,0.0,76.1,104.94,130.84,36.55,67.4,67.4,140.3,42.31,82.91,105.91,118.89,19.79,66.22,102.83,148.46,0.0,93.78,137.98
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,10081.1,12765.19,13464.05,14691.09,6841.3,10135.78,15784.44,2945.86,7920.07,11741.59,17743.65,2519.6,7130.33,52508.7,63627.46,14938.41,29906.23,51932.62,77784.5,26711.0,49663.31,78856.83,106269.58,16561.98,37850.59,76662.25
加:营业外收入,759.39,684.51,1206.7,264.58,374.18,1032.35,1627.29,354.61,884.61,1151.83,1629.34,145.39,294.68,48.26,58.97,6.03,25.61,63.07,44.17,15.67,10.82,21.6,20.98,967.63,973.32,1134.61
减：营业外支出,11.02,6.0,6.45,29.37,22.34,22.57,24.17,24.97,39.41,93.27,85.35,7.26,7.45,28.42,293.34,7.9,10.47,23.53,16.25,0.23,8.95,15.2,97.59,300.9,388.88,588.6
其中：非流动资产处置损失,0.0,0.0,0.0,0.0,0.0,0.23,1.63,0.0,8.87,8.87,14.22,7.26,7.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,10829.47,13443.69,14664.3,14926.3,7193.14,11145.56,17387.56,3275.5,8765.27,12800.15,19287.64,2657.72,7417.56,52528.55,63393.09,14936.53,29921.38,51972.15,77812.42,26726.44,49665.18,78863.23,106192.97,17228.71,38435.04,77208.27
减：所得税费用,1561.94,1555.99,2181.15,2145.37,908.23,1518.44,2382.31,519.04,1216.7,1755.92,2748.44,409.37,873.51,6764.04,8461.29,2128.14,3560.7,5845.01,9778.03,3344.63,6723.71,9312.22,12636.09,1972.51,3465.03,9602.49
五、净利润,9267.53,11887.71,12483.16,12780.94,6284.91,9627.12,15005.25,2756.46,7548.58,11044.24,16539.19,2248.35,6544.05,45764.5,54931.8,12808.39,26360.68,46127.14,68034.39,23381.81,42941.47,69551.01,93556.88,15256.2,34970.01,67605.78
归属于母公司所有者的净利润,8778.61,11887.71,12483.16,12780.94,6284.91,9627.12,15005.25,2756.46,7548.58,11044.24,16539.19,2248.35,6544.05,29403.75,36822.62,8014.7,16139.26,32266.28,51843.95,21230.05,38892.78,63178.35,84983.74,13823.09,32139.26,64349.71
少数股东损益,488.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16360.76,18109.18,4793.69,10221.42,13860.85,16190.44,2151.76,4048.69,6372.66,8573.14,1433.11,2830.74,3256.07
基本每股收益(元/股),0.95,1.18,1.24,1.27,0.63,0.96,1.49,0.2745,0.75,1.07,1.52,0.1679,0.49,0.75,0.94,0.2039,0.41,0.78,1.21,0.448,0.82,0.78,1.06,0.1716,0.4,0.79
稀释每股收益(元/股),0.95,1.18,1.24,1.27,0.63,0.96,1.49,0.2745,0.75,1.07,1.52,0.1679,0.49,0.75,0.94,0.2039,0.41,0.78,1.21,0.448,0.82,0.78,1.06,0.1775,0.42,0.83
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
八、综合收益总额,9267.53,11887.71,12483.16,12780.94,6284.91,9627.12,15005.25,2756.46,7548.58,11044.24,16539.19,2248.35,6544.05,45764.5,54931.8,12808.39,26360.68,46127.14,68034.39,23381.81,42941.47,69551.01,93556.88,15256.2,34970.01,67605.78
归属于母公司所有者的综合收益总额,8778.61,11887.71,12483.16,12780.94,6284.91,9627.12,15005.25,2756.46,7548.58,11044.24,16539.19,2248.35,6544.05,29403.75,36822.62,8014.7,16139.26,32266.28,51843.95,21230.05,38892.78,63178.35,84983.74,13823.09,32139.26,64349.71
归属于少数股东的综合收益总额,488.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16360.76,18109.18,4793.69,10221.42,13860.85,16190.44,2151.76,4048.69,6372.66,8573.14,1433.11,2830.74,3256.07
