报表日期,2007-12-31,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,64134.34,51791.27,10929.56,25825.97,37871.86,50900.36,19205.17,35776.16,46602.93,70870.63,18970.35,36639.47,62037.99,63437.23,0.0,31560.25,53277.99,40842.04,15090.03,32368.44,53731.37,45679.33,14412.44,32830.41,50194.02,41208.67,10944.43,27540.78,24225.15,61914.1,19196.32,33171.85,39917.75,71625.6,19948.01,42171.68,50381.28,85298.65,22277.46,40379.43,69771.5,107248.22,13110.23,40317.58,53070.39
收到的税费返还,656.67,1420.24,0.0,993.72,993.72,993.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,8.2,0.0,0.0,0.0,0.0,16.42,16.42,36.01,18.61,0.0,0.29,0.29,0.0,98.7,98.7,729.29,0.0,0.0,0.33,69.03,274.15,11.88,11.88,11.88
收到的其他与经营活动有关的现金,24.1,351.23,29.25,57.0,77.05,237.05,26.12,215.47,279.65,649.22,28.47,987.21,628.39,1458.25,0.0,1646.77,1733.82,962.2,238.22,816.29,1052.95,890.67,223.95,785.43,1251.77,1301.71,261.07,546.96,4129.69,2730.48,247.53,1291.45,6476.59,8003.42,1217.43,2340.16,4570.16,8145.0,2495.78,12333.04,14552.47,17721.26,1146.42,2315.62,3265.34
经营活动现金流入小计,64815.11,53562.74,10958.81,26876.68,38942.63,52131.12,19231.29,35991.63,46882.58,71519.86,18998.82,37626.67,62666.39,64895.48,0.0,33207.02,55011.81,41804.25,15328.25,33192.93,54784.32,46578.2,14636.39,33615.84,51445.78,42510.38,11221.91,28104.15,28390.86,64663.2,19443.85,34463.6,46394.64,79629.02,21264.14,44610.54,55680.74,93443.65,24773.24,52712.8,84392.99,125243.63,14268.53,42645.08,56347.61
购买商品、接受劳务支付的现金,50705.54,37417.13,8247.99,12690.35,20968.72,28664.93,16070.64,41974.25,50762.07,71854.89,13858.31,30033.98,47086.42,49605.32,0.0,26889.42,41662.59,24835.06,10426.55,23909.64,36703.33,22601.06,10907.63,25834.64,41043.88,28401.3,7269.01,18215.13,21897.23,21839.27,4885.73,12055.3,27959.53,40290.59,7597.08,13893.69,30608.83,50481.47,19105.3,29470.49,34830.61,44959.94,7227.72,17893.34,23966.53
支付给职工以及为职工支付的现金,3975.12,3346.87,626.61,1981.08,2987.44,3994.76,1419.71,2987.5,4322.48,5838.38,1522.49,3017.49,4694.87,6154.26,0.0,3295.14,5087.24,6886.6,1936.95,3536.09,5161.12,6575.23,1858.25,3766.13,5476.35,6790.15,1752.15,3373.07,6228.71,7795.15,2166.71,4430.32,7034.38,10203.67,2987.16,6264.16,10020.66,14215.3,4387.15,8448.49,12154.04,17915.45,1478.1,5053.34,6050.08
支付的各项税费,2060.44,3491.1,1135.82,2823.47,3708.51,4341.93,1211.14,2052.91,3030.18,3144.76,909.94,2405.8,3305.85,3555.08,0.0,2205.64,2792.68,3195.27,532.34,1803.9,3001.35,3434.71,543.02,1989.28,2663.44,3092.3,486.92,1516.51,3346.77,6946.93,3684.85,4411.13,5217.52,7880.23,5952.66,12374.23,21996.03,26818.95,6015.04,14861.94,15238.32,14927.69,143.35,319.08,402.36
支付的其他与经营活动有关的现金,1494.39,1681.66,191.63,993.14,1499.12,2087.13,196.97,1255.96,2166.31,2304.16,293.55,561.55,1007.36,1651.07,0.0,1304.04,1152.97,1875.96,477.52,858.4,1313.96,2463.44,387.81,857.94,1184.61,2246.15,298.05,811.73,5382.86,3876.24,5584.67,4256.85,14290.51,10876.65,5943.4,7227.56,9606.54,12006.65,1378.3,5481.73,7571.63,14467.72,1533.91,2709.17,3435.72
经营活动现金流出小计,58235.49,45936.76,10202.04,18488.03,29163.78,39088.74,18898.47,48270.63,60281.04,83142.19,16584.29,36018.82,56094.5,60965.73,0.0,33694.25,50695.48,36792.89,13373.36,30108.03,46179.76,35074.43,13696.71,32447.99,50368.28,40529.9,9806.13,23916.44,36855.57,40457.6,16321.96,25153.61,54501.95,69251.15,22480.3,39759.64,72232.06,103522.36,30885.79,58262.66,69794.6,92270.8,10383.08,25974.93,33854.69
经营活动产生的现金流量净额,6579.62,7625.98,756.77,8388.65,9778.84,13042.38,332.83,-12278.99,-13398.46,-11622.34,2414.53,1607.85,6571.89,3929.75,0.0,-487.23,4316.32,5011.36,1954.89,3084.91,8604.57,11503.77,939.68,1167.86,1077.5,1980.48,1415.78,4187.71,-8464.72,24205.6,3121.89,9309.99,-8107.31,10377.87,-1216.16,4850.91,-16551.32,-10078.71,-6112.55,-5549.86,14598.39,32972.83,3885.45,16670.15,22492.92
收回投资所收到的现金,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5892.0,5892.0,5892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.7,440.7,440.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,5.49,0.92,0.0,0.0,25.33,25.33,0.0,0.0,18.58,21.01,0.0,21.97,37.13,86.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.44,10.8,13.8,13.8,13.8,0.0,0.48,0.0,93.24,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1445.36,0.0,0.0,0.05,0.15,0.0,0.0,0.0
