报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,353800.0,355100.0,538600.0,382400.0,415100.0,513900.0,573900.0,470000.0,347800.0,472600.0,399600.0,434300.0,594400.0,650300.0,813200.0,1040400.0,980900.0,1115600.0,1330100.0,993500.0,1148900.0,1221200.0,1412600.0,1008200.0,966800.0,958800.0,1603100.0,1261000.0,1202800.0,1528900.0,1790600.0,1830600.0,1462200.0,1211300.0,550400.0,544400.0,370400.0,659900.0,465400.0,485500.0,520100.0,470400.0,632300.0,725000.0,628900.0,570400.0,1585200.0,730800.0,562900.0
交易性金融资产,0.0,2100.0,0.0,200.0,800.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500.0,0.0,0.0,44000.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,17800.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269000.0,338900.0,354800.0,349600.0,292900.0,380700.0
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,2400.0,0.0,0.0,200.0,100.0
应收账款,182700.0,178100.0,231700.0,198300.0,226000.0,200600.0,181500.0,131900.0,129400.0,132200.0,126800.0,136600.0,186600.0,213400.0,199500.0,200500.0,213700.0,188700.0,204000.0,218600.0,233700.0,260600.0,233100.0,188500.0,231200.0,249400.0,181000.0,221300.0,265100.0,254300.0,293300.0,270500.0,323600.0,281500.0,314500.0,259200.0,293500.0,337600.0,301500.0,300900.0,296500.0,352900.0,365300.0,267200.0,336500.0,0.0,349600.0,292700.0,380600.0
预付款项,60900.0,64100.0,53600.0,59200.0,67300.0,54100.0,61800.0,62000.0,67400.0,62100.0,75600.0,71100.0,71900.0,70500.0,65900.0,66500.0,65300.0,73500.0,55700.0,71100.0,73100.0,76700.0,85300.0,86100.0,81600.0,104700.0,128000.0,94700.0,88700.0,126100.0,132200.0,110400.0,91200.0,93800.0,102200.0,127900.0,129900.0,160500.0,144600.0,147900.0,166000.0,156700.0,162900.0,135800.0,124300.0,148000.0,401100.0,369500.0,283100.0
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,100.0,400.0
应收股利,3500.0,3300.0,8100.0,8600.0,8600.0,7700.0,7500.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,600.0,4700.0,800.0,400.0,0.0,2000.0,1300.0,700.0,0.0,1300.0,900.0,6000.0,1700.0,200.0,900.0,400.0,200.0,2600.0,900.0,1700.0,1700.0,7800.0,1100.0,0.0,0.0,17300.0,1500.0,400.0,0.0,0.0,7700.0,300.0,300.0
其他应收款,104000.0,102900.0,119400.0,109000.0,129100.0,118600.0,151500.0,138000.0,174200.0,214000.0,151000.0,145200.0,157500.0,152900.0,149700.0,143000.0,149700.0,206700.0,188600.0,149800.0,162900.0,177900.0,182900.0,174300.0,193900.0,178600.0,202100.0,191100.0,239400.0,258500.0,241200.0,247400.0,246800.0,211800.0,326700.0,161000.0,187000.0,142800.0,168100.0,141800.0,128700.0,113200.0,148100.0,115600.0,127500.0,166400.0,165700.0,233900.0,0.0
