报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,237942.57,472936.55,744158.5,1050850.35,260133.27,561990.23,869179.56,1168865.47,287207.32,585788.44,901757.27,1238575.66,302364.46,630954.42,987822.29,1348444.82,341105.51,693412.14,1086707.03,1469083.52,346196.86,701119.12,1115982.97,1509188.6,371028.59,762618.38,1163942.03,1580067.74,351365.15,716812.98,1103982.39,1480078.09,367886.06,737523.12,1131972.75,1572530.87,401181.76,807860.32,1266621.36,1728050.39,430939.66,841198.25,1316765.72,1833142.23,487660.59,952777.34,1458191.92,1982801.84,511612.16,1018692.93,1561338.45
营业收入,237942.57,472936.55,744158.5,1050850.35,260133.27,561990.23,869179.56,1168865.47,287207.32,585788.44,901757.27,1238575.66,302364.46,630954.42,987822.29,1348444.82,341105.51,693412.14,1086707.03,1469083.52,346196.86,701119.12,1115982.97,1509188.6,371028.59,762618.38,1163942.03,1580067.74,351365.15,716812.98,1103982.39,1480078.09,367886.06,737523.12,1131972.75,1572530.87,401181.76,807860.32,1266621.36,1728050.39,430939.66,841198.25,1316765.72,1833142.23,487660.59,952777.34,1458191.92,1982801.84,511612.16,1018692.93,1561338.45
二、营业总成本,191882.29,389309.13,612561.41,885060.06,230693.0,480268.62,739779.45,1019858.84,252479.82,512239.06,776032.2,1064238.1,266055.57,542240.91,826532.49,1139754.84,286355.84,569884.55,884268.06,1219418.74,306080.6,611163.17,963341.45,1326049.15,329208.72,667434.21,1023165.29,1397153.7,336529.64,663911.9,1006008.5,1380885.43,331781.06,668535.23,1009982.96,1424849.11,356354.19,715063.43,1120001.15,1561373.65,393412.01,774039.63,1199361.24,1693800.37,428772.14,864237.67,1327033.95,1863885.86,458155.36,917127.54,1442995.25
营业成本,173612.28,347230.56,542348.51,786644.68,206873.32,421060.3,646634.47,888352.04,221260.57,448129.33,677072.32,929024.83,234061.71,477139.93,725967.62,990516.5,252950.99,503047.26,781200.1,1072777.59,272177.01,544333.16,852666.65,1177092.0,292309.87,595612.86,909547.09,1239523.78,304036.07,598747.21,903523.63,1238978.29,325222.91,644047.03,977669.19,1375023.34,349856.88,702172.7,1099562.47,1531938.97,386336.19,760422.25,1178023.39,1662515.22,422241.59,848685.21,1303936.21,1832233.79,448627.1,897757.77,1413949.15
营业税金及附加,5444.47,10767.27,17094.97,23943.12,5491.16,12959.51,20244.89,27384.65,6578.67,13751.41,21151.48,29162.18,7275.16,15003.45,23755.39,33862.35,8979.93,18920.85,29707.78,40126.3,9211.85,17124.65,30547.56,37288.07,9265.95,18851.71,28993.39,39492.21,2490.04,3658.99,6233.03,9097.83,1709.27,3566.52,5762.43,7854.47,1937.42,3435.41,4950.5,5231.65,1359.11,2895.72,4619.9,3347.01,1546.13,2834.25,3849.43,2773.29,1621.18,3135.4,4763.28
销售费用,30.22,56.02,102.41,114.87,13.5,0.0,0.0,128.95,17.82,52.55,76.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.93,0.0,287.79,559.3,901.95,159.94,333.55,421.28,558.05,104.16,435.76,803.62,980.16,100.68,189.73,316.26,472.2,0.0,18.45,36.89,58.02,0.0,0.0,0.0
管理费用,14600.0,34143.15,51785.88,70739.54,14920.35,37932.05,60014.32,85560.73,18944.09,39090.66,61213.06,85189.61,21079.87,43157.22,66230.5,101365.27,20893.6,42331.52,66074.36,95037.2,24120.59,48496.56,78129.96,108559.88,25812.48,50669.53,81232.34,111703.11,29200.5,59036.32,92136.57,126218.0,5671.69,11075.37,17667.2,26273.93,5027.16,10447.3,16648.24,26169.36,5960.68,10954.05,17081.62,26140.01,5228.64,13950.46,21274.77,29620.19,8263.71,14499.0,21776.76
财务费用,-1807.77,-2890.37,1227.14,3742.45,3361.1,8283.21,12852.22,18155.86,5678.66,10979.67,16290.35,20775.31,3636.04,7130.74,10769.41,14176.83,3520.33,5573.93,7274.82,8837.12,571.16,1180.05,1936.71,2951.53,1787.8,2901.12,3989.86,5000.31,803.08,2176.99,3491.55,5574.37,-982.18,-1995.36,-2570.02,-3614.43,-571.4,-1427.71,-1963.59,-2992.35,-348.6,-440.89,-703.05,-1167.26,-262.64,-1270.96,-1717.99,-2865.89,-356.63,1735.37,2506.07
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值损失,3.1,2.51,2.51,-124.61,33.55,33.55,33.55,276.61,0.0,235.45,228.44,86.17,2.79,-190.42,-190.43,-166.12,11.0,11.0,11.0,2640.53,0.0,28.75,60.57,157.67,32.63,-601.02,-597.39,-583.65,-0.05,4.59,64.43,114.99,-0.56,11508.12,11032.89,18753.74,-0.04,-0.04,-0.08,45.86,3.96,18.77,23.11,2493.19,18.43,20.25,20.25,2172.49,0.0,0.0,0.0
