报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
货币资金,4760300.0,8378900.0,10437400.0,7274000.0,7266300.0,6912700.0,6721700.0,5244500.0,8170500.0,7732900.0,10767700.0,10277500.0,10815100.0,8271400.0,7634700.0,9555400.0,7842900.0,10307900.0,22130600.0,24200900.0,31185700.0,34611400.0,29694100.0,38322300.0,34112400.0,33817100.0,35583100.0,34944200.0,39171300.0,39939600.0,41230500.0,44270700.0,41318800.0,45108000.0,46542400.0,47505700.0,56681300.0,52107900.0,52301100.0,56968300.0,54158700.0,55590200.0,53961100.0,56839900.0,50913900.0,53004200.0,49825300.0,47405900.0,44649100.0,50577900.0
拆出资金,168600.0,110100.0,66000.0,119200.0,107800.0,53200.0,45900.0,30400.0,99300.0,139700.0,250300.0,446800.0,95000.0,133600.0,55600.0,354800.0,347300.0,211600.0,803500.0,844700.0,1845200.0,2632000.0,1740200.0,6542600.0,5165800.0,3603100.0,2283300.0,2724100.0,4729200.0,4458200.0,4856700.0,4584100.0,4636000.0,6926700.0,10418900.0,7663600.0,8721200.0,6707000.0,5017200.0,9745000.0,6930900.0,6596800.0,8259200.0,6041500.0,7982400.0,8370700.0,8925600.0,7443400.0,10096100.0,8400400.0
交易性金融资产,9751400.0,7343600.0,6458500.0,8493800.0,6892400.0,7607000.0,6963500.0,6548600.0,5138300.0,6978500.0,6036500.0,2912600.0,2497800.0,3047100.0,3877200.0,3066400.0,3101400.0,3049800.0,3084500.0,2988000.0,2219700.0,2482500.0,2819900.0,2775500.0,3041800.0,3912700.0,3855500.0,3025300.0,5914500.0,5566400.0,4823800.0,5121500.0,6694900.0,6526600.0,4988100.0,7340200.0,10181500.0,12022600.0,10025600.0,15396300.0,13912900.0,14657400.0,14350600.0,14125000.0,70075900.0,77493200.0,76742200.0,82493900.0,85074300.0,85481400.0
衍生金融资产,2100.0,1600.0,1700.0,17700.0,1900.0,12700.0,3200.0,1700.0,1400.0,600.0,500.0,900.0,1100.0,600.0,1000.0,600.0,1100.0,2000.0,63300.0,81800.0,52400.0,80300.0,69500.0,97200.0,91400.0,107700.0,137900.0,340200.0,369600.0,276000.0,491200.0,431100.0,577300.0,513300.0,552800.0,827200.0,781600.0,1170700.0,592900.0,883600.0,427000.0,597000.0,637600.0,1619200.0,1960700.0,2185300.0,2630900.0,2191100.0,2007900.0,1795500.0
买入返售金融资产,396500.0,1285400.0,1865000.0,3645700.0,1112600.0,891100.0,756200.0,1308400.0,770700.0,2537800.0,1791400.0,1474800.0,2828000.0,1894300.0,505200.0,1675900.0,1911500.0,2574200.0,7603100.0,3731200.0,4143600.0,12117000.0,14105000.0,19078800.0,35340900.0,31937600.0,26397900.0,29808000.0,37050200.0,30544500.0,21772300.0,19717700.0,20742900.0,33471000.0,27651500.0,14205000.0,7024000.0,8631500.0,7460500.0,6565700.0,7933300.0,2411600.0,5383100.0,9929600.0,15440400.0,12289000.0,5633900.0,9295100.0,11937500.0,4273200.0
应收保费,345900.0,530700.0,432800.0,456800.0,576100.0,637700.0,516600.0,455400.0,509300.0,569900.0,457200.0,457600.0,546100.0,578400.0,495400.0,629800.0,762300.0,827500.0,902100.0,1208900.0,1262900.0,1421700.0,1551800.0,1875600.0,2024200.0,1906400.0,1980600.0,2420500.0,2606000.0,2591000.0,2776200.0,3074000.0,3373500.0,3631000.0,3675400.0,3407200.0,3311300.0,3349500.0,3486400.0,3532500.0,3954100.0,4238100.0,4363200.0,4569400.0,5662200.0,6116100.0,6388000.0,6715000.0,7439900.0,7623800.0
应收利息,402100.0,471600.0,504400.0,418700.0,516900.0,601100.0,726400.0,693100.0,765500.0,847100.0,912700.0,926800.0,1137600.0,1269400.0,1375100.0,1417900.0,1715600.0,1801700.0,2165900.0,2273500.0,2662600.0,2711100.0,2789000.0,2866800.0,3247800.0,3273000.0,3424900.0,2894900.0,3167700.0,3321100.0,3690500.0,3538700.0,3603500.0,3589800.0,4060600.0,4068800.0,4278000.0,4257900.0,4601200.0,4495000.0,4780100.0,4805500.0,5232800.0,5190000.0,5279200.0,5161600.0,5648000.0,0.0,0.0,0.0
应收分保账款,113800.0,220500.0,205300.0,221200.0,281600.0,196700.0,190200.0,273300.0,218100.0,223100.0,219600.0,248300.0,295800.0,337600.0,343700.0,283000.0,381000.0,398300.0,425300.0,436900.0,450500.0,464500.0,491000.0,610900.0,550300.0,593600.0,680600.0,892400.0,739700.0,724000.0,718400.0,752000.0,828300.0,828000.0,807600.0,797700.0,843800.0,980900.0,1004600.0,1234800.0,1412900.0,1004100.0,942500.0,798900.0,910800.0,1026200.0,1086800.0,868300.0,1013800.0,1055100.0
应收分保未到期责任准备金,256900.0,304800.0,279700.0,261500.0,325900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收分保未决赔款准备金,164900.0,205800.0,220400.0,230400.0,270000.0,0.0,717400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
