报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
货币资金,44871.5,84438.11,114856.24,76241.1,414389.55,381388.7,464995.7,438048.77,419108.77,412804.62,524448.99,470014.76,459233.67,464306.63,553475.95,436132.26,463159.23,461904.59,459260.63,376307.01,409377.82,350234.57,719965.89,623644.42,632374.91,690144.81,1010650.06,936899.92,1021784.28,1237775.66,1363499.32,1620893.68,1317964.64,1316761.59,1646843.07,1142655.17,1375156.45,1827331.16,2655240.27,2368921.95,2184590.43
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.73,303.29,6.78,583.06,0.0,616.03,0.0,0.0,0.0,1554.75,1200.35,300.42,1282.04,410.07,95.95,2055.0,1721.46,186.01,943.72,264.06
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834217.17,1993264.9,2005149.53,2017435.39,1918888.65,1701189.05,1949202.29
应收票据,3215.03,5370.6,4908.31,3659.18,3510.51,5793.2,10903.55,10080.72,11096.85,14873.5,30792.62,22628.18,18476.52,19860.97,31821.81,25822.09,27381.79,42157.17,78450.25,83164.0,76635.93,85252.25,187576.95,207170.7,234640.7,222483.37,304414.81,224268.97,181589.89,172760.21,284340.44,336064.94,328163.94,326068.72,363696.16,396197.72,310186.9,199389.81,256944.52,24691.41,36569.87
应收账款,9513.93,13255.85,25066.82,48837.52,44143.14,53793.12,53229.61,74067.08,92318.18,113729.95,94826.93,124695.21,139952.26,173777.38,159672.46,189289.6,239182.78,297397.97,287864.11,353734.24,416829.05,477675.96,428152.7,541791.1,647854.21,834077.09,812593.27,885501.68,1041639.06,1205557.29,1124281.29,1204666.38,1330404.6,1517177.86,1470521.01,1597067.18,1694962.63,1818045.58,1661944.13,1676497.65,1912632.42
预付款项,1.04,18.99,1420.44,5170.34,5951.35,5882.82,3278.5,7155.94,9305.09,15905.92,7122.56,7595.93,12527.21,32658.3,8287.11,7849.94,8077.43,6716.41,9547.61,8540.39,8454.83,7728.9,6530.57,3993.83,13432.24,7470.31,13266.23,13324.76,27956.42,24978.97,27897.1,32555.13,26375.58,37089.16,52757.69,52789.79,40314.58,45411.57,46030.42,59498.81,65739.69
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1735.72,1735.72
其他应收款,1484.51,1187.22,1811.65,3005.95,3000.47,4162.07,3600.8,5432.24,5134.5,8096.71,6013.96,7298.55,8343.87,12769.43,12903.7,15778.71,18841.62,21590.81,22976.79,21962.25,31424.46,29326.85,25528.96,40553.03,34381.07,36644.27,33527.41,34801.44,42405.62,50708.44,52860.06,55514.85,70966.17,55455.09,58368.12,58005.74,49760.82,72343.02,0.0,0.0,52280.57
