报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,215359.66,385186.79,503324.79,139575.94,245575.84,462803.81,724101.55,183681.91,336479.71,574114.08,851539.42,185815.81,334214.65,558694.83,841469.38,209470.46,357803.19,585483.17,874456.12,199645.21,357860.63,601375.68,937384.94,260014.52,434735.51,698158.78,1081534.47,280194.05,465331.43,723647.88,1237370.44,294339.81,512000.83,845110.53,1435891.61,407610.27,670297.51,1078570.67,1814544.6,531575.28,906134.15,1390775.01,2192119.06,404440.06,622684.68,1004868.76
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41,98.65,0.0,82.78,147.95,260.85
收到的其他与经营活动有关的现金,4992.75,3313.69,1686.43,955.69,1616.41,5016.73,4561.74,1177.19,2791.04,5366.02,20067.31,3207.5,9149.16,18952.34,27662.84,4166.86,19078.5,23889.32,30506.05,4472.02,9911.96,13523.81,29810.66,5820.27,13343.0,14293.94,30178.75,3985.43,9163.2,14096.63,23302.06,4083.84,10734.82,15752.04,28344.05,10026.62,10764.52,18400.96,33437.29,9746.08,19590.83,27388.63,49110.56,8074.99,17991.37,17097.05
经营活动现金流入小计,220352.4,388500.48,505011.22,140531.63,247192.24,467820.54,728663.29,184859.11,339270.75,579480.09,871635.65,189023.31,343363.82,577647.16,869132.21,213637.32,376881.69,609372.48,904962.17,204117.23,367772.59,614899.49,967195.6,265834.79,448078.51,712452.71,1111713.22,284179.48,474494.63,737744.51,1260672.51,298423.65,522735.65,860862.57,1464235.66,417636.88,681062.03,1096971.63,1847981.88,541321.35,925751.4,1418262.29,2241229.62,412597.83,640824.01,1022226.66
购买商品、接受劳务支付的现金,182089.67,278958.74,310871.0,78004.65,183145.44,310131.46,491262.01,167238.8,262495.63,411797.92,628690.66,142279.87,250294.42,394528.67,569064.44,132031.15,229798.7,377168.18,558951.41,135322.2,246183.22,412364.45,670896.99,168836.41,302897.09,536002.37,784474.98,206969.81,352615.01,569947.34,877702.53,208487.71,326167.08,563066.21,905239.17,288018.2,507172.98,829219.18,1299168.58,414618.63,646224.66,988289.11,1380649.36,336874.7,349584.57,459487.43
支付给职工以及为职工支付的现金,3049.57,7590.68,12441.45,6839.8,11875.82,16996.84,23540.75,8744.38,15443.67,23776.74,32095.93,11888.59,20978.32,31186.76,42916.53,14035.33,24417.2,35373.88,48498.57,15361.4,27290.42,39460.05,54786.35,17622.16,32332.49,47455.36,64321.41,20593.85,38480.89,56439.3,78185.53,25364.24,46899.09,67449.79,94216.73,29103.47,53799.52,78743.28,133926.96,54352.4,100294.51,146160.13,194772.86,46361.19,76903.68,118603.88
支付的各项税费,13283.54,27791.94,44456.94,19866.39,33000.6,48777.39,69279.6,20520.06,46785.44,58826.32,91391.92,19572.81,38124.69,50143.48,74999.96,19201.22,40495.73,60434.72,94938.95,19335.94,44999.62,61196.13,98551.51,21541.09,51429.6,68856.54,106268.35,22288.88,55851.63,72593.19,110118.07,31176.76,61677.41,84897.24,121170.93,16769.49,42716.5,65375.69,121907.87,30140.06,72698.17,101439.56,162510.95,6313.09,34049.34,64860.15
支付的其他与经营活动有关的现金,17822.51,34743.79,33429.69,13159.34,26279.05,41382.58,63166.02,17967.03,31372.33,60317.72,81624.59,17023.99,45107.01,66232.81,78711.26,13492.48,34410.73,52833.0,63330.98,18260.42,37182.79,53874.72,66761.6,16155.58,33541.57,42133.57,69490.27,19927.87,38754.11,63993.74,108935.25,37602.67,56225.11,82585.62,124535.72,46007.56,78204.93,120716.34,197481.36,45543.98,148322.98,211182.01,335612.3,47203.35,127141.38,179459.38
经营活动现金流出小计,216245.3,349085.16,401199.07,117870.18,254300.91,417288.27,647248.39,214470.27,356097.06,554718.7,833803.1,190765.25,354504.44,542091.72,765692.18,178760.18,329122.36,525809.78,765719.91,188279.96,355656.05,566895.36,890996.45,224155.25,420200.74,694447.84,1024555.0,269780.4,485701.65,762973.58,1174941.39,302631.38,490968.69,797998.87,1245162.55,379898.72,681893.92,1094054.49,1752484.77,544655.07,967540.32,1447070.82,2073545.47,436752.33,587678.97,822410.84
经营活动产生的现金流量净额,4107.1,39415.33,103812.15,22661.45,-7108.67,50532.27,81414.9,-29611.16,-16826.31,24761.39,37832.54,-1741.95,-11140.63,35555.44,103440.04,34877.14,47759.34,83562.7,139242.26,15837.26,12116.54,48004.13,76199.15,41679.54,27877.76,18004.88,87158.21,14399.08,-11207.01,-25229.07,85731.12,-4207.73,31766.96,62863.7,219073.11,37738.17,-831.89,2917.15,95497.11,-3333.71,-41788.92,-28808.53,167684.15,-24154.5,53145.03,199815.82
