报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,18151.86,41365.3,94436.96,157982.41,22086.78,51060.22,85297.09,152261.51,26925.2,65346.02,116115.79,156685.24,57357.03,114540.26,165303.57,218553.57,57049.76,131926.22,214476.21,290669.84,59894.16,198189.77,326333.22,411400.54,102954.35,223720.53,341260.63,428059.97,68851.77,194751.01,397314.32,590565.83,147680.8,339347.61,496466.54,631602.25,138614.75,291082.16,476929.6,631248.25,203281.78,513887.28,854467.2,1168351.47,288331.93,767178.12,1204205.34,1563844.19,340251.42,777082.49,1207943.12
营业收入,18151.86,41365.3,94436.96,157982.41,22086.78,51060.22,85297.09,152261.51,26925.2,65346.02,116115.79,156685.24,57357.03,114540.26,165303.57,218553.57,57049.76,131926.22,214476.21,290669.84,59894.16,198189.77,326333.22,411400.54,102954.35,223720.53,341260.63,428059.97,68851.77,194751.01,397314.32,590565.83,147680.8,339347.61,496466.54,631602.25,138614.75,291082.16,476929.6,631248.25,203281.78,513887.28,854467.2,1168351.47,288331.93,767178.12,1204205.34,1563844.19,340251.42,777082.49,1207943.12
二、营业总成本,12662.39,28328.76,67522.64,117649.89,15049.8,33996.55,59593.22,113706.74,17582.43,41429.12,77399.99,109948.95,42050.36,82402.24,116705.56,159035.83,40577.52,95322.72,163654.94,230382.68,45875.15,167121.47,280579.07,356357.45,87867.05,192679.35,297568.92,376272.4,57108.76,172044.57,364408.18,550716.74,137787.54,319759.2,468256.34,598390.17,132171.5,276560.71,453816.14,602012.22,192038.83,490322.0,818468.25,1125606.57,271723.5,732026.32,1151848.54,1498623.08,323601.92,742026.24,1157501.55
营业成本,9735.22,22801.37,57339.24,101006.65,11867.77,27952.63,50339.13,99499.96,15013.7,35991.16,68622.3,97791.12,38179.2,75603.34,106303.1,144123.98,36409.36,86344.21,150826.73,212877.48,42672.32,160679.95,270320.19,342551.55,84077.99,185156.3,286433.44,361372.02,53120.99,164309.75,352001.39,533748.61,132761.04,310737.41,454219.74,579236.8,126740.19,266435.4,439336.83,582564.33,186878.51,480264.76,803618.99,1101698.5,263887.53,716407.54,1129396.54,1464374.79,311616.05,722727.67,1129076.31
营业税金及附加,607.16,1314.44,3698.22,7171.95,835.93,1744.49,2645.47,5687.76,901.15,2103.0,3890.03,5402.84,1860.21,3537.78,5022.1,7089.11,1532.56,4099.69,5648.61,7792.96,1210.68,2936.58,4606.1,5662.46,1072.1,2293.27,3238.95,4036.14,631.04,1047.46,1455.48,2000.52,306.21,686.96,1241.21,2021.57,372.91,625.21,777.36,963.13,458.8,969.17,1582.01,2795.8,829.55,1895.47,2552.04,3435.0,910.23,2010.58,2841.37
销售费用,856.16,1738.0,2565.26,3671.5,641.69,1356.53,2096.86,2910.37,514.41,1092.45,1665.42,2471.2,586.91,874.18,1279.86,2131.6,423.82,1071.53,1682.84,2400.58,463.44,1010.28,1631.78,2382.12,599.41,1177.75,1773.3,2454.32,552.2,1238.28,1983.64,3032.97,858.21,1778.28,2842.66,4057.77,935.48,1929.57,3187.69,4837.2,1199.59,2591.45,4134.59,8370.92,2630.96,6163.52,8683.79,14542.22,6815.33,10249.03,14302.02
管理费用,694.57,1673.28,2699.86,4342.58,982.94,1987.13,3133.68,4699.08,1086.71,2177.31,3305.65,4951.97,1078.87,2520.07,4355.09,6105.4,2011.7,3645.37,5286.65,7135.56,1597.76,3042.23,4961.07,6896.94,1943.04,3748.9,5704.94,7266.07,1714.34,3130.03,5053.33,7279.64,2602.1,4571.41,6526.13,8678.73,2684.27,5151.9,7520.65,10193.63,2482.16,4440.87,6469.77,9082.15,2825.47,5020.89,7593.09,10998.37,3067.78,5466.45,8634.72
财务费用,431.43,703.39,1079.45,1514.18,431.2,600.99,813.6,835.31,-84.11,-186.18,-405.83,-592.46,-178.76,-368.6,-621.79,-680.19,-62.08,-147.89,-231.52,-319.65,-199.14,-542.25,-640.65,-539.94,-55.29,21.41,234.64,632.49,535.93,1916.4,3447.76,4632.03,1025.41,2009.23,3110.28,4235.71,1608.27,2309.49,2865.94,3316.08,566.49,1280.41,2058.02,2855.69,992.56,2076.66,3176.65,4554.95,834.99,1572.5,2445.52
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.6
资产减值损失,337.85,98.29,140.63,-56.98,290.28,354.77,564.48,74.26,150.57,251.38,322.42,-75.73,523.92,235.47,367.2,265.93,262.17,309.81,441.63,495.74,130.09,-5.32,-299.42,-595.69,229.79,281.71,183.66,511.36,554.26,402.65,466.59,22.98,234.57,-24.1,316.33,159.59,-169.61,109.14,127.66,137.85,453.27,775.34,604.87,803.51,557.42,462.24,446.42,717.75,0.0,0.0,0.0
