报表日期,2007-12-31,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
销售商品、提供劳务收到的现金,18538.3,27293.2,6699.09,11780.87,20772.92,32280.2,3504.0,7737.51,16818.36,32430.49,7265.65,13440.46,28801.2,50791.09,8033.28,23318.35,37817.09,72643.57,23708.65,51478.19,66667.64,108617.05,15409.12,51486.63,83404.73,185490.08,46136.34,115122.3,149260.16,389800.75,65106.37,410861.4,753771.03,1506547.45,460049.98,850327.49,1252002.96,1890377.48,271790.77,615298.94,885766.62,1130231.35,216363.07,480445.14,774975.78,1301475.64,142929.98
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,150.55,150.55,150.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.46,0.0,0.0,433.18,433.18,433.18,0.0,0.0,20.76,721.62,1400.21,2236.36,5246.3,5442.66,1584.25,2725.01,5447.6,7103.61,2684.52
收到的其他与经营活动有关的现金,7053.76,17779.58,1289.74,1939.64,2484.21,4163.21,394.61,641.5,926.63,1669.38,324.54,653.86,1083.71,1390.77,243.02,558.36,946.7,1422.17,177.04,542.41,977.82,3123.92,283.37,3016.25,9092.31,20773.76,1552.7,3816.4,8048.56,26751.23,1164.83,2456.38,9054.68,12298.61,2186.54,6086.99,8219.93,28159.63,8938.28,6317.06,8219.23,12592.97,1506.08,9445.9,14150.57,18920.75,6996.01
经营活动现金流入小计,25592.06,45072.78,7988.83,13720.5,23257.13,36443.41,3898.61,8379.01,17745.0,34106.47,7590.19,14094.32,29884.91,52181.86,8276.3,24027.26,38914.34,74216.29,23885.68,52020.6,67645.46,111740.97,15692.5,54502.88,92497.04,206263.84,47689.05,118938.7,157337.18,416551.98,66271.2,413750.96,763258.89,1519279.24,462236.52,856414.48,1260243.65,1919258.74,282129.27,623852.36,899232.15,1148266.98,219453.4,492616.04,794573.94,1327500.0,152610.52
购买商品、接受劳务支付的现金,12919.63,21789.78,2302.15,5037.99,8556.59,14928.2,3969.81,8723.25,17803.4,24065.93,7022.95,18084.46,36118.39,54408.13,14752.09,27101.42,53708.98,54573.3,22916.63,38610.15,65054.76,83191.6,35021.93,55527.85,86051.92,130742.51,39387.95,102024.26,197519.34,335883.8,153481.38,458039.98,759421.91,1361926.0,504561.86,951702.34,1384210.39,1739628.87,447434.13,819121.15,1007862.8,1093771.28,191531.85,410305.36,677489.68,826224.0,152968.74
支付给职工以及为职工支付的现金,1798.3,2175.26,1224.73,1862.59,2695.78,4135.62,1266.76,2400.14,3330.08,4000.04,1392.19,2211.18,3305.5,4986.34,2408.05,4279.86,5972.14,8122.73,3024.34,5216.47,6752.47,8073.67,2948.09,5079.75,7409.18,9980.3,5411.26,8874.88,12314.59,16434.85,6983.37,11552.06,16096.01,21332.86,8631.04,14788.99,22897.45,33690.65,23230.17,38855.16,53996.73,70054.92,18350.1,36780.66,54596.14,72810.31,18903.45
支付的各项税费,1910.53,2107.99,1156.88,2806.49,3821.85,5155.7,358.91,1287.78,2250.98,4209.65,1739.31,3368.79,4714.19,5789.89,1385.9,2912.4,4419.87,6086.68,1446.44,4461.0,5811.39,7531.35,3529.49,5638.9,9462.69,13014.13,5047.88,10088.9,18787.88,23263.32,15805.52,23900.26,40773.05,55125.36,16065.93,44825.5,68022.13,91982.34,36288.29,57197.84,74605.71,70086.67,9144.66,20373.73,25327.88,33794.11,19519.49
支付的其他与经营活动有关的现金,6592.43,19821.49,2910.93,5127.23,6066.91,9219.3,1859.94,3429.25,4498.31,6541.69,1714.6,6350.52,8564.43,7203.19,2299.9,5334.29,7787.85,9343.99,2263.78,4583.41,6593.24,9959.86,2627.04,4909.72,16056.25,20663.02,15149.93,26093.29,41274.45,34896.94,5678.05,29770.35,38637.56,48754.98,21318.58,48759.91,57885.18,89319.74,16051.86,31573.24,42419.75,52867.63,8439.51,18654.66,29518.97,39366.93,8422.32
经营活动现金流出小计,23220.89,45894.52,7594.7,14834.31,21141.13,33438.82,7455.42,15840.42,27882.77,38817.3,11869.06,30014.95,52702.51,72387.55,20845.95,39627.98,71888.85,78126.7,29651.19,52871.02,84211.85,108756.48,44126.56,71156.22,118980.04,174399.96,64997.02,147081.33,269896.27,410478.92,181948.32,523262.65,854928.53,1487139.19,550577.4,1060076.74,1533015.15,1954621.6,523004.46,946747.39,1178884.99,1286780.51,227466.13,486114.4,786932.67,972195.35,199814.0
经营活动产生的现金流量净额,2371.17,-821.74,394.13,-1113.8,2116.0,3004.59,-3556.81,-7461.41,-10137.77,-4710.83,-4278.87,-15920.63,-22817.59,-20205.68,-12569.64,-15600.71,-32974.51,-3910.41,-5765.51,-850.42,-16566.39,2984.49,-28434.06,-16653.34,-26483.0,31863.88,-17307.97,-28142.63,-112559.09,6073.06,-115677.13,-109511.69,-91669.64,32140.04,-88340.88,-203662.25,-272771.49,-35362.86,-240875.19,-322895.03,-279652.84,-138513.53,-8012.73,6501.64,7641.27,355304.65,-47203.49
