报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
货币资金,4858.85,3913.56,4565.74,316075.7,328532.42,146782.71,306613.58,279315.15,356432.12,350961.75,332175.24,298093.36,295696.26,234034.25,223185.88,217367.33,165319.7,204718.54,252281.96,404228.71,463020.86,539190.95,578379.57,704700.24,766778.35,768537.03,700065.79,792753.69,714652.82,784528.28,821007.89,854959.73,838092.35,915204.64,1063823.73,508499.76,408670.5,313857.53,330851.3,302637.26,339120.75,406002.07,282060.17,799720.88,694564.29,861551.41,908942.03,603181.48,595993.97,619115.4,667893.63,630558.61,542955.91,515288.36,391492.54,452463.29,356469.19,234677.43,308291.5,506153.36,322177.13,277868.97,312320.32
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.27,177.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,1.43,0.0,37729.2,39629.55,54621.96,125013.26,109279.11,74020.57,72306.52,100545.64,139212.6,100780.38,160869.07,162012.85
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516035.72,678917.47,601346.34,639894.18,762862.02,773514.13,707856.82,919211.98,227135.62,359594.85,268807.97,268155.68,199752.65,248296.63,205183.76,229114.84,189915.18,221172.04,176615.38,178923.84
应收票据,1704.89,2782.32,4246.74,74511.42,17986.75,18479.07,16383.36,35927.83,12316.71,16339.25,29470.86,31646.99,59660.6,51729.24,111880.23,116348.39,143468.52,164431.91,175425.58,170097.62,197808.12,161815.72,259481.79,199527.56,154403.42,123755.33,242094.71,251342.98,254348.53,293644.0,273158.55,221732.64,187694.95,111775.1,89000.38,127636.13,158070.37,218021.78,219867.53,233808.2,252700.51,302916.5,346551.28,366139.78,431555.76,417566.06,404069.15,584325.6,585425.2,563146.4,626518.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.97,0.0,0.0,0.0
应收账款,18798.27,21480.24,20018.41,41592.7,68918.58,91628.29,76549.01,81250.32,47375.76,49444.27,61626.63,56159.42,70609.24,85291.67,78603.52,76493.96,86730.08,80213.25,93426.78,101633.42,122163.9,101828.4,92289.45,80707.7,83065.15,110333.88,111072.01,152099.74,150225.41,137507.72,193208.89,169109.3,199388.41,150089.23,149720.44,154044.44,185694.06,195033.36,190907.72,271633.4,208850.68,177810.53,190823.82,149895.94,247361.71,183780.28,235825.03,178536.41,188088.94,144710.42,292693.3,227135.62,359594.85,268807.97,268155.68,199752.65,248296.63,205183.76,229114.84,189248.21,221172.04,176615.38,178923.84
预付款项,6518.49,6944.22,6996.84,114556.79,123175.37,89994.02,102454.66,88328.72,98608.5,85319.09,106332.71,95883.47,106264.91,129265.73,92861.11,98224.23,127578.4,85162.69,93739.36,60640.41,57320.99,57906.39,61376.14,23636.86,64684.97,44625.15,65324.64,32407.08,82362.67,79047.13,78969.38,18400.8,51581.63,32274.29,37167.5,19293.56,43980.17,31000.42,33989.1,31296.88,46893.91,106184.14,71422.9,53568.29,75042.75,99980.01,129895.02,58201.32,103764.53,122055.72,156669.85,99445.89,100049.79,127053.39,266678.4,277936.16,285919.69,239338.81,285543.24,376354.03,480660.78,498022.81,604011.34
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5458.97,2958.12,4964.8,4128.26,4231.98,2151.0,9986.25,11045.44,19095.93,21987.13,14743.61,18204.57,17704.98,23274.36,21564.12,20988.39,20663.7,21594.69,19363.83,17708.72,15259.89,14072.06,13605.07,13617.29,13637.55,13757.92,323.55,97.42,0.16,1.31,0.0,0.0,835.93,1220.12,0.0,1034.99,1225.28,1510.22,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.91,298.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1378.14,1378.14,1378.14,1378.14,1476.54,1476.54,1378.14,1378.14,1378.14,1378.14,1378.14,1378.14,1686.27,1745.15,1661.23,1661.23,207.13,0.0,0.0,0.0,148.06,149.11,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,486.7,521.6,766.9,7677.06,12209.15,11501.66,10636.41,9213.44,11407.04,11229.73,11128.56,11011.87,12563.24,12576.85,14963.32,48609.34,50583.85,60674.61,56462.66,17806.24,9299.42,7888.07,14907.27,6399.95,10057.91,9792.2,11686.41,4826.73,6515.4,6774.94,9816.56,4528.38,8140.98,8539.15,9039.59,4304.32,3532.95,2351.64,5491.7,3812.99,28410.57,5342.78,12067.87,9055.87,18974.83,14667.1,0.0,4398.08,0.0,15316.68,0.0,11428.08,0.0,26528.31,0.0,19958.62,0.0,29140.21,0.0,17138.4,0.0,22499.06,0.0
