报表日期,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
一、营业总收入,1176317.58,1583353.0,764146.99,1184669.88,1672092.1,458556.86,917416.25,1500533.71,2182307.15,634468.73,1371378.95,2226366.12,3099564.55,760038.02,1494565.55,2328868.68,3351108.88,910541.41,1546390.43,2443053.24,3518705.75,758137.61,1566301.03,2636118.13,3804022.69,934918.14,1988653.89,3355499.31,4823736.98,1345624.21,2835945.18,4364444.98,5935523.72,1280260.55,2512351.53,3921945.7,5565716.01,1315403.15,2531699.33,4083919.04,5724406.71,1397228.12,3043498.58
营业收入,1176317.58,1583353.0,764146.99,1184669.88,1672092.1,458556.86,917416.25,1500533.71,2182307.15,634468.73,1371378.95,2226366.12,3099564.55,760038.02,1494565.55,2328868.68,3351108.88,910541.41,1546390.43,2443053.24,3518705.75,758137.61,1566301.03,2636118.13,3804022.69,934918.14,1988653.89,3355499.31,4823736.98,1345624.21,2835945.18,4364444.98,5935523.72,1280260.55,2512351.53,3921945.7,5565716.01,1315403.15,2531699.33,4083919.04,5723599.7,1396581.19,3042158.21
二、营业总成本,975194.34,1476473.33,715716.1,1109300.03,1576551.16,461387.98,927655.49,1400436.83,1977659.95,531081.62,1107305.78,1759822.94,2607570.11,691819.81,1388107.22,2164736.13,3064729.68,832081.17,1643448.62,2489797.58,3496300.08,881581.23,1632804.34,2525758.93,3537468.06,890264.35,1861256.63,2903481.67,4199598.62,1022740.69,2083963.16,3235782.76,4709653.66,1143423.89,2349692.67,3523963.74,4869423.37,1169205.45,2427451.21,3773280.48,5289162.05,1465895.83,2967669.41
营业成本,908308.51,1386482.65,658410.46,1022186.25,1470285.9,429069.53,871672.42,1315277.6,1846233.67,499402.5,1040553.87,1642326.27,2394727.75,650238.48,1307546.08,2033172.61,2864403.54,778621.09,1534016.78,2327803.65,3271431.96,837147.33,1532109.95,2370221.98,3323930.26,833872.11,1740575.52,2734454.5,3879580.74,955985.98,1941448.86,3021506.75,4260582.87,1052246.79,2178390.37,3279597.04,4449065.25,1073281.95,2236046.21,3468032.29,4758994.27,1327481.37,2697066.69
营业税金及附加,208.54,138.03,24.81,92.76,368.73,18.29,31.76,68.67,145.54,203.43,435.71,1009.04,1069.51,51.71,126.01,297.43,511.03,148.33,217.98,308.96,1388.0,112.0,180.95,389.94,770.31,263.3,344.14,448.58,1055.31,237.44,526.5,875.24,4456.03,1212.44,2432.03,3705.95,6255.94,1316.18,2686.35,4065.17,6981.44,1178.46,2814.85
销售费用,18890.61,25035.12,14988.68,22000.09,22226.55,8416.07,14981.48,20639.29,25908.27,5911.92,13673.19,26370.81,33786.03,8083.89,16241.41,26637.1,37354.35,8376.84,17019.89,23958.45,27433.05,9840.31,17001.68,23656.24,24700.89,7899.93,13413.17,24223.19,46759.26,11517.26,24325.09,38761.73,59023.41,13226.08,28238.05,44658.16,67064.97,16386.84,33767.84,51538.25,80202.39,18450.04,39413.12
管理费用,46144.56,60607.54,39827.45,61230.7,78370.28,22044.23,36318.24,57168.19,95431.76,23817.99,48359.98,84888.75,170013.47,34751.43,61473.35,98479.73,153212.31,41463.72,84010.82,123943.99,161803.88,30704.05,67086.93,103852.85,154483.58,43820.25,86217.34,131772.89,255120.06,56479.32,117236.9,179893.15,342546.91,60592.22,127231.64,196419.11,335398.91,74069.01,147956.5,226451.32,361840.39,93053.7,187066.18
财务费用,740.64,3546.31,2460.09,3785.88,5522.81,1817.78,4628.2,7227.77,9681.24,1745.23,4281.0,5226.05,6432.79,-1305.7,2911.52,6413.55,9537.41,3463.12,8243.41,13842.7,20557.32,3783.72,16336.62,25727.65,31518.17,4427.35,8037.51,12322.12,9977.39,-1958.15,-4823.95,-8761.19,-13657.84,-5141.19,-7229.69,-3108.42,-523.17,-133.77,256.37,5137.27,10075.72,4321.67,11526.01
资产减值损失,901.48,663.68,4.61,4.35,-223.11,22.09,23.38,55.31,259.47,0.56,2.03,2.03,1540.55,0.0,-191.15,-264.28,-288.97,8.07,-60.28,-60.18,13685.88,-6.17,88.21,1910.28,2064.85,-18.59,12668.95,260.39,7105.86,478.85,5249.76,3507.08,56702.28,21287.54,20630.27,2691.9,12161.46,4285.23,6737.94,3944.49,15814.09,6453.77,0.0
公允价值变动收益,254.39,-940.56,0.0,0.0,-56.51,0.0,0.0,0.0,292.05,0.0,0.0,0.0,-932.84,-343.82,-234.14,-256.86,322.61,-173.09,-253.03,322.31,-1979.36,-1757.26,-2052.6,-2086.86,-891.02,0.0,-223.43,-75.88,-1178.94,-261.08,1597.19,1508.21,1373.37,-95.59,-1359.02,9.63,143.35,-1287.74,-1473.23,-579.15,-1273.76,23708.4,86265.16
投资收益,4222.18,5083.5,288.16,282.85,2997.12,-55.9,-55.9,-89.0,1311.8,28.02,-425.56,-440.99,772.26,2460.67,5288.55,5431.64,6358.68,2613.16,6884.17,7423.2,31028.86,1643.49,6593.77,4686.81,10051.91,13320.6,48998.17,52598.74,49104.07,-1010.72,6257.89,12111.32,22887.48,13125.14,25514.05,22086.06,16948.92,3447.31,-2868.53,2367.31,-5005.68,5516.46,11536.59
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4874.4,0.0,0.0,0.0,1143.5,0.0,0.0,13750.05,15823.3,-125.62,1689.04,3887.96,5400.09,587.25,83.31,-11.18,-38.44,83.66,-192.73,1188.66,1652.38,-377.15,-561.89
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,205599.81,111022.6,48719.06,75652.7,98481.55,-2887.02,-10295.15,100007.87,206251.05,103415.13,263647.62,466102.19,491833.86,70335.06,111512.74,169307.32,293060.49,80900.31,-90427.06,-38998.82,51455.17,-123557.4,-61962.15,112959.16,275715.51,57974.4,176172.01,504540.5,672063.49,321611.71,759837.1,1142281.75,1250130.92,149866.22,186813.88,420077.65,722569.01,149787.69,104579.38,318460.41,437764.39,-37665.96,171749.71
加:营业外收入,2129.12,1748.97,3341.74,4169.78,4023.26,776.5,1692.71,3896.1,5685.18,1020.67,2486.16,3125.32,10268.91,2787.5,4596.88,5798.79,9090.85,2857.05,6738.56,11905.18,21124.68,4625.33,7621.42,11627.05,21123.87,2556.53,8126.39,10791.68,14765.59,2043.54,4896.88,7325.62,11989.13,2742.39,5142.86,9388.48,4208.24,686.51,1435.7,3198.1,3203.16,903.39,1289.46
减：营业外支出,1959.79,3970.96,545.08,1456.72,4175.97,974.69,1314.3,2444.37,3485.28,564.23,1926.45,2787.06,5627.69,385.11,1646.28,2076.77,5843.28,476.06,812.67,2457.48,4653.49,516.96,906.09,2516.13,4918.26,2112.91,2571.1,9176.77,17900.98,1117.87,1498.48,7229.01,25233.79,1049.49,3595.82,8080.64,17558.09,517.88,1864.91,5754.51,12594.7,487.16,2637.61
其中：非流动资产处置损失,0.0,0.0,0.0,0.0,2335.54,0.0,0.0,0.0,229.56,0.0,0.0,0.0,1008.51,0.0,0.0,0.0,770.08,0.0,0.0,0.0,2028.08,0.0,0.0,0.0,2920.84,0.0,0.0,1725.9,8364.95,154.66,864.0,1450.35,10688.47,255.79,1024.03,3677.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,205769.14,108800.61,51515.72,78365.76,98328.84,-3085.21,-9916.74,101459.6,208450.94,103871.57,264207.33,466440.46,496475.08,72737.44,114463.35,173029.33,296308.05,83281.3,-84501.17,-29551.11,67926.35,-119449.04,-55246.82,122070.08,291921.13,58418.02,181727.31,506155.4,668928.1,322537.38,763235.5,1142378.36,1236886.26,151559.12,188360.93,421385.5,709219.16,149956.32,104150.17,315904.0,428372.85,-37249.73,170401.57
减：所得税费用,2592.34,2328.37,988.96,1272.02,2805.45,191.67,601.53,811.68,1673.82,253.98,578.44,895.61,1121.36,593.27,1519.24,2429.45,3494.67,352.91,1871.24,2538.43,6846.03,670.6,1958.37,2414.32,4210.43,841.0,3093.78,3032.28,5280.41,1306.51,5474.73,9901.01,13093.89,4386.5,8957.42,9505.99,9316.36,1515.48,3118.2,6013.19,2760.51,8243.77,26168.88
五、净利润,203176.79,106472.24,50526.76,77093.74,95523.4,-3276.88,-10518.27,100647.92,206777.12,103617.59,263628.89,465544.85,495353.71,72144.18,112944.11,170599.88,292813.38,82928.39,-86372.41,-32089.54,61080.32,-120119.64,-57205.19,119655.75,287710.7,57577.02,178633.53,503123.12,663647.69,321230.87,757760.77,1132477.36,1223792.37,147172.63,179403.51,411879.5,699902.8,148440.83,101031.97,309890.81,425612.34,-45493.5,144232.68
归属于母公司所有者的净利润,183981.16,97101.05,50526.76,77093.74,86893.23,-3276.88,-10518.27,100647.92,192015.28,103617.59,263628.89,465544.85,463824.79,72144.18,112944.11,170599.88,273290.98,82928.39,-86372.41,-32089.54,55444.44,-120119.64,-57205.19,119655.75,266397.85,57577.02,178633.53,478827.64,620536.66,309233.57,722661.04,1083709.68,1178987.93,147321.98,181021.05,403886.78,675111.9,140838.65,91733.4,289987.36,395743.53,-46045.8,138293.34
少数股东损益,19195.64,9371.19,0.0,0.0,8630.17,0.0,0.0,0.0,14761.84,0.0,0.0,0.0,31528.93,0.0,0.0,0.0,19522.4,0.0,0.0,0.0,5635.88,0.0,0.0,0.0,21312.85,0.0,0.0,24295.48,43111.03,11997.3,35099.72,48767.67,44804.44,-149.35,-1617.54,7992.72,24790.89,7602.18,9298.57,19903.45,29868.82,552.3,5939.35
基本每股收益(元/股),4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,1.5,1.71,0.85,1.66,2.49,2.7101,0.3386,0.3468,0.7737,1.2932,0.2698,0.1687,0.5485,0.7511,-0.0882,0.2593
稀释每股收益(元/股),4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,1.5,1.71,0.85,1.66,2.49,2.7101,0.3386,0.3468,0.7737,1.2932,0.2698,0.1756,0.5548,0.7511,-0.0882,0.2593
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4637.31,0.0,0.0,0.0,-304.23,0.0,0.0,0.0,12653.69,0.0,0.0,-22109.32,-11265.4,7181.56,18049.6,26511.41,40029.71,9004.53,-40877.27,-29508.46,-24503.78,50280.31,14730.76,-11555.48,-24817.23,6848.05,146.07
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297450.69,0.0,0.0,0.0,60776.09,0.0,0.0,0.0,300364.39,0.0,0.0,481013.8,652382.29,328412.43,775810.37,1158988.77,1263822.08,156177.15,138526.24,382371.05,675399.02,198721.14,115762.74,298335.33,400795.11,-38645.45,144378.76
