报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
其他应收款,2019.35,1751.17,1944.04,4467.98,5324.24,4794.21,5615.27,5481.3,5308.06,5300.28,6143.07,5380.13,7479.53,5983.41,0.0,14432.46,0.0,3626.65,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,33977.38,37658.49,37466.02,52479.73,44623.66,50520.11,57860.8,68349.21,75199.13,71998.39,70211.79,87836.15,78836.38,84194.81,87341.12,116234.7,94826.9,91446.53,95192.17
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,145.92,0.0,97.87,0.0,0.0,0.0,0.0,0.0,0.0,216.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,1717.27,3032.3,18137.13,12150.18,9963.72,6868.29,7791.24,140754.6,175215.07,119060.88,142059.52,164510.45,136862.96,51228.4,54231.96,89333.19,54157.44,12301.12,15846.89
流动资产合计,92139.8,86588.28,98560.59,107279.63,110925.67,125637.69,152742.03,378541.16,381341.5,315375.42,349450.31,423789.72,380845.1,299532.75,465345.86,494317.8,458529.89,479559.52,559671.27
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,52088.32,52088.32,76889.22,164806.53,164479.8,173393.86,0.0,0.0,0.0
