报表日期,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
一、营业总收入,34823.52,38722.07,43716.71,8853.1,23435.0,35438.4,49641.44,9605.08,24372.07,39037.75,54887.11,10032.74,22776.91,36477.79,51541.99,11606.27,28833.78,44785.14,62989.49,12983.7,31632.18,49980.41,74583.46,19304.16
营业收入,34823.52,38722.07,43716.71,8853.1,23435.0,35438.4,49641.44,9605.08,24372.07,39037.75,54887.11,10032.74,22776.91,36477.79,51541.99,11606.27,28833.78,44785.14,62989.49,12983.7,31632.18,49980.41,74583.46,19304.16
二、营业总成本,28943.27,32149.3,36048.75,7209.86,19071.4,28415.24,41016.49,8065.79,20812.91,32500.24,46278.89,8651.59,19506.14,30893.7,44046.22,10190.49,24921.34,39595.7,56594.92,12491.35,29256.08,45742.11,68172.41,17425.03
营业成本,23628.24,25002.14,27734.53,5375.01,15014.7,22374.8,31754.92,6074.76,16409.83,26047.61,36540.36,6256.01,14472.61,23095.37,32264.65,7386.96,18270.24,29112.94,41479.96,8695.74,21369.66,33569.61,48353.51,11239.39
营业税金及附加,359.69,368.6,467.65,120.96,234.6,316.74,493.15,103.14,250.66,373.33,502.88,134.0,248.8,351.46,583.16,103.15,294.97,427.65,731.29,79.14,289.56,536.05,898.44,243.31
销售费用,1833.76,2694.1,2777.44,559.49,1344.83,1908.25,3045.36,680.27,1509.12,2384.87,3681.97,856.79,1888.03,2966.52,4680.54,974.38,2402.25,3689.95,5338.12,1191.16,2715.1,4578.54,7404.07,2343.45
管理费用,2931.29,3621.86,4547.43,1086.29,2312.34,3487.57,5182.66,1291.22,2782.72,4215.79,6236.33,1448.76,3097.42,4798.47,7124.21,1688.87,3649.56,5758.97,8127.32,2112.85,4799.25,6685.37,9832.19,2694.6
财务费用,213.73,298.72,568.32,61.29,139.56,260.89,421.3,-81.95,-129.22,-534.92,-784.91,-29.14,-196.38,-331.48,-701.37,34.91,292.48,573.31,781.91,422.03,-1.57,-469.16,-84.73,513.97
资产减值损失,-23.44,163.87,-46.62,6.82,25.36,66.98,119.1,-1.65,-10.2,13.57,102.27,-14.84,-4.34,13.36,95.04,2.22,11.84,32.89,136.32,-9.57,84.07,97.73,94.99,-13.12
公允价值变动收益,0.0,0.0,0.0,-48.53,-86.65,-66.07,-68.84,28.3,73.12,50.42,68.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,0.0,0.0,0.0,-7.54,-11.68,10.77,58.6,54.79,391.43,777.9,1059.97,284.23,531.93,778.23,1029.48,256.32,514.59,752.28,742.86,174.24,273.46,357.2,270.46,-21.15
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-242.36,-64.9,-135.07,-162.27,-303.79,-51.01
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,5880.25,6572.77,7667.96,1587.17,4265.26,6967.86,8614.7,1622.37,4023.71,7365.82,9737.03,1665.38,3802.7,6362.32,8525.25,1672.11,4427.03,5941.72,7233.84,665.94,2653.95,4600.23,6962.8,2209.48
加:营业外收入,18.42,237.21,157.08,0.63,13.96,73.79,113.78,0.03,230.01,231.99,392.44,16.23,284.07,786.2,1044.97,52.59,241.52,311.34,173.29,34.62,91.6,116.56,58.81,41.89
减：营业外支出,3.9,6.59,29.26,1.1,12.81,13.22,17.35,0.07,22.88,34.15,70.0,14.05,17.58,32.4,49.11,1.77,23.76,161.72,133.9,3.7,7.42,8.41,161.27,0.64
其中：非流动资产处置损失,0.77,2.95,15.89,0.0,2.2,0.0,2.64,0.0,7.51,0.0,17.33,0.0,0.0,0.0,30.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,5894.76,6803.39,7795.78,1586.7,4266.41,7028.43,8711.13,1622.34,4230.84,7563.66,10059.47,1667.56,4069.19,7116.12,9521.11,1722.93,4644.78,6091.34,7273.23,696.86,2738.13,4708.38,6860.34,2250.73
减：所得税费用,959.52,1277.18,1445.6,371.28,832.87,1629.07,1929.68,267.05,-78.67,563.67,927.18,254.42,555.66,1107.38,1654.77,310.49,815.48,1108.23,1246.97,271.36,603.93,1089.67,1215.95,465.8
五、净利润,4935.24,5526.21,6350.19,1215.42,3433.54,5399.36,6781.45,1355.29,4309.51,6999.99,9132.29,1413.15,3513.53,6008.74,7866.34,1412.44,3829.3,4983.11,6026.27,425.5,2134.2,3618.72,5644.39,1784.93
归属于母公司所有者的净利润,4792.49,5560.94,6358.57,1215.73,3433.95,5399.83,6782.0,1355.34,4309.64,7000.16,9132.49,1413.19,3533.38,6040.46,7925.0,1485.3,3975.61,5240.7,6455.71,616.11,2535.86,4224.58,6540.3,1968.4
少数股东损益,142.74,-34.73,-8.39,-0.31,-0.41,-0.47,-0.55,-0.05,-0.13,-0.16,-0.2,-0.04,-19.85,-31.71,-58.66,-72.86,-146.3,-257.59,-429.44,-190.6,-401.66,-605.86,-895.91,-183.47
基本每股收益(元/股),0.64,0.74,0.85,0.162,0.46,0.72,0.9,0.163,0.47,0.36,0.48,0.07,0.18,0.3,0.4,0.07,0.2,0.26,0.32,0.03,0.13,0.21,0.33,0.1
稀释每股收益(元/股),0.64,0.74,0.85,0.162,0.46,0.72,0.9,0.163,0.47,0.36,0.48,0.07,0.18,0.3,0.4,0.07,0.2,0.26,0.32,0.03,0.13,0.21,0.33,0.1
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
八、综合收益总额,4935.24,5526.21,6350.19,1215.42,3433.54,5399.36,6781.45,1355.29,4309.51,6999.99,9132.29,1413.15,3513.53,6008.74,7866.34,1412.44,3829.3,4983.11,6026.27,425.5,2134.2,3618.72,5644.39,1784.93
归属于母公司所有者的综合收益总额,4792.49,5560.94,6358.57,1215.73,3433.95,5399.83,6782.0,1355.34,4309.64,7000.16,9132.49,1413.19,3533.38,6040.46,7925.0,1485.3,3975.61,5240.7,6455.71,616.11,2535.86,4224.58,6540.3,1968.4
归属于少数股东的综合收益总额,142.74,-34.73,-8.39,-0.31,-0.41,-0.47,-0.55,-0.05,-0.13,-0.16,-0.2,-0.04,-19.85,-31.71,-58.66,-72.86,-146.3,-257.59,-429.44,-190.6,-401.66,-605.86,-895.91,-183.47
