报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
货币资金,5958.1,129293.53,245653.08,181762.54,1408093.66,967614.12,1780000.24,2300987.34,2773118.97,3222495.15,3255648.64,3335233.96,3226963.53,3711026.02,3757103.42,6643720.94,6842411.61,7167731.01,7468669.73,8073512.16
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3790.0,5898.0,28781.0,138958.56,136884.58,87430.71,196721.34,328807.15,177437.56,221485.17,175400.54
衍生金融资产,0.0,0.0,0.0,0.0,1374.46,1623.01,2280.07,41649.56,51266.12,65295.89,73650.84,148757.62,181213.55,108799.74,130096.17,115530.59,133034.71,72761.91,118410.56,167934.5
应收票据及应收账款,0.0,0.0,0.0,0.0,1237685.68,1424343.92,1109995.67,1395476.41,1596774.8,1709584.79,1763800.36,1841108.89,1798848.53,1480278.42,1316335.73,1583944.45,2117068.01,2170816.42,1946713.43,2020369.83
应收票据,0.0,42218.23,57052.28,287530.9,545833.53,752775.02,257123.96,410502.01,974289.06,916278.32,944411.15,871049.17,964994.97,695811.6,539185.62,685138.2,987715.63,944730.62,548531.0,586366.6
应收账款,37159.13,239393.0,731584.0,600515.46,691852.16,671568.9,852871.71,984974.4,622485.74,793306.48,819389.22,970059.72,833853.56,784466.82,777150.11,898806.25,1129352.37,1226085.8,1398182.44,1434003.22
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,1532.55,7046.94,10118.31,15619.96,30583.55,84730.35,67800.35,45394.74,86464.08,115332.0,102981.82,236192.41,53816.31,76690.14,55117.11,65503.38,99711.86,198383.7,384841.5,328285.48
其他应收款(合计),0.0,0.0,0.0,0.0,14294.14,19675.95,53842.28,68364.42,68208.94,79910.69,100483.97,161567.5,456856.57,487873.97,422957.6,492295.58,330395.68,365654.11,405861.14,273455.44
应收利息,0.0,0.0,756.45,8954.71,5231.05,4738.25,6427.42,0.0,9280.81,18245.27,17785.32,13954.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,2999.59,5548.42,18380.69,12967.4,9063.08,14937.7,47414.86,68364.42,58928.13,0.0,82453.42,0.0,456856.57,0.0,422957.6,0.0,330395.68,0.0,405861.14,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,31207.83,104161.12,135977.23,395503.8,341775.71,411304.09,491994.23,528647.21,707610.18,768653.76,962369.21,1000532.68,1148054.99,1019330.35,912070.24,934697.59,1322464.1,1719477.99,2416570.58,3496166.51
划分为持有待售的资产,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8154.86,4692.09,14344.73,17677.53
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,110409.03,22785.52,976070.42,1166083.47,269503.1,155859.36,263203.43,136839.06,107699.17,87007.46,123355.43,116726.09,164781.67,144579.28,131904.25,141633.35,96924.05,177750.0,315031.26,368974.33
流动资产合计,189266.23,550446.76,2176132.48,2668938.23,3303310.29,3065150.8,3769116.27,4517358.73,5391142.28,6052069.75,6388188.27,6868900.16,7169493.72,7165462.48,6813015.23,10174047.21,11286498.93,12062231.68,13299635.69,14929483.91
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,500.0,500.0,14340.0,154750.35,196129.1,196271.6,172915.85,174932.88,151652.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37215.66,49776.72,46342.48,52106.69
长期股权投资,22722.41,0.0,16965.82,31072.54,79102.72,78003.05,91375.26,98464.63,96519.82,104770.98,94741.69,117662.52,154045.28,152094.48,152761.12,231173.3,481307.29,557456.09,924053.27,1003147.87
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,0.0,0.0,297436.4,312258.7,264507.0,261211.94,162383.82,400214.67,350652.81,283171.26,199652.48,175681.49,343035.43,565617.23,575035.18,560212.53,1545027.58,2149521.77
在建工程,17406.12,47489.38,122612.99,423784.27,297436.4,312258.7,264507.0,261211.94,162383.82,0.0,350652.81,0.0,199652.48,0.0,343035.43,0.0,575035.18,0.0,1545027.58,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,821949.66,844667.37,981950.75,1031310.21,1157466.58,1271828.31,1488396.13,1688592.54,1741734.86,1693682.31,1640261.81,1719809.21,1962164.84,2076008.93,2513213.24,3185022.27
固定资产净额,24283.87,131309.83,372747.39,563547.51,821949.66,844667.37,981950.75,1031310.21,1157466.58,0.0,1488396.13,0.0,1741734.86,0.0,1640261.81,0.0,1962164.84,0.0,2513213.24,0.0
固定资产清理,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23382.97,23714.3,32589.78
无形资产,23760.55,50275.8,62164.6,116244.91,140876.02,139028.0,138478.55,136264.18,134617.11,133198.12,155529.38,151858.41,230231.72,233137.35,242310.73,247042.25,251793.57,252778.0,339529.31,353062.5
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,10041.93,10041.93,10041.93,10041.93,10041.93,10041.93,10041.93,10041.93,10041.93,10041.93,10041.93,14795.19,14795.19,14795.19,14795.19,14795.19,14795.19,32950.69,34969.25
长期待摊费用,30.26,613.34,1420.64,4892.89,13931.05,16393.98,15846.08,17688.12,30582.85,32018.06,31665.6,34184.76,39409.6,37559.75,35969.63,34249.15,36355.17,42027.63,47894.43,75511.02
递延所得税资产,2509.78,13524.14,26491.2,33245.11,51004.52,58007.96,70827.23,90220.68,124073.77,148149.55,173657.01,205503.63,207921.05,227779.45,235046.88,253532.98,316710.99,349785.33,389065.62,431176.43
其他非流动资产,7031.64,63093.9,55914.4,81843.9,52506.88,62500.17,29340.36,41568.16,129890.13,100832.1,142590.92,111843.16,224853.4,317999.66,399277.48,387758.04,500263.16,1126201.18,1264681.13,2143899.4
非流动资产合计,98244.63,316848.99,682698.96,1419423.41,1662978.28,1717172.75,1775283.02,1861702.73,1997228.13,2358057.5,2600674.89,2762235.51,2965703.95,2978184.01,3190695.11,3602838.61,4375343.76,5270658.81,7478714.09,9985695.71
资产总计,287510.86,867295.75,2858831.43,4088361.64,4966288.58,4782323.55,5544399.29,6379061.46,7388370.4,8410127.25,8988863.16,9631135.67,10135197.67,10143646.49,10003710.34,13776885.83,15661842.69,17332890.49,20778349.78,24915179.62
短期借款,19712.97,57655.89,122658.8,125797.6,224509.6,116367.0,140195.62,124897.89,118009.21,140397.06,129403.95,134056.37,212564.67,248934.99,287618.6,436116.52,633508.02,621382.99,793640.08,864814.11
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31424.75,31424.75,31424.75,31424.75,28691.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,1379097.29,1167155.91,1241646.15,1509666.74,1889820.32,2412486.72,2715838.95,2813409.47,2811233.53,2375896.64,2026016.7,2260413.19,3127143.38,4119103.47,5952052.99,7822625.63
应付票据,10442.06,104120.45,439403.95,542777.72,881271.56,736293.76,667584.35,0.0,1184112.81,0.0,1705957.77,1724491.04,1742019.78,1618568.28,1282128.65,1151091.1,1563658.95,2334629.5,3385003.38,4559439.01
应付账款,38471.3,147240.0,317339.53,619009.84,497825.73,430862.15,574061.81,0.0,705707.51,0.0,1009881.19,1088918.43,1069213.75,757328.37,743888.05,1109322.1,1563484.43,1784473.97,2567049.61,3263186.62
预收款项,871.52,17004.58,8772.71,19264.43,20316.55,51806.79,34906.47,170458.28,499440.09,540489.11,753490.92,721228.51,616144.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,2120.14,19849.09,44624.93,40294.5,51730.8,50959.18,52444.94,59654.49,112225.35,133629.32,131723.38,151982.35,158227.55,161522.38,138692.71,165301.85,265756.49,309879.4,302374.97,353868.36
应交税费,3058.77,25261.76,24829.77,39674.68,43619.68,30660.95,27145.96,70558.8,72253.66,112229.96,80306.67,121338.47,96298.46,72215.84,66284.93,93379.55,132105.91,133646.59,145456.55,217170.95
其他应付款(合计),0.0,0.0,0.0,0.0,33236.21,31284.31,29926.93,164642.46,292418.42,390034.05,299877.14,321194.68,529830.9,513869.35,422537.13,363554.47,440777.63,453386.22,744474.09,599038.2
应付利息,9.23,363.93,577.63,866.67,1520.53,1626.92,1626.03,0.0,1984.28,2096.3,2242.67,2999.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31169.25,241.87,241.87,241.87,1704.22,1438.03,617.28,617.28,56500.06,1063.87
其他应付款,6204.75,31175.51,36024.01,36100.55,31715.69,29657.39,28300.9,164642.46,290434.13,0.0,266465.23,0.0,529589.03,0.0,420832.91,0.0,440160.35,0.0,687974.02,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,12737.6,132257.45,24051.12,12978.5,36494.46,44936.47,78518.87,82665.88,92902.4,99025.17,83030.74,91786.83,107746.85,115964.54,115494.55,135636.84,134903.87,147326.56,149376.62,157268.7
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45818.16,58120.7,76000.9,90437.72,105717.46,115204.4
流动负债合计,93628.34,534928.64,1018282.44,1436764.49,1789004.59,1493170.61,1604784.94,2182544.54,3108494.19,3859716.15,4225096.5,4386421.43,4560737.87,3983250.51,3546698.97,4054234.16,5497718.98,6687712.26,9268979.27,11449686.26
长期借款,0.0,0.0,30200.0,71995.0,212909.53,275525.63,319463.16,324532.71,349076.78,339433.48,363872.91,463025.63,498056.32,571752.66,672386.81,541942.92,606816.33,704638.23,870159.93,1715935.87
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150833.92,453930.28,458204.97,1476104.07,1438225.6,1433902.98,1427332.63,1752837.73
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13778.93,13461.26,13775.08
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,89504.52,89408.87,89939.96,96747.94,94341.45,93476.49,92523.3,91715.96,87361.86,69764.33,71397.13,72936.45,119393.86,115000.0,115000.0,117166.93
长期应付款,134491.11,91766.66,95007.92,91384.99,89504.52,89408.87,89939.96,96747.94,94341.45,0.0,92523.3,0.0,87361.86,0.0,71397.13,0.0,119393.86,0.0,115000.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,4365.62,58111.81,93058.05,126841.63,178900.73,178756.24,201815.52,282154.06,251238.27,350754.19,431362.39,557960.67,528977.33,575654.79,610121.47,604890.33,679770.49,770859.94,870986.98,1017123.38
递延所得税负债,0.0,3022.08,2813.01,8206.6,6899.21,6911.53,3454.95,4205.21,4098.45,4172.68,5838.98,17708.82,9119.2,5369.72,7763.02,12107.9,8551.88,5435.08,23597.21,36004.9
长期递延收益,21485.01,29633.72,40358.11,37753.28,41946.09,40428.98,42518.07,36070.19,61104.2,62687.06,63580.1,65351.53,81323.67,159506.57,161955.4,356497.0,391893.92,467461.46,640030.85,794405.67
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,160341.74,182534.27,261437.09,336181.49,530160.07,591031.24,657191.66,743710.11,759859.16,850523.9,957177.69,1195762.6,1355672.28,1835978.35,1981828.8,3064478.67,3244652.07,3511076.63,3960568.85,5447249.57
负债合计,253970.08,717462.91,1279719.53,1772945.98,2319164.67,2084201.85,2261976.6,2926254.65,3868353.34,4710240.04,5182274.19,5582184.03,5916410.16,5819228.86,5528527.77,7118712.84,8742371.05,10198788.89,13229548.13,16896935.83
实收资本(或股本),20000.0,47059.0,61332.18,195519.33,195519.33,195519.33,217243.7,219501.74,219501.74,219501.74,219444.5,220839.97,220839.97,220839.97,220711.38,232947.4,232947.4,232947.4,232900.78,232900.78
资本公积,0.0,36901.42,1160855.4,1507339.26,1535458.78,1537444.29,2052015.77,2133240.05,2137291.87,2145232.09,2096627.5,2152198.56,2163044.86,2169048.34,2171481.35,4126766.82,4166215.16,4138078.59,4144687.43,4151296.72
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79370.11,79370.11,79370.11,77358.12,107489.48,107489.48,107489.48,102920.61,70969.42,71002.06,71002.06,69351.23,44353.49
其他综合收益,18.4,67.88,156.69,31350.51,24850.0,25167.93,7214.89,7523.65,-33683.92,-17536.22,-10127.75,63492.52,62081.96,53073.55,65102.87,89388.35,112699.3,89087.77,195227.2,227856.21
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,695.44,3707.92,29984.13,29984.13,63825.37,63825.37,63825.37,63825.37,98587.84,98587.84,98587.84,98587.84,109724.55,109724.55,109724.55,109724.55,115778.26,115778.26,115778.26,115778.26
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,4974.49,37630.3,296536.23,499236.29,650490.48,691825.2,741585.91,885409.62,951500.66,1056223.99,1130574.93,1266761.94,1365296.53,1432277.32,1503216.31,1647769.26,1864091.87,2059533.59,2256587.84,2585986.33
归属于母公司股东权益合计,25688.32,125366.52,1548864.63,2263429.52,2470143.96,2513782.11,3081885.63,3230130.32,3293828.09,3422639.33,3457748.9,3694391.35,3813498.39,3877474.24,3967315.85,6135626.97,6420729.94,6564423.56,6875830.28,7269464.8
少数股东权益,7852.46,24466.32,30247.28,51986.14,176979.95,184339.59,200537.06,222676.49,226188.97,277247.87,348840.07,354560.28,405289.13,446943.39,507866.72,522546.02,498741.71,569678.04,672971.38,748778.99
所有者权益(或股东权益)合计,33540.78,149832.84,1579111.9,2315415.66,2647123.91,2698121.7,3282422.68,3452806.81,3520017.06,3699887.2,3806588.97,4048951.63,4218787.52,4324417.63,4475182.57,6658172.99,6919471.64,7134101.6,7548801.66,8018243.79
负债和所有者权益(或股东权益)总计,287510.86,867295.75,2858831.43,4088361.64,4966288.58,4782323.55,5544399.29,6379061.46,7388370.4,8410127.25,8988863.16,9631135.67,10135197.67,10143646.49,10003710.34,13776885.83,15661842.69,17332890.49,20778349.78,24915179.62
