报表日期,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,5334.19,9012.64,20084.58,1417.29,7726.25,12175.46,21053.51,1065.21,5163.77,14406.55,26935.66,2776.82,10955.47,20184.66,37812.56,3654.9,14652.6,29446.66,50835.9,4161.4,11805.46,19597.03,31742.97,3454.25,13040.35,21452.18,45751.4,5251.65,18235.11,30311.88,123649.75,8971.85,39145.42,61914.85,160312.38,17551.65,47704.61,96710.35,179890.18,11915.45,56507.99,103342.83,213711.5,14429.57,59819.28,104194.26,193099.84,16500.59,61160.59,104331.84,210376.0,5903.1,43320.16,97982.98
营业收入,5334.19,9012.64,20084.58,1417.29,7726.25,12175.46,21053.51,1065.21,5163.77,14406.55,26935.66,2776.82,10955.47,20184.66,37812.56,3654.9,14652.6,29446.66,50835.9,4161.4,11805.46,19597.03,31742.97,3454.25,13040.35,21452.18,45751.4,5251.65,18235.11,30311.88,123649.75,8971.85,39145.42,61914.85,160312.38,17551.65,47704.61,96710.35,179890.18,11915.45,56507.99,103342.83,213711.5,14429.57,59819.28,104194.26,193099.84,16500.59,61160.59,104331.84,210376.0,5903.1,43320.16,97982.98
二、营业总成本,5374.57,9346.25,16562.02,3236.49,7255.58,11608.11,18174.53,4590.65,8971.13,15649.99,24177.32,4878.99,11328.98,19378.66,31869.99,5390.45,13754.7,27145.5,42222.25,7360.62,14674.54,22397.95,33611.92,6937.18,15941.2,24929.16,45087.52,8409.28,20399.51,32150.08,114098.4,13709.52,41393.59,65897.66,147514.92,24765.12,55561.98,101046.69,168124.41,25762.71,74245.3,119772.88,201095.93,26503.91,74667.56,119889.75,188447.67,26695.36,72225.84,114479.11,198449.38,23094.95,60570.64,109489.52
营业成本,1015.77,2832.97,7238.57,334.98,1708.45,3111.29,6463.4,360.72,1710.91,4671.93,10111.4,1101.21,4087.92,7982.86,14530.48,1171.78,5404.96,13315.57,21073.05,1969.62,4888.2,8078.36,13193.56,1582.18,5259.94,8841.19,21718.57,2660.83,9136.57,14391.5,76708.47,4990.98,23588.23,38441.28,103890.93,11414.05,31545.79,64211.32,116475.36,8460.58,42702.25,75536.98,138268.02,9412.51,44810.66,75012.06,125494.33,11305.09,43552.5,73649.5,141919.88,4005.62,28487.68,62973.6
营业税金及附加,58.66,104.98,296.31,26.78,95.19,147.91,302.3,13.56,65.18,206.9,434.77,25.66,124.25,292.71,533.07,60.97,223.26,389.78,716.64,62.99,174.76,285.8,622.03,67.73,157.13,258.0,520.54,60.51,253.8,425.08,1233.52,80.56,451.76,610.48,1819.11,174.6,319.9,476.11,1545.8,31.85,230.35,455.3,2030.84,70.38,363.6,667.89,1420.43,56.5,315.82,555.38,1310.07,16.3,294.37,549.44
销售费用,1821.12,2936.49,3953.98,1506.27,2378.42,3694.86,4765.42,1583.89,2642.91,4188.17,5355.82,1707.28,3148.18,4867.96,7399.45,1953.32,3495.7,5746.44,8504.99,2218.5,3987.51,5985.73,7690.77,2563.78,4666.7,6579.36,9131.16,2803.39,4590.79,6184.62,10407.33,2721.81,5336.27,8692.25,12925.96,4709.74,8283.44,13234.47,17734.33,6022.21,10791.51,16380.09,21533.51,7064.83,11494.95,16992.08,23158.26,7628.27,12908.02,18702.11,24857.46,8540.13,14229.87,19938.7
管理费用,2143.82,3216.65,4500.77,1410.06,2774.63,4356.74,6208.49,2719.68,4493.58,6491.72,8587.07,2104.7,3750.24,5797.83,8590.53,2396.02,4482.64,7276.22,11375.49,3074.79,5286.22,7539.97,10387.07,2639.32,5393.29,8424.3,11708.22,2688.14,5582.69,8907.84,21210.22,5880.29,10530.11,16206.62,24744.21,7711.7,13875.09,19867.01,27065.22,10388.94,18047.76,24624.19,33022.67,9606.67,15865.98,10314.19,14321.24,4428.43,7968.22,11510.28,14112.86,3888.78,7341.25,11084.16
财务费用,48.11,62.14,65.99,-20.31,-25.87,-47.25,-130.02,-56.44,-98.29,-148.99,-195.8,-42.23,-73.8,-109.55,-146.72,-43.1,-111.91,-183.23,-260.38,-64.04,-133.45,-166.68,-271.71,-19.81,-48.37,-129.56,-242.71,-55.66,-130.74,-236.36,-270.06,-3.6,67.62,-107.39,-89.51,-8.41,112.21,223.39,556.66,222.15,30.67,-653.89,-1219.38,-184.31,-278.53,-399.97,-4302.82,-783.42,-1559.91,-2330.99,-2910.45,-763.05,-1522.26,-2057.09
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13314.63,19266.54,5787.18,9041.19,12392.83,19159.55,7407.17,11739.73,17000.71
资产减值损失,287.08,193.03,506.4,-21.3,324.74,344.56,564.95,-30.77,156.84,240.24,-115.94,-17.62,292.2,546.86,963.18,-148.54,260.05,600.73,812.46,98.76,471.3,674.76,1990.19,103.98,512.51,955.87,2251.73,252.07,966.39,2477.4,4808.92,39.49,1419.6,2054.41,4224.22,763.43,1425.54,3034.39,4747.05,636.98,2442.75,3430.21,7460.26,533.82,2410.9,3988.87,9089.7,-1726.68,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,15.0,15.0,160.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.19,0.0,0.0,0.0,-27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,-0.7,88.91,101.08,385.67,38.65,730.31,797.95,187.25,177.02,177.39,200.03,180.34,953.98,1737.85,2647.15,-398.83,-57.76,-119.94,-195.92,-262.25,-32.01,-43.91,-112.24
其中:对联营企业和合营企业的投资收益,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,88.91,101.08,385.67,38.65,722.31,789.95,179.25,177.02,157.39,180.03,160.34,-75.54,-404.87,-463.91,-418.83,-57.76,-119.94,-195.92,-262.25,-32.01,-43.91,-112.24
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,-25.38,-318.61,3682.7,-1819.2,470.67,567.35,2878.97,-3525.43,-3807.36,-1243.44,2758.34,-2102.18,-373.51,805.99,5942.57,-1735.55,897.9,2301.16,8798.84,-3199.21,-2869.07,-2800.92,-1896.45,-3482.92,-2900.85,-3476.98,663.88,-3157.64,-2164.4,-1838.2,9551.58,-4738.37,-2159.26,-3881.73,13183.13,-7174.81,-7127.06,-3538.39,11953.01,-13670.24,-15690.42,-14061.72,15312.94,-10665.82,-11710.8,-11558.97,10534.12,-9256.28,-10790.52,-9060.84,14782.39,-16695.99,-16371.24,-13896.11
加:营业外收入,23.74,23.78,576.83,129.16,321.24,630.55,1294.01,723.51,954.07,1196.9,1973.68,6.36,335.27,776.63,1846.54,38.62,258.13,864.82,1996.12,133.69,1653.08,2279.14,3178.89,280.63,1734.45,3153.5,3577.16,709.85,1750.93,3308.45,4703.62,1094.58,1901.35,4399.42,5059.2,1785.87,3108.53,4640.56,7669.41,736.17,335.38,2572.39,5075.14,51.73,384.88,1891.67,2365.53,11.32,303.23,333.87,633.79,26.35,17.07,82.39
减：营业外支出,0.55,66.29,16.94,0.19,29.03,34.77,43.45,0.38,0.42,1.07,1.07,0.22,15.96,4.25,20.91,0.19,20.19,24.54,4.56,0.29,2.41,3.13,13.39,0.0,0.82,1.51,1.38,2.23,3.47,7.27,7.57,0.44,5.32,7.71,6.82,0.07,0.78,0.78,15.81,0.06,5.07,8.93,74.47,4.42,5.48,5.12,57.03,1.33,1.34,8.82,153.59,0.0,0.12,0.42
其中：非流动资产处置损失,0.0,0.0,15.49,0.0,0.0,0.0,2.54,0.34,0.38,0.38,0.98,0.0,14.94,3.17,14.31,0.0,0.0,0.0,0.19,0.0,1.22,1.22,2.09,0.0,0.82,1.51,1.23,2.22,3.46,7.23,7.34,0.34,5.02,7.39,1.87,0.07,0.62,0.62,12.52,0.06,2.44,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,-2.19,-361.12,4242.59,-1690.23,762.89,1163.13,4129.53,-2802.3,-2853.7,-47.61,4730.95,-2096.03,-54.2,1578.37,7768.21,-1697.12,1135.84,3141.44,10790.41,-3065.81,-1218.41,-524.91,1269.06,-3202.29,-1167.22,-324.98,4239.66,-2450.02,-416.93,1462.98,14247.63,-3644.23,-263.23,509.98,18235.5,-5389.02,-4019.31,1101.39,19606.61,-12934.13,-15360.11,-11498.26,20313.61,-10618.51,-11331.41,-9672.42,12842.61,-9246.29,-10488.63,-8735.79,15262.59,-16669.64,-16354.29,-13814.14
减：所得税费用,19.89,-72.93,450.65,-638.88,-278.63,-340.64,149.37,-505.28,-726.49,-339.69,526.01,-413.14,-204.86,26.21,743.79,-407.67,285.65,516.52,1815.33,-509.32,-363.08,-189.93,298.83,-429.35,-101.61,36.09,684.4,-415.46,-121.28,32.1,1739.76,-428.93,104.68,-112.09,1979.59,-979.25,-401.72,120.73,2311.37,-2315.69,-2629.05,-1938.7,2588.36,-1856.25,-1774.84,-2307.6,394.39,-1330.12,-2174.34,-2429.98,-633.12,-2952.49,-3003.13,-4101.62
五、净利润,-22.08,-288.19,3791.94,-1051.35,1041.52,1503.77,3980.16,-2297.02,-2127.21,292.08,4204.93,-1682.89,150.66,1552.16,7024.42,-1289.46,850.19,2624.92,8975.08,-2556.49,-855.33,-334.98,970.23,-2772.94,-1065.61,-361.07,3555.25,-2034.55,-295.66,1430.88,12507.86,-3215.3,-367.91,622.07,16255.91,-4409.77,-3617.6,980.66,17295.24,-10618.44,-12731.06,-9559.57,17725.25,-8762.26,-9556.57,-7364.82,12448.23,-7916.16,-8314.29,-6305.81,15895.71,-13717.15,-13351.16,-9712.52
