报表日期,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-06-30,2015-12-31,2016-06-30,2016-12-31,2017-06-30,2017-12-31,2018-03-31,2018-06-30,2018-12-31,2019-06-30,2019-12-31,2020-03-31
货币资金,1246.2,1077.7,2475.42,3272.15,2316.42,1922.57,3841.12,3472.69,4356.71,2317.06,3464.85,2420.95,2320.26,2500.7,4537.37,4708.23
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11181.94,12035.32,12294.01,0.0,13317.3,12814.74,13077.31,15524.23,12559.51
应收票据,146.0,176.86,111.1,107.9,117.6,183.61,28.37,104.66,134.75,290.0,54.96,0.0,164.32,127.27,131.55,142.23
应收账款,6234.42,7691.53,9096.05,9243.67,9713.0,8923.85,9207.12,11077.27,11900.57,12004.01,11325.63,0.0,12650.43,12950.04,15392.68,12417.28
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.39,682.85
预付款项,929.49,862.11,1053.21,929.16,1189.86,512.53,666.22,686.99,674.37,863.68,2718.64,528.6,659.49,515.46,743.54,1146.51
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.77,186.71,184.43,0.0,0.0,227.73,208.63,238.49,430.81
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,296.39,449.44,594.44,474.18,580.29,326.97,547.28,438.77,186.71,184.43,252.36,252.29,0.0,208.63,0.0,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,11583.87,11156.24,10915.25,10875.02,10866.29,10999.36,11136.24,11480.45,11233.74,12735.39,12645.13,13167.31,14140.65,16382.3,17845.39,19320.88
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,139.04,126.43,155.8,243.44,179.21,325.57,168.01,140.47,52.97,251.03,200.77,289.64,199.74,98.71,103.48,47.62
