报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
货币资金,93895.99,93036.11,100405.33,105699.06,100751.92,102985.69,91972.88,62900.84,74759.95,66189.96,66723.86,76948.52,72964.01,58475.54,60258.15,85698.72,75082.97,63439.41,69595.62,92814.81,82973.53,88952.75,94399.76,123586.67,111940.57,117307.61,124482.14,158934.83,547263.41,547965.16,563452.23,708612.63,843018.39,692937.59,617900.41,794552.73,880523.8,703293.68,660206.31,885841.8,907425.09,698197.31,599326.49,784197.82,887228.31,645009.47,864852.62,1052632.86,1167989.56,977959.9,730859.62,1002237.19,1040437.77,971784.06,788698.94,1051648.81,1197675.59,1169482.04,1087354.85,1276783.27,1344130.23,1212564.2,1127878.3
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.23,2222.62,3368.74,7071.66,5305.44,4954.38,3080.97,2898.61,1563.72,33482.76,32118.96,0.0,0.0,20181.96,20423.3,27185.59,19777.73,17955.28,25664.81,16588.84,17685.83,16983.75,16581.94,16076.7
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61145.94,66976.48,49539.12,95573.17,68790.13,63565.26,79078.94,89149.08,77336.67,88925.31,85524.36,73324.01,97243.42,108714.87,91839.96,87767.24,102267.73,108888.94,107751.51,120782.7
应收票据,1713.0,743.6,309.5,809.4,831.25,531.0,221.0,832.05,681.55,568.17,1354.15,2779.05,2536.01,2114.55,3802.78,7713.31,5082.31,1060.48,2541.66,6203.73,5079.49,1348.02,2172.72,2159.3,365.32,677.11,697.46,685.63,447.25,438.0,1133.66,1132.39,1177.89,851.55,1954.21,2405.48,1849.22,1825.77,688.86,1473.49,1251.64,1291.81,1492.44,1659.1,2467.74,2612.47,1037.7,279.35,1275.02,2014.23,1786.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,18255.46,18633.94,15025.55,13940.32,15970.0,11026.35,9242.46,8713.44,6841.99,7689.58,11256.86,10424.44,13160.94,13179.79,13852.33,11448.36,12461.11,14741.98,13783.11,12285.17,14641.91,11769.56,12477.04,9486.46,13009.39,10553.86,10143.92,7849.8,21443.49,17786.72,24848.8,49320.82,48959.62,44114.52,49623.69,60921.14,68023.32,62314.46,67047.09,64593.36,62337.63,64699.95,71621.46,59486.85,64508.74,46926.66,94535.47,68510.78,62290.24,77064.71,87362.19,77336.67,88925.31,85524.36,73324.01,97243.42,108714.87,91839.96,87767.24,102267.73,108888.94,107751.51,120782.7
预付款项,1168.38,1816.78,8273.57,6086.29,7425.23,6189.83,6471.85,7177.24,6801.97,6471.07,5970.66,2500.89,1751.05,1276.34,2965.32,3544.74,3095.33,2818.58,5143.12,1302.31,906.82,931.78,1569.91,1455.86,1164.42,1333.99,1164.07,1240.28,36087.54,19585.71,27744.42,58194.32,42542.68,44409.15,35581.51,62671.78,41421.68,54298.11,46400.53,50580.62,26275.75,29258.81,64308.62,51905.6,108687.7,66880.43,98846.73,48951.26,50349.58,62560.91,50624.71,44962.25,50213.36,41788.36,47784.04,33291.04,37477.27,44466.74,54266.5,35285.73,51419.59,54991.39,51283.33
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,657.72,801.63,277.3,1596.17,1500.83,755.12,637.69,577.89,855.68,576.15,737.81,774.65,1123.68,857.8,1489.54,1465.19,1328.43,1847.75,1979.49,2046.66,1831.81,2057.04,2529.53,1806.72,1297.09,1284.07,1056.67,4636.46,6837.21,5047.54,11384.56,5523.51,6235.29,5543.0,4979.61,4091.96,5246.83,5540.76,4944.49,5725.15,7078.37,8535.85,6217.4,6930.59,7543.17,10551.85,13734.23,42973.73,0.0,42851.9,0.0,37001.0,0.0,37217.64,0.0,61666.46,0.0,54803.13,0.0,0.0,0.0,51835.91,0.0
