报表日期,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
一、营业总收入,23754.49,26612.66,27008.67,36496.52,10642.68,22269.24,33267.73,42204.9,8062.18,18003.82,27838.0,40708.45,10053.95,21385.91,34021.76,47541.79,10309.41,21153.16,30082.76,92578.43,2638.01,24767.71,52298.27,112937.14,11853.95,211462.9,354218.39,615883.18,191022.11,358804.56,552426.82,792981.5,180265.5,366689.53,551309.36,803376.5,204173.16,365635.36,581218.55,803902.13,257448.54,514362.93,806205.74,1022476.72,223095.53
营业收入,23754.49,26612.66,27008.67,36496.52,10642.68,22269.24,33267.73,42204.9,8062.18,18003.82,27838.0,40708.45,10053.95,21385.91,34021.76,47541.79,10309.41,21153.16,30082.76,92578.43,2638.01,24767.71,52298.27,112937.14,11853.95,211462.9,354218.39,615883.18,191022.11,358804.56,552426.82,792981.5,180265.5,366689.53,551309.36,803376.5,204173.16,365635.36,581218.55,803902.13,257448.54,514362.93,806205.74,1022476.72,223095.53
二、营业总成本,20564.86,22398.76,22684.5,30644.56,9324.29,19116.58,28524.69,36921.63,7277.54,16368.12,25441.76,38289.17,9471.09,20412.03,32424.28,46025.53,10327.88,22747.29,32771.05,66052.89,5578.74,22523.99,45564.87,82697.02,12088.56,187188.21,303689.34,515018.92,165833.81,313470.99,475700.9,658863.52,148678.22,299595.13,450165.23,676934.03,149894.24,262266.81,441506.29,671311.89,196740.84,400017.72,644106.93,837933.56,191261.95
营业成本,16321.66,17829.73,17296.71,23548.62,7211.46,15119.36,22507.78,28560.76,5620.03,12716.37,19296.35,28180.47,6857.43,14975.26,23944.79,33389.02,7550.09,16118.54,22758.62,46794.43,1964.23,12205.72,29562.96,56238.48,4671.2,67260.31,119096.5,240427.92,83535.27,157831.89,235549.36,338123.22,69726.13,148212.01,222537.81,354994.66,65115.66,114896.22,199463.03,314165.98,96870.44,201783.64,327509.58,405703.39,96906.53
营业税金及附加,136.56,159.85,131.84,178.1,53.83,106.78,121.46,146.74,28.72,92.57,150.62,191.88,15.04,75.55,165.83,210.88,57.91,110.49,172.95,996.82,24.68,126.55,318.22,867.9,216.98,2779.57,3529.18,5357.29,1553.39,2662.98,4214.75,6376.69,1408.39,2327.67,3554.38,4345.86,709.14,1407.69,2234.92,3122.39,1112.67,1788.12,2497.14,3190.45,515.28
销售费用,2715.29,2787.27,3012.65,4005.34,1051.32,2002.72,3060.96,4311.5,991.49,1921.18,3237.72,5019.13,1549.57,3247.2,4936.4,7027.67,1581.5,3122.35,4492.35,9083.62,1768.73,5091.56,6210.92,7963.16,1171.95,32127.26,53323.61,75534.7,16778.95,35268.72,57106.7,74351.09,16687.5,44622.01,70460.34,88039.05,18381.02,34452.79,82585.37,114501.54,38314.3,74832.07,137691.68,183109.45,30668.61
管理费用,964.08,1157.94,1905.87,2529.0,558.8,1278.25,1947.28,2682.87,743.39,1587.45,2666.52,3935.31,911.84,1786.05,3094.91,4013.2,946.47,1849.31,3405.11,5803.05,1396.77,3782.04,6050.2,10888.0,2789.33,78818.9,122549.1,183558.13,55868.0,103525.61,155031.81,207286.8,55109.68,97766.83,48240.29,70420.75,15480.2,31408.89,44886.59,68453.73,17897.26,33335.14,49650.22,75741.06,19036.53
财务费用,255.94,193.95,201.16,259.32,124.37,184.31,289.76,455.94,-116.8,-145.14,-165.31,-92.24,69.27,201.47,276.09,455.13,140.85,309.46,562.39,1284.52,564.36,1584.37,2925.44,4450.31,3227.77,5055.86,2517.85,122.79,4232.16,11351.66,16996.78,19009.22,6121.58,7568.22,11649.98,16783.32,5168.82,8880.26,11781.74,20621.17,3370.55,5469.67,8503.85,11253.76,2623.18
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93687.3,141311.12,45670.42,71220.95,100554.65,150447.08,39175.61,82809.07,118254.45,158935.45,41511.82
资产减值损失,171.32,270.03,136.28,124.17,324.51,425.16,597.45,763.81,10.72,195.68,255.86,1054.63,67.94,126.5,6.25,929.63,51.06,1237.14,1379.64,2090.45,-140.04,-266.26,497.13,2289.17,11.33,1146.3,2673.1,10018.09,3866.04,2830.12,6801.5,13716.51,-375.06,-901.61,35.12,1039.28,-631.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
