报表日期,2007-03-31,2007-09-30,2007-12-31,2008-03-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,8451.8,58418.48,108703.89,31924.12,296324.15,278685.47,435432.85,106110.51,260759.95,572169.85,911943.2,167271.2,392334.39,750248.7,1010927.88,170506.87,377338.74,743949.21,1121935.1,273230.23,666608.46,1064606.37,1505231.66,477735.46,1019798.54,1441378.94,1788935.79,389933.91,954094.64,1443169.36,1566777.11,272475.7,579652.67,892649.56,1297930.14,228933.39,514858.31,861029.78,1249661.24,338192.66,690075.44,1173133.45,1647334.98,407954.27,1003684.59,1659025.42
收到的税费返还,0.0,4.45,4.45,0.0,3.19,0.0,0.0,21.67,34.71,41.6,41.6,34.3,289.5,306.2,4993.3,61.8,126.61,126.61,154.42,37.98,37.98,37.98,185.07,0.0,17840.73,47684.29,62701.35,0.0,42220.89,86486.34,92989.06,25282.52,25430.89,25430.89,39990.26,41866.84,84796.13,110277.02,130218.72,18995.78,23988.36,23988.36,26835.32,66.7,108.03,108.03
收到的其他与经营活动有关的现金,1157.89,866.01,6471.85,1841.67,6646.57,5457.93,8641.18,2547.48,4614.65,23711.72,10959.17,1516.13,4097.03,25733.51,18581.65,5030.95,8509.34,12503.33,16295.72,3103.18,6888.88,10385.49,16317.72,449.34,1318.69,2849.14,33549.63,1290.67,13071.2,42145.91,49727.6,4412.65,14690.54,17240.53,42849.78,1435.93,7611.02,14302.38,28732.11,6737.81,9034.18,19669.25,16129.76,1488.83,4187.57,8155.36
经营活动现金流入小计,9609.69,59288.93,115180.19,33765.79,302973.91,284143.4,444074.02,108679.66,265409.31,595923.17,922943.97,168821.63,396720.92,776288.41,1034502.83,175599.62,385974.69,756579.16,1138385.24,276371.39,673535.32,1075029.83,1521734.46,478184.8,1038957.96,1491912.37,1885186.77,391224.58,1009386.74,1571801.62,1709493.77,302170.88,619774.11,935320.98,1380770.18,272236.16,607265.46,985609.18,1408612.07,363926.26,723097.99,1216791.06,1690300.07,409509.8,1007980.19,1667288.82
购买商品、接受劳务支付的现金,14854.18,48371.61,38863.52,24040.29,169196.66,131028.42,179388.35,46042.09,91034.3,134500.25,205621.38,55268.91,124464.27,183723.77,238454.64,24613.94,62448.17,90683.32,128111.71,23088.04,59719.2,95822.42,58848.42,26598.05,72566.15,145562.25,71307.39,27039.48,98482.52,171183.69,92356.02,11462.19,27704.8,45159.71,82133.25,8111.91,19702.54,37705.5,73647.99,8152.35,21495.66,36782.25,71078.55,9197.89,23576.8,39298.2
支付给职工以及为职工支付的现金,1663.86,4991.52,4145.11,805.39,8218.39,7191.36,13675.03,2610.3,5444.33,11030.44,17973.37,3331.24,6930.61,11677.96,21503.37,5536.44,10296.18,15813.04,27318.97,6168.23,12176.49,20676.74,33850.5,6707.18,13681.67,21679.34,37609.01,8118.66,15746.96,24614.55,41365.12,8910.87,16663.32,24342.29,42455.85,9527.42,18225.58,27761.28,50245.07,11514.22,22089.95,34688.02,67268.27,16274.82,33759.42,51915.91
支付的各项税费,1837.52,14530.16,26825.6,4109.12,44024.72,34904.99,64809.91,11584.43,25469.07,78600.38,163270.44,28880.86,64296.28,127000.31,199836.01,34409.26,72279.18,140568.22,241541.33,50892.0,120258.41,199758.38,320758.48,77170.91,204911.27,292621.61,394805.72,87631.6,215064.72,318601.11,383684.09,64694.53,154499.04,222787.25,313609.18,86575.49,189662.53,271077.7,353959.88,98881.74,191451.78,281429.8,381365.16,83544.37,221075.53,338585.65
支付的其他与经营活动有关的现金,1787.92,5898.74,7400.16,4369.86,8401.83,10161.78,7747.85,3586.45,7356.29,14007.1,24083.3,4575.82,10386.38,17248.4,31770.44,4786.54,11799.53,20351.72,59614.11,5445.55,16648.43,37911.85,73515.95,16549.1,28025.97,38970.07,55723.4,8485.32,18521.69,26071.32,29899.81,2756.5,17345.71,43394.86,98499.18,15537.15,21061.14,42265.91,73317.25,4357.06,39735.74,49900.94,78376.3,4920.17,33466.05,43144.77
经营活动现金流出小计,20143.48,73792.03,77234.39,33324.67,229841.6,183286.54,265621.14,63823.27,129303.99,238138.17,410948.49,92056.83,206077.55,339650.44,491564.47,69346.18,156823.06,267416.3,456586.12,85593.82,208802.52,354169.39,486973.35,127025.33,319185.06,498833.27,559445.53,131275.05,347815.89,540470.68,547305.04,87824.1,216212.87,335684.11,536697.46,119751.96,248651.78,378810.4,551170.18,122905.37,274773.13,402801.01,598088.28,113937.25,311877.8,472944.53
经营活动产生的现金流量净额,-10533.79,-14503.09,37945.81,441.13,73132.31,100856.86,178452.88,44856.39,136105.32,357785.0,511995.48,76764.8,190643.37,436637.96,542938.36,106253.44,229151.63,489162.86,681799.12,190777.57,464732.8,720860.45,1034761.1,351159.47,719772.9,993079.1,1325741.24,259949.53,661570.84,1031330.94,1162188.73,214346.78,403561.24,599636.87,844072.72,152484.2,358613.68,606798.77,857441.89,241020.89,448324.86,813990.05,1092211.78,295572.55,696102.39,1194344.28
