报表日期,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-06-30,2015-12-31,2016-06-30,2016-12-31,2017-06-30,2017-12-31,2018-03-31,2018-06-30,2018-12-31,2019-03-31,2019-06-30,2019-12-31,2020-03-31
一、营业总收入,24853.03,30863.58,26639.72,36685.66,17963.57,37349.15,19990.11,42942.3,24074.2,50259.87,12228.33,25793.48,53123.86,12464.8,25642.02,55101.7,11404.09
营业收入,24853.03,30863.58,26639.72,36685.66,17963.57,37349.15,19990.11,42942.3,24074.2,50259.87,12228.33,25793.48,53123.86,12464.8,25642.02,55101.7,11404.09
二、营业总成本,23852.04,29448.08,25168.42,34672.3,16605.0,34195.16,17774.75,37920.72,20331.95,42841.29,10630.19,22077.99,45019.96,10927.73,21958.83,46925.46,10415.81
营业成本,17970.28,22553.8,19049.21,26326.76,12487.46,25164.94,12649.83,27303.84,14443.85,30934.92,7891.87,16537.22,33267.86,8101.64,16359.7,34958.62,7622.05
营业税金及附加,107.12,179.43,153.88,219.69,152.06,307.7,146.14,533.19,305.85,564.11,100.41,262.81,579.97,156.05,265.83,546.54,100.27
销售费用,1443.98,1725.98,1826.26,2339.26,1203.23,2674.64,1508.25,3173.54,1677.93,3501.08,778.86,1734.65,3741.18,635.35,1684.79,3561.13,671.29
管理费用,3048.58,3568.98,2924.22,4089.13,2191.12,4967.83,2986.28,5975.16,3343.61,6730.25,1482.76,2004.32,4524.07,1258.41,2145.03,4581.82,1180.63
财务费用,1181.35,1291.77,1111.76,1504.11,559.58,778.79,368.49,634.37,554.4,1127.93,417.59,467.03,679.9,176.4,239.28,570.62,190.25
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.26,2194.7,599.88,1221.6,2706.73,651.31
资产减值损失,100.74,128.12,103.08,193.36,11.55,301.26,115.76,300.63,6.31,-17.0,-41.29,56.7,32.27,0.0,20.66,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,149.7,149.7,233.53,233.53,0.0,238.02,0.0,238.02,0.0,91.32,0.0,0.0,37.42,0.0,0.0,92.21,0.0
其中:对联营企业和合营企业的投资收益,149.7,149.7,233.53,233.53,0.0,238.02,0.0,238.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,1150.69,1565.2,1704.83,2246.89,1358.57,3392.01,2215.36,5259.59,3919.57,8125.52,1757.23,4032.15,9534.19,1696.14,3942.61,9651.73,1377.41
加:营业外收入,375.82,332.04,361.08,482.78,695.35,448.72,291.97,874.81,0.0,0.0,0.0,0.0,0.0,246.46,246.58,246.71,0.27
减：营业外支出,37.44,170.75,38.05,58.98,3.57,185.84,34.79,286.49,23.69,17.46,3.71,23.49,33.37,5.0,8.93,55.71,15.39
其中：非流动资产处置损失,0.0,0.0,0.0,40.08,0.0,82.51,0.0,224.7,10.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,1489.07,1726.49,2027.86,2670.7,2050.36,3654.88,2472.54,5847.91,3895.88,8108.06,1753.52,4008.66,9500.82,1937.6,4180.26,9842.73,1362.29
减：所得税费用,234.85,223.8,241.18,345.28,263.49,581.24,406.43,855.84,718.96,1350.44,227.63,625.44,1416.16,332.03,561.97,1380.04,207.78
五、净利润,1254.23,1502.69,1786.68,2325.41,1786.86,3073.65,2066.11,4992.08,3176.91,6757.62,1525.89,3383.21,8084.65,1605.57,3618.29,8462.69,1154.5
归属于母公司所有者的净利润,1254.23,1502.69,1786.68,2325.41,1786.86,3073.65,2066.11,4992.08,3176.91,6757.62,1525.89,3383.21,8084.65,1605.57,3618.29,8462.69,1154.5
少数股东损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
基本每股收益(元/股),0.24,0.28,0.34,0.44,0.34,0.58,0.39,0.94,0.6,1.28,0.29,0.64,1.53,0.3,0.68,1.6,0.22
稀释每股收益(元/股),0.24,0.28,0.34,0.44,0.34,0.58,0.39,0.94,0.6,1.28,0.29,0.64,1.53,0.3,0.68,1.6,0.22
七、其他综合收益,4.16,3.75,-21.29,-35.05,-39.03,-17.61,0.0,13.04,-50.58,-84.07,-108.37,-35.82,32.91,-232.32,-337.43,-497.67,-72.89
八、综合收益总额,1258.38,1506.44,1765.38,2290.36,1747.83,3056.04,2066.11,5005.12,3126.33,6673.55,1417.51,3347.4,8117.57,1373.25,3280.86,7965.03,1081.61
归属于母公司所有者的综合收益总额,1258.38,1506.44,1765.38,2290.36,1747.83,3056.04,2066.11,5005.12,3126.33,6673.55,1417.51,3347.4,8117.57,1373.25,3280.86,7965.03,1081.61
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
