报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,315042.53,369827.77,528632.62,629195.75,809981.17,826220.01,694463.49,595108.72,723310.82,1174709.99,1237169.57,870031.76,748051.55,681421.35,602909.06,638269.1,782757.86,976480.08,1324941.49,1061186.21,1236366.79,918619.34,757575.57,978242.41,835906.13,830939.31,758861.13,510671.81,505724.22,706734.96,913168.52,465455.15,500644.56,797894.08,599580.39,514271.15,546420.46,382927.29,442003.47,531210.1,484306.9,483296.67,402589.39,497835.21,465160.08,753818.18,718113.82,976284.47,682643.97,904590.82,568946.73,951731.37,819624.19,1060278.61,615522.47
交易性金融资产,0.0,0.0,0.0,146.28,123.18,107.35,96.83,81.33,87.1,108.48,94.51,103.74,94.94,94.94,76.35,82.66,83.09,75.38,63.54,60.8,60.83,58.34,56.71,58.71,58.38,48.96,43.13,50.93,48.54,48.96,53.68,107.35,124.75,0.0,0.0,100527.11,101612.09,52471.85,48829.4,55532.23,101708.12,82718.69,140946.23,154613.94,176573.23,192820.7,199926.57,208441.41,205564.75,201317.43,123754.39,212611.22,214689.91,205897.74,205193.95
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947268.74,1008829.48,0.0,0.0,943005.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413461.56,0.0,446838.82,0.0,561550.58,0.0,934161.43,869868.38,791710.82,793460.78,609188.28,1020890.82,123784.42,133697.25,109293.01,148998.01,113868.26,124623.73
应收票据,157955.8,484356.19,517565.93,419429.75,358852.89,438783.42,269886.09,126725.47,196933.23,307877.8,394894.26,442118.97,497855.95,683474.29,678045.41,837460.26,735927.84,870099.47,800765.38,903471.13,789925.7,848796.01,1017147.9,806076.03,864715.56,899203.75,1176688.66,862910.89,879537.58,867611.48,768252.68,848360.71,802628.86,593942.9,636505.29,468912.93,407152.01,325415.06,415859.31,360845.91,512137.54,468730.58,660795.88,837516.67,780300.75,0.0,685309.4,497011.38,877490.17,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,88833.11,83325.28,79397.57,101537.62,82026.86,86361.0,108979.7,62672.71,78849.53,94017.56,77142.87,82293.01,82628.2,77199.53,69229.29,109777.92,125430.54,117325.35,126328.13,188340.42,195968.75,207303.66,190347.9,141192.71,144113.91,144814.19,145568.27,80094.65,77352.8,67716.3,77867.05,85655.99,82069.35,82365.19,101394.21,79698.67,71297.73,88046.5,69057.2,85992.91,100526.83,92820.0,94980.8,96644.76,89567.63,0.0,108151.38,112176.9,143400.65,123784.42,133697.25,109293.01,148998.01,113868.26,124623.73
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999637.38,1018640.39,1109869.94,951284.33,724828.64,724679.6
预付款项,82076.36,92468.45,115078.83,167205.7,176231.19,160152.69,110483.46,110726.12,112843.22,86050.28,65515.02,82333.86,125566.54,123091.6,119684.73,137714.36,285833.57,401719.93,400879.59,365199.95,448948.94,503002.25,370794.75,203772.19,165052.52,139569.94,175125.4,102239.49,87623.55,70637.42,71965.28,64896.31,58900.44,68837.29,57542.42,63440.74,46945.74,57870.84,60573.59,92505.13,56210.17,59258.95,67139.45,75081.88,45678.05,61840.24,101489.92,71234.05,105053.06,64946.61,103392.12,98144.36,114098.34,70863.9,108770.26
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52065.48,74700.85,0.0,0.0,199647.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26157.58,0.0,13165.98,0.0,32607.36,0.0,28522.81,34124.3,34041.28,33727.02,14796.55,17307.43,25210.19,20816.8,15629.19,17415.4,22221.09,17705.91
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.61,152.28,140.09,312.9,354.05,1122.54,1134.63,308.76,189.9,295.73,105.64,295.73,160.02,167.37,112.85,112.85,404.49,275.0,283.96,275.46,639.08,280.13,0.0,790.44,50.79,44.25,39.9,29.46,25.8,24.69,12.2,0.0
