报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业收入,161733.64,475325.97,833488.42,1126485.07,191298.57,404443.12,558033.0,700651.89,177706.65,413248.48,667883.14,993971.62,223671.56,438241.28,680376.97,976769.17,266887.1,524651.23,694952.58,929273.0,242615.74,506364.99,689396.17,914069.4,292559.91,566014.64,829871.35,1045495.4,303628.27,671405.85,1118809.7,1797847.44,796533.6,2204932.48,2683873.6,3808626.77,523363.27,1207951.68,1979108.7,2801166.53,644283.57,1281395.61,1925544.52,2822166.72,570468.09,1094226.32,1617715.83,2376501.46,995372.87,1773478.01,2514742.15,3442864.12,698630.52,1778765.54,2825362.69
手续费及佣金净收入,105991.09,341747.84,531565.35,689952.08,160171.85,297065.27,382907.64,490808.37,135051.89,313319.35,536595.76,775518.89,169772.99,343935.52,496932.93,720823.68,163406.09,314606.18,449654.35,552253.94,118878.62,236800.69,340950.91,438484.66,124740.91,265394.2,406034.89,590248.41,157972.19,285958.64,458770.85,822065.04,276209.69,919041.28,1338126.6,1797045.55,260788.46,514389.93,751899.81,1096500.89,224603.72,458449.53,699094.59,955619.87,194876.94,418285.54,585755.93,851436.51,203226.93,486258.75,710335.56,992935.56,274158.71,572065.76,1049103.27
代理买卖证券业务净收入,86206.42,291909.65,463779.21,561223.95,133478.45,239732.26,301961.76,402253.16,119518.57,277443.04,471186.92,627417.52,120670.3,227334.71,334858.8,486381.77,103090.79,183911.92,254700.46,304143.16,61572.76,123659.05,177128.34,227405.09,75729.09,145900.34,237768.07,392538.85,83944.36,170267.02,285059.59,514722.64,215014.08,682018.05,984243.09,1258649.45,139302.93,291046.33,407567.28,531440.98,92438.92,192698.67,292279.43,394127.53,89900.11,165703.85,238988.24,300576.61,95950.49,189554.11,268649.26,357101.08,126903.24,223460.23,382218.13
证券承销业务净收入,4768.56,15511.31,19927.85,36863.25,2255.63,10895.23,17522.3,16835.54,735.56,2568.54,9848.01,38155.4,17300.16,49826.02,60477.88,91974.21,26605.75,53629.98,73876.8,83907.07,22367.03,37505.57,57141.49,65749.27,15697.53,33431.25,42596.91,88719.53,52029.73,74358.66,106532.88,161744.55,32564.0,96282.15,165396.26,231618.16,87308.59,143735.77,225294.5,335601.96,83257.69,163039.95,252827.43,332989.25,57601.74,152494.21,189867.0,321748.1,58470.21,164681.5,256673.49,345686.08,72984.14,170092.02,386925.13
受托客户资产管理业务净收入,10340.76,22207.1,40931.84,70080.9,18878.27,32776.59,44637.17,53565.42,10588.28,25185.01,40766.08,74355.62,14552.84,31216.86,48605.67,71351.69,16360.64,43685.94,71533.26,98501.99,20168.97,46111.1,65327.25,86176.7,16852.47,36597.84,55140.02,7109.6,6492.89,9169.6,16233.94,45018.52,6729.94,77759.63,92405.93,135069.17,11325.62,24037.78,35022.01,58972.65,14310.9,91248.22,137998.36,209788.88,44738.19,86824.2,140396.59,192474.5,40619.12,114381.75,161999.79,239489.22,66075.62,163966.4,238544.91
利息净收入,3577.22,14795.39,28644.69,49000.85,24187.91,47289.37,70826.36,100264.55,26958.02,53434.29,81374.27,112400.05,29146.03,60666.8,95282.06,136551.74,44489.92,102145.7,153142.45,209337.51,54111.03,108973.92,149340.1,212147.32,48678.17,99499.18,169801.93,208427.83,73468.07,150622.64,257691.65,335978.22,132700.48,321106.17,432541.47,475559.4,87457.22,202068.35,315877.96,383961.04,102886.37,174262.47,252092.19,366592.55,121910.94,241976.12,346902.31,482027.42,91490.56,225305.62,336397.33,414784.96,115997.49,220891.04,354275.11
其中:利息收入,3577.22,29372.61,0.0,85242.8,0.0,69259.1,0.0,137061.6,0.0,63855.39,0.0,136908.08,0.0,74688.82,0.0,164700.68,0.0,120548.28,0.0,255317.08,0.0,143774.18,0.0,282587.69,0.0,155460.23,0.0,356864.9,0.0,316380.3,0.0,769997.1,0.0,901284.5,0.0,1832203.72,0.0,852575.16,0.0,1618054.76,0.0,747535.64,0.0,1512431.73,0.0,886288.09,1848408.47,1794676.73,409089.0,901442.26,1380943.69,1818315.53,457074.33,898940.05,1337882.13
利息支出,0.0,14577.22,0.0,36241.96,0.0,21969.73,0.0,36797.05,0.0,10421.1,0.0,24508.02,0.0,14022.03,0.0,28148.94,0.0,18402.58,0.0,45979.56,0.0,34800.27,0.0,70440.37,0.0,55961.05,0.0,148437.06,0.0,165757.67,0.0,434018.87,0.0,580178.34,0.0,1356644.32,0.0,650506.81,0.0,1234093.72,0.0,573273.16,0.0,1145839.18,0.0,644311.97,1501506.16,1312649.31,317598.44,676136.64,1044546.35,1403530.57,341076.85,678049.01,983607.03
投资收益,17731.98,75140.77,175524.36,250122.54,58036.84,164987.19,189406.49,186106.04,20382.21,63252.29,91710.77,131291.01,21111.17,58475.95,71219.89,105644.24,39245.02,132048.77,154147.14,205370.73,28177.54,88924.09,159905.52,204246.41,89134.13,154936.23,240895.14,331191.62,91873.02,161122.86,216552.68,273696.95,256297.26,487168.72,946847.0,1346210.2,107002.46,256057.8,341601.13,653969.2,245234.73,487302.76,709477.7,1136551.91,134061.64,234422.99,370811.2,553516.63,247975.64,469629.08,663789.26,923089.52,282078.07,444887.76,748386.02
其中:对联营企业和合营企业的投资收益,2593.76,3601.76,6071.89,7945.71,2377.35,7736.49,9457.24,9751.67,1419.11,3199.24,4878.61,6596.19,2035.72,3962.75,5807.1,7812.01,1823.52,3404.78,5067.14,7291.25,1318.07,3079.31,4745.18,6586.67,1518.65,3090.14,6190.46,11693.97,3237.43,3689.28,6960.03,16733.39,6541.36,16883.1,37836.17,48144.47,-398.1,13215.05,19012.24,20043.49,18019.16,26005.51,51466.13,70848.66,5929.07,-3630.65,7339.06,3270.89,4102.5,15142.62,20437.04,14964.45,11169.69,26423.26,38004.01
