报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
一、营业总收入,7435.86,19987.71,29815.31,34112.31,8410.07,18813.29,29417.9,32708.13,4111.67,9065.14,14136.28,17661.25,4562.38,10577.21,15553.36,20303.86,4407.67,9415.3,13595.99,18089.97,4937.1,8993.88,14380.07,20825.05,5555.86,115924.43,172473.61,241657.14,56754.01,124782.01,218266.58,332001.01,72329.31,165329.89,262627.28,380998.26,128148.56,223678.61,359470.11,615773.68,149621.46,307324.77,482137.41,654062.63,141344.75,293643.0,432247.05,604470.03,140525.92,284611.79
营业收入,7435.86,19987.71,29815.31,34112.31,8410.07,18813.29,29417.9,32708.13,4111.67,9065.14,14136.28,17661.25,4562.38,10577.21,15553.36,20303.86,4407.67,9415.3,13595.99,18089.97,4937.1,8993.88,14380.07,20825.05,5555.86,115924.43,172473.61,241657.14,56754.01,124782.01,218266.58,332001.01,72329.31,165329.89,262627.28,380998.26,128148.56,223678.61,359470.11,615773.68,149621.46,307324.77,482137.41,654062.63,141344.75,293643.0,432247.05,604470.03,140525.92,284611.79
二、营业总成本,7352.96,19743.09,29632.35,36836.17,9242.35,20907.44,32137.38,37247.24,5222.43,11171.06,18346.11,26154.31,5558.87,12369.98,18242.11,27252.46,5356.38,11322.4,16553.37,22417.46,5609.17,10028.89,15325.8,22124.04,5545.61,104255.81,151834.96,208265.08,49628.81,110553.35,189393.48,290870.21,62362.93,141984.38,223611.59,317488.66,114692.12,189681.26,297154.07,513953.05,111367.0,244021.2,374716.13,531690.87,110325.36,242850.99,351666.96,530356.75,118244.47,247402.72
营业成本,6728.67,18223.99,27248.32,32134.39,8428.69,18654.12,28993.63,32229.33,4321.7,9664.49,14739.68,17666.22,4683.79,10847.79,15776.95,20383.26,4493.03,9837.41,13766.11,17961.82,4695.58,8488.87,13421.54,19455.16,4971.66,91231.38,134944.48,180584.66,42438.5,93494.64,165702.04,252836.7,54186.18,116387.82,191463.17,264295.45,103463.28,159027.18,247029.82,426403.04,94789.49,196003.8,301764.62,419648.7,91920.06,191512.77,273797.93,408637.86,98444.92,199273.75
营业税金及附加,8.91,26.77,60.86,77.02,13.84,45.46,68.55,113.32,28.49,47.95,64.75,103.72,12.78,25.5,32.28,70.52,14.96,26.99,33.34,78.35,9.48,13.37,26.43,57.22,2.24,559.75,760.06,1214.95,254.83,595.22,1008.94,1841.75,349.05,1167.25,1422.65,2821.31,495.15,1396.57,2098.98,4875.25,761.75,2962.21,3773.76,7315.99,1155.21,4194.0,5474.04,8402.57,1358.96,3528.09
销售费用,187.03,532.65,881.71,1903.27,145.68,639.18,1068.67,1587.35,248.79,452.31,687.86,822.99,186.29,438.95,691.81,1016.74,206.94,451.27,634.45,792.04,171.53,425.34,570.88,748.78,161.17,2622.51,2934.84,5961.13,976.64,3537.67,4851.32,7553.56,2230.8,5746.61,7507.55,11718.39,3113.71,7098.8,11372.34,23820.69,4420.2,14055.73,22065.14,38000.95,4614.02,14947.55,22890.02,33280.66,4669.2,14193.54
管理费用,238.06,487.05,724.43,1599.59,263.71,511.75,820.3,1316.63,358.26,483.63,1537.23,2169.81,348.55,527.56,980.66,1544.73,394.26,465.17,1343.28,2011.17,658.43,722.33,835.14,939.72,225.55,4378.54,6166.69,9059.29,2741.49,5289.89,7819.49,12717.32,2524.27,8410.07,9128.74,17603.5,3657.4,11476.96,17538.47,26580.84,4248.52,12560.22,20031.0,28416.99,4513.92,12336.51,18019.61,22256.18,4444.19,10353.06
财务费用,190.29,403.76,633.97,990.98,300.07,668.99,920.14,1186.29,230.1,468.45,711.95,1021.32,241.66,485.78,730.66,1582.95,240.95,498.59,758.31,1556.41,112.52,421.48,530.69,934.69,183.56,4476.59,5733.0,10576.87,2507.41,5818.72,8132.18,14366.04,2868.48,7940.94,11755.39,18024.49,3873.65,8522.63,15657.63,28329.14,6747.03,15893.17,24452.75,32829.72,7715.16,16130.06,26944.59,35615.81,8913.16,18214.61
资产减值损失,0.0,68.87,83.08,130.92,90.36,387.93,266.1,814.31,35.08,54.24,604.65,4370.25,85.81,44.4,29.76,2654.27,6.24,42.96,17.88,17.68,-38.38,-42.51,-58.88,-11.53,1.44,987.04,1295.9,868.19,709.94,1817.2,1879.51,1554.85,204.15,2331.68,2334.09,3025.51,88.94,2159.11,3456.83,3944.08,400.02,2546.07,2628.84,5478.51,406.99,3730.11,4153.38,11017.73,414.04,0.0
公允价值变动收益,0.0,0.0,0.0,11.29,-11.39,-14.26,-16.02,-18.26,1.75,3.99,3.02,4.07,-0.32,-2.57,-2.58,-1.63,0.26,-0.55,-1.74,-1.93,0.14,-0.01,-0.49,-0.02,-0.6,-1.58,-0.95,-1.05,-0.46,-0.3,0.41,3.92,0.76,1.87,-0.79,-0.73,-0.83,-1.97,-1.8,-1.49,-0.06,0.29,0.83,1.17,-1.12,-1.52,-0.46,-2.19,1.07,0.82
