报表日期,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,9828.97,20359.76,50949.84,40581.89,51967.87,81035.47,83935.98,122436.42,117090.44,152950.5,140299.88,206092.89,201838.8,178661.12,198926.2,292933.19,320416.5,415269.45
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,1962.38,1017.81,7005.4,3280.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42394.18,33990.73,56565.56,82730.77,30839.89,51741.8
应收票据,1422.72,5829.45,12540.69,9405.94,9873.9,29454.51,19757.3,29239.87,19671.24,14221.4,18858.17,50715.46,38138.92,27687.91,41970.41,67887.87,20400.68,38439.61
应收账款,808.71,1017.65,952.09,166.0,173.42,239.62,665.45,2128.41,5223.17,7060.03,5846.02,5507.89,4255.26,6302.81,14595.14,14842.89,10439.22,13302.19
预付款项,197.0,677.77,1173.02,3231.58,1429.81,1708.65,3209.4,3753.46,1668.4,5692.54,7024.99,2324.45,2090.01,7505.28,12654.88,15580.03,1858.04,2606.08
应收利息,0.0,0.0,45.26,45.14,23.89,28.77,2.25,1.04,4.05,4.58,4.88,3.59,338.9,1.39,0.98,0.0,317.48,43.17
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0
其他应收款,222.24,1984.01,485.75,731.37,1834.96,873.45,1432.48,2250.86,1358.85,4653.62,3688.4,3205.63,2358.97,2015.31,4269.21,3612.38,1866.7,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,8644.84,18516.71,24027.4,33882.75,34592.24,41610.82,58702.29,79227.45,74430.55,90208.1,128166.88,138054.9,109310.82,135110.59,187238.5,227142.74,155560.19,137768.73
