报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,92447.27,204306.2,442269.62,289396.02,555418.66,225490.66,323206.79,466983.2,700116.7,286767.23,451140.79,671464.33,1017301.71,341241.59,525201.45
营业收入,92447.27,204306.2,442269.62,289396.02,555418.66,225490.66,323206.79,466983.2,700116.7,286767.23,451140.79,671464.33,1017301.71,341241.59,525201.45
二、营业总成本,95375.94,203605.55,413459.87,257362.88,517870.96,194614.96,294753.67,436430.28,666257.04,253386.42,415923.01,633291.12,990554.24,316805.29,505153.43
营业成本,70120.95,149343.49,308725.38,199978.01,394791.89,153502.08,224663.51,330609.78,502340.65,191682.53,311934.24,475716.44,734522.84,248582.63,390038.19
营业税金及附加,238.38,576.11,1488.74,2205.65,3100.83,1786.54,2337.16,2948.24,3215.0,2280.93,2982.09,3518.95,5121.22,1033.69,2000.77
销售费用,23435.71,49745.64,91777.33,49593.96,107537.51,36174.83,62801.68,94293.82,146071.28,55139.74,92644.02,140607.75,229782.39,60914.96,99952.77
管理费用,1661.62,3884.19,9976.77,5617.21,10165.64,2466.56,4547.55,6691.04,11346.67,3377.34,7096.68,11467.27,17493.92,4405.68,11632.11
财务费用,-105.71,-20.88,117.86,-383.35,-68.31,-58.8,-552.07,-419.51,-910.05,-300.38,-880.37,-1198.34,-1388.57,76.56,-860.39
研发费用,0.0,0.0,1184.34,0.0,1676.67,592.93,955.84,2306.91,3411.8,1129.94,2146.34,3179.05,5022.45,1791.76,2389.98
资产减值损失,24.99,76.99,189.45,351.41,666.74,150.8,0.0,0.0,781.68,76.33,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,148.46,75.06,187.39,-1.03,579.86,57.51,-30.16,396.32,568.94,102.97,225.2,541.83,1044.91,92.57,654.92
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,-1.03,-10.14,-8.32,-30.16,-25.83,-1.27,7.56,51.21,88.17,48.39,3.31,6.21
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,-2780.21,775.72,31610.28,32276.59,40726.17,31048.05,28422.77,35443.61,39784.56,33603.38,35356.85,39039.95,29973.34,25013.44,24879.47
加:营业外收入,1383.82,780.41,380.37,169.13,304.31,107.97,197.67,381.75,534.61,151.64,275.1,458.0,905.68,371.44,640.19
减：营业外支出,21.01,9.34,406.24,324.5,397.64,-0.16,86.35,109.28,136.39,26.04,48.56,56.78,157.03,165.23,520.55
其中：非流动资产处置损失,0.0,1.22,0.0,38.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,-1417.4,1546.79,31584.42,32121.22,40632.84,31156.18,28534.08,35716.08,40182.78,33728.98,35583.39,39441.17,30721.99,25219.65,24999.11
减：所得税费用,-130.91,649.4,7934.39,8069.47,10431.12,7847.23,7707.88,8934.28,9796.8,8799.68,8937.53,9874.3,6847.32,6418.84,6217.26
五、净利润,-1286.49,897.39,23650.03,24051.74,30201.72,23308.95,20826.2,26781.8,30385.98,24929.3,26645.86,29566.87,23874.67,18800.81,18781.85
归属于母公司所有者的净利润,-1286.49,897.39,23650.03,24051.74,30201.72,23308.95,20826.2,26781.8,30385.98,24929.3,26645.86,29566.87,23874.67,18800.81,18781.85
少数股东损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
基本每股收益(元/股),0.0,0.0301,0.6701,0.6681,0.8389,0.6475,0.5785,0.7439,0.8441,0.6925,0.7402,0.8009999999999999,0.63,0.47,0.4684
稀释每股收益(元/股),0.0,0.0301,0.6701,0.6681,0.8389,0.6475,0.5785,0.7439,0.8441,0.6925,0.7402,0.8009999999999999,0.63,0.47,0.4684
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
八、综合收益总额,-1286.49,897.39,23650.03,24051.74,30201.72,23308.95,20826.2,26781.8,30385.98,24929.3,26645.86,29566.87,23874.67,18800.81,18781.85
归属于母公司所有者的综合收益总额,-1286.49,897.39,23650.03,24051.74,30201.72,23308.95,20826.2,26781.8,30385.98,24929.3,26645.86,29566.87,23874.67,18800.81,18781.85
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
