报表日期,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
货币资金,229996.12,165366.76,228041.78,632607.1,472460.54,396457.09,357770.62,273364.06,340751.77,270029.93,282972.73,386442.4,333197.99,299173.66,387125.67,312705.9,319859.61,313177.15,474525.67,427743.6,428558.02,406243.57,335830.15,321891.54,304318.09,356051.08,308176.74,350037.53,261145.79,266985.66,291009.92,261296.48,477905.95,374137.14,350613.08,378904.32,255103.49,300815.76,258857.9,266573.05,276632.73
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1388782.76,1380182.04,1463752.43,1336042.48,1416787.96,1479791.27,1529100.44
应收票据,71345.39,26946.27,63377.32,71394.38,88351.07,100831.98,100562.33,107953.88,106850.83,86350.61,124384.94,71385.73,69025.57,75117.81,103177.0,108835.4,66092.57,89886.37,110358.23,60502.0,36467.16,42305.92,132332.39,126841.91,74235.74,63936.97,124010.93,136124.92,139706.32,165110.5,255331.3,288785.54,250178.71,266861.12,446901.27,379356.11,483134.25,322229.31,517753.36,508949.05,606273.31
应收账款,469552.27,590202.34,570963.41,603564.36,585501.55,632335.14,761484.15,750743.33,772312.79,813829.95,947830.41,998306.3,1064545.09,1125352.6,1132945.27,1147345.21,1134504.39,1171067.58,954024.97,958355.7,1007114.84,1121864.42,1155228.01,1170315.96,1209449.33,1233315.1,1301941.79,1323764.79,1292784.13,1263443.5,1006221.32,1056389.7,1038056.63,1098974.42,941881.49,1000825.92,980618.18,1013813.17,899034.59,970842.22,922827.13
预付款项,161786.29,167616.41,133147.01,137727.45,150841.0,180662.99,141093.68,183902.09,175208.07,180983.23,133390.93,161398.77,147955.83,129015.6,126042.21,141242.51,143845.6,134405.77,187583.46,235861.28,231111.46,216474.09,183356.82,181306.1,172398.2,156228.68,127061.51,123525.7,75648.49,80060.9,63592.22,70404.73,92769.71,92898.42,103157.73,132299.06,131671.33,185941.74,139364.9,187919.51,196899.15
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.61,55.61,0.0,0.0,0.0
其他应收款,7667.0,7498.35,11293.0,11206.0,14261.95,5870.17,8289.59,8891.72,10547.37,8074.79,13633.14,11184.56,12806.47,12490.42,10332.32,10335.29,8687.47,8410.77,8811.29,8876.6,11363.45,8724.17,16445.44,17179.69,17708.53,16632.2,14639.72,16885.18,16032.43,15932.17,15399.75,20193.42,22042.38,24766.3,21214.33,21733.43,31333.59,0.0,50246.19,0.0,46803.6
