报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
一、营业总收入,230950.07,452023.12,710179.92,994854.94,295047.96,729299.82,1247247.32,1666990.43,390887.48,864826.73,1332729.52,1826108.67,378227.79,858854.99,1444496.62,2142767.67,451900.29,1097170.89,1659188.1,2242627.99,480651.04,1017960.83,1487965.43,2006529.91,446755.43,947403.05,1398038.95,1919996.63,314211.33,784016.64,1190569.39,1603031.76,273891.63,608541.18,877846.06,1115539.72,246506.77,507585.26,799546.73,1422936.83,450272.89,1012581.52,1695646.72,2354355.6,514340.46,1086157.83,1731987.61,2513957.55,561954.04,1126383.0,1740975.88,2679115.9,556010.31,1178227.76,1806576.6,2597243.73,775657.8
营业收入,230950.07,452023.12,710179.92,994854.94,295047.96,729299.82,1247247.32,1666990.43,390887.48,864826.73,1332729.52,1826108.67,378227.79,858854.99,1444496.62,2142767.67,451900.29,1097170.89,1659188.1,2242627.99,480651.04,1017960.83,1487965.43,2006529.91,446755.43,947403.05,1398038.95,1919996.63,314211.33,784016.64,1190569.39,1603031.76,273891.63,608541.18,877846.06,1115539.72,246506.77,507585.26,799546.73,1422936.83,450272.89,1012581.52,1695646.72,2354355.6,514340.46,1086157.83,1731987.61,2513957.55,561954.04,1126383.0,1740975.88,2679115.9,556010.31,1178227.76,1806576.6,2597243.73,775657.8
二、营业总成本,195441.96,382538.5,604524.04,853731.39,250230.89,613162.0,1010659.83,1265446.13,295402.59,700045.11,1083413.01,1532494.45,281293.2,652083.79,1126462.04,1730434.59,331779.71,843223.51,1294084.5,1803844.01,367141.96,795079.35,1215282.92,1709676.46,378986.84,840154.27,1263957.79,1731534.96,288950.33,736546.86,1127964.0,1494300.44,270360.69,605278.77,873402.89,1111240.53,248597.82,509223.01,798566.52,1307954.65,385224.81,867553.89,1452236.52,2005225.32,430695.01,921967.93,1467551.17,2226766.9,447514.18,913902.19,1448959.9,2326161.5,471767.89,1034497.61,1635838.98,2344095.78,572952.21
营业成本,167559.59,312434.44,493938.64,701504.34,211219.74,504337.9,830221.47,981084.43,241949.14,597668.63,903345.94,1229141.1,218143.23,507318.8,883214.42,1278817.19,247037.06,626683.74,963065.67,1230778.66,271742.72,577496.29,876628.12,1182620.1,276706.66,612369.0,913136.08,1222799.25,216121.82,555551.75,846263.91,1102325.03,190179.79,435954.25,627573.97,744851.96,189063.45,378742.18,575650.04,895826.44,277285.54,651339.21,1094714.44,1393726.19,305073.47,643777.58,1038580.78,1504637.54,329471.98,669142.99,1059489.78,1641262.54,347036.6,773467.34,1209461.01,1723948.53,430169.04
营业税金及附加,1918.36,4609.33,7095.71,9155.7,2698.43,5904.48,9990.98,13056.8,3473.18,8970.27,14587.25,17976.09,4356.23,10639.85,16089.03,21613.96,4947.6,12899.94,19354.9,31492.85,6331.59,14622.37,21139.37,26706.57,5671.91,12588.73,18683.02,25174.51,4062.0,10772.9,16309.31,29465.75,20586.81,43216.7,61893.76,83982.2,16615.24,37973.45,61424.68,112553.13,32387.12,77554.19,128737.17,186980.94,39750.43,90636.69,141114.42,203860.22,44370.22,93480.05,143687.85,222692.74,45553.0,99480.67,149502.59,213241.28,59710.15
销售费用,9951.61,12252.51,21158.6,26040.79,11320.58,13449.07,28806.5,26675.76,19203.49,22511.16,24803.9,25033.74,13255.57,15375.0,21764.14,25830.67,10758.91,16822.85,22371.69,26974.28,8446.8,13637.01,19647.33,26396.82,8044.56,18042.45,25662.87,39210.2,3403.73,11857.19,17764.33,31537.28,2829.58,7463.08,10741.35,23368.4,3159.43,7453.18,17500.24,29160.0,3909.48,11604.08,29294.9,43586.53,8182.93,14299.01,23165.36,37258.83,3126.39,6387.67,10765.57,42718.89,3964.26,15528.39,33808.43,16208.25,1708.96
管理费用,16217.41,51738.77,81321.92,117098.13,23047.42,81479.11,130331.63,219801.84,28659.58,63933.56,130447.08,242817.85,34056.82,97187.37,178732.23,365965.38,59197.97,166545.76,261817.86,484037.22,75205.37,174973.05,278956.35,432933.19,81573.97,175344.22,275668.91,390900.32,55094.44,133109.21,209509.66,280553.37,44944.73,94098.9,137683.67,188826.4,28300.04,56130.7,102531.92,166848.79,53080.04,81103.31,133857.93,256097.67,51940.9,106687.52,120176.75,191038.77,42724.64,80122.01,122210.81,219554.96,47836.72,83335.24,145072.02,222342.84,52518.53
财务费用,-205.0,-732.82,-1227.1,-2262.24,1944.71,4951.45,8270.42,14589.67,2117.21,5407.97,8675.32,11310.53,11481.34,17266.48,22365.93,33369.45,9846.39,11780.61,19008.09,23371.22,5424.25,13661.4,18222.51,44901.22,6996.11,20465.48,29460.36,50718.33,10268.33,21831.99,34701.34,47338.34,11820.48,20183.41,31147.71,52256.93,11459.66,23003.73,35539.89,71227.34,18602.77,37752.09,57476.47,94083.86,25768.23,49114.15,74246.45,101467.5,22396.11,40651.69,65144.43,127344.86,26597.09,51851.2,78019.03,106394.57,22182.52
资产减值损失,0.0,2236.26,2236.26,2194.67,0.0,3039.99,3038.84,10237.63,0.0,1553.52,1553.52,6215.14,0.0,4296.3,4296.3,4837.94,-8.21,8490.61,8466.29,7189.78,-8.76,689.23,689.23,-3881.44,-6.38,1344.38,1346.56,2732.36,0.0,3423.82,3415.45,3080.68,-0.7,4362.44,4362.43,17954.65,0.0,5919.76,5919.76,32338.94,-40.14,8201.02,8155.61,30750.13,-20.94,17452.98,17361.79,111366.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.52,0.0,0.0,0.0,-0.47,0.0,0.0,0.0,-4.3,0.0,0.0,0.0,4.63,0.0,0.0,0.0,5.45,0.01,0.65,0.65,1.39,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.48,0.0,0.0,0.0,-1425.91,0.0
