报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
一、营业总收入,20065.38,24428.3,27660.77,32264.52,22978.62,30004.54,9014.25,57515.7,92040.17,130542.86,37649.89,72030.96,106515.34,144000.77,38001.13,77759.17,115990.33,165469.5,50574.51,107070.95,155513.9,217037.19,73979.44,140916.47,204959.09,274229.24,111772.31
营业收入,20065.38,24428.3,27660.77,32264.52,22978.62,30004.54,9014.25,57515.7,92040.17,130542.86,37649.89,72030.96,106515.34,144000.77,38001.13,77759.17,115990.33,165469.5,50574.51,107070.95,155513.9,217037.19,73979.44,140916.47,204959.09,274229.24,111772.31
二、营业总成本,16595.97,7258.11,10744.28,12155.25,7861.34,11099.97,2697.15,18774.91,29160.17,49779.15,14460.3,30387.72,47682.52,65114.74,16978.22,30206.35,44593.93,68524.59,21218.19,42877.0,63090.18,94477.04,27555.55,59137.18,103117.07,140103.27,65418.77
营业成本,258.93,653.97,638.08,1014.3,822.63,1069.46,372.74,2448.0,3419.55,5239.32,2853.01,6171.59,9517.32,13153.69,3544.56,6751.11,9900.42,12841.02,5012.64,9527.5,12980.02,20531.55,6403.16,14986.82,31043.13,38391.16,18782.78
营业税金及附加,27.15,61.82,166.7,280.69,157.73,207.51,63.17,360.18,535.41,951.18,294.92,560.61,822.56,1082.14,280.69,589.54,897.19,1206.29,355.68,733.57,1011.89,1398.0,449.98,862.09,1301.73,1815.95,629.88
销售费用,46.44,190.68,2558.21,2737.84,1535.92,2593.28,576.15,5911.88,9773.66,16239.11,4661.04,8809.62,13756.18,16062.95,2749.28,5250.87,8187.58,13371.6,5503.47,11084.94,17248.38,22509.57,5177.66,10806.39,20912.89,29921.33,26355.72
管理费用,16743.05,7168.16,7490.85,8345.28,5753.65,7849.47,2076.08,8769.92,15460.47,27689.38,7004.59,15266.29,23855.32,34683.1,9043.01,18227.04,8139.42,12267.27,3437.4,7275.46,10932.78,18522.27,6381.67,14091.59,19466.11,23499.21,6271.88
财务费用,-501.28,-832.69,-118.82,-221.24,-418.78,-636.42,-391.74,-671.99,-1463.92,-1971.36,-321.07,-1411.32,-1403.4,-834.69,1165.21,-743.74,-2529.29,-2401.38,240.73,-910.67,-2025.3,-1702.05,-1579.69,-1667.4,746.19,3418.17,-1317.25
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19677.29,28701.65,7021.1,15166.18,22942.41,33217.69,10722.77,20057.7,29647.03,43057.45,14695.76
资产减值损失,21.68,16.17,9.26,-1.62,10.19,16.67,0.74,1956.92,1434.99,1631.53,-32.2,990.94,1134.53,967.55,195.47,131.53,321.31,2538.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.48,761.8,508.44,1261.33,1861.52,3040.43,4072.17,6681.72,15.02
投资收益,0.0,0.47,0.0,-111.52,-194.61,-355.96,-172.99,-350.58,-335.95,-364.59,220.97,915.33,2116.08,3797.87,1661.48,3691.19,5396.82,6956.65,841.16,2486.18,2558.83,3115.3,1222.08,-780.45,9629.45,11461.74,7081.69
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,-33.4,-208.21,-443.6,-172.99,-350.58,-335.95,-364.59,248.36,751.83,1459.29,1973.95,451.23,573.42,615.23,625.02,482.26,971.12,-96.02,-294.18,348.19,-3505.33,4753.72,5048.36,5360.19
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,3469.42,17170.66,16916.5,19997.75,14922.66,18548.61,6144.11,38390.21,62544.05,80399.13,23410.56,42558.56,61519.82,85779.03,23011.86,52015.96,78504.79,106534.4,31675.3,69258.43,98104.85,123025.99,49752.14,85274.82,117393.31,156247.41,54270.71
加:营业外收入,1409.46,1032.32,922.51,1317.45,296.17,883.75,128.46,259.17,373.25,1137.85,115.24,235.43,577.06,257.52,1.21,6.4,2.71,7.51,0.0,1.02,1.02,2.03,0.0,2.56,2.63,3.57,1.21
减：营业外支出,41.33,220.82,42.9,57.45,46.21,47.02,3.08,6.79,8.4,11.26,2.27,9.26,14.98,23.0,1.5,3.8,18.72,18.9,1.02,1.02,2.05,3.78,424.99,430.47,450.43,460.96,90.85
其中：非流动资产处置损失,31.89,19.37,1.27,16.38,11.24,10.95,0.0,1.31,1.31,1.41,0.88,3.24,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,4837.54,17982.16,17796.1,21257.75,15172.62,19385.35,6269.48,38642.59,62908.91,81525.72,23523.53,42784.73,62081.9,86013.55,23011.56,52018.56,78488.78,106523.01,31674.28,69258.43,98103.82,123024.24,49327.15,84846.92,116945.51,155790.03,54181.07
减：所得税费用,1527.29,1942.27,2042.21,1904.52,1458.79,1979.88,894.92,4900.21,8506.23,11171.14,3436.43,6065.11,8338.27,12584.22,4223.6,9886.47,14621.94,14687.06,4583.13,9294.12,11908.97,16401.43,7393.29,12610.96,17310.61,22637.05,9843.87
五、净利润,3310.25,16039.89,15753.89,19353.24,13713.82,17405.47,5374.57,33742.38,54402.68,70354.57,20087.09,36719.62,53743.63,73429.32,18787.96,42132.09,63866.84,91835.95,27091.15,59964.31,86194.85,106622.8,41933.86,72235.96,99634.9,133152.98,44337.21
归属于母公司所有者的净利润,3310.25,16039.89,15753.89,19353.24,13750.04,17497.77,5496.36,29312.12,46154.4,58546.45,16397.85,29935.21,44345.93,60971.27,15369.62,33499.59,50689.02,72297.18,21344.29,46547.67,66993.66,80919.01,32219.59,55005.21,79468.71,104640.61,36523.81
少数股东损益,0.0,0.0,0.0,0.0,-36.21,-92.3,-121.8,4430.26,8248.28,11808.12,3689.24,6784.4,9397.7,12458.05,3418.35,8632.49,13177.81,19538.78,5746.86,13416.63,19201.19,25703.79,9714.27,17230.75,20166.19,28512.37,7813.4
基本每股收益(元/股),0.44,2.14,2.86,3.63,2.58,3.28,1.03,5.49,8.65,10.97,2.3,4.17,6.2,8.53,2.16,4.68,7.09,10.12,2.99,6.48,9.34,11.28,4.5,7.67,11.07,14.58,5.08
稀释每股收益(元/股),0.44,2.14,2.86,3.63,2.58,3.28,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,2.99,0.0,0.0,0.0,4.49,0.0,0.0,0.0,5.08
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,873.81,325.47,229.5,509.93,390.05,-105.78,7.44,247.98,117.99,285.58,265.73,-452.94,-1490.89,165.71
八、综合收益总额,3310.25,16039.89,15753.89,19353.24,13713.82,17405.47,5374.57,33742.38,54402.68,70354.57,20087.09,36719.62,53743.66,74303.13,19113.43,42361.59,64376.77,92226.01,26985.37,59971.75,86442.83,106740.79,42219.44,72501.69,99181.96,131662.08,44502.92
归属于母公司所有者的综合收益总额,3310.25,16039.89,15753.89,19353.24,13750.04,17497.77,5496.36,29312.12,46154.4,58546.45,16397.85,29935.21,44345.95,61820.85,15689.25,33716.7,51133.23,72582.12,21238.42,46556.07,67242.68,81041.96,32458.85,55230.15,79060.83,103366.17,36662.15
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,-36.21,-92.3,-121.8,4430.26,8248.28,11808.12,3689.24,6784.4,9397.71,12482.28,3424.18,8644.89,13243.54,19643.88,5746.95,13415.68,19200.14,25698.83,9760.59,17271.54,20121.14,28295.91,7840.76
