报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,10322.49,18473.98,30823.52,60256.46,14043.91,24059.0,31309.99,49395.22,7080.76,11844.44,23441.84,37906.37,9007.41,16807.76,25354.11,44841.85,8752.15,19395.2,31236.53,55409.0,10258.08,23351.97,38368.06,71649.12,20615.06,35150.68,47724.63,87607.88,19929.99,35574.31,64569.7,108542.34,23233.44,41591.37,66285.48,122992.66,16926.88,36077.4,64055.86,136840.63,29134.29,45135.55,70965.32,130215.25,20711.37,39150.81,63386.96,121252.84,24739.9,49386.95,76996.07,145559.03,24175.39,44023.7
营业收入,10322.49,18473.98,30823.52,60256.46,14043.91,24059.0,31309.99,49395.22,7080.76,11844.44,23441.84,37906.37,9007.41,16807.76,25354.11,44841.85,8752.15,19395.2,31236.53,55409.0,10258.08,23351.97,38368.06,71649.12,20615.06,35150.68,47724.63,87607.88,19929.99,35574.31,64569.7,108542.34,23233.44,41591.37,66285.48,122992.66,16926.88,36077.4,64055.86,136840.63,29134.29,45135.55,70965.32,130215.25,20711.37,39150.81,63386.96,121252.84,24739.9,49386.95,76996.07,145559.03,24175.39,44023.7
二、营业总成本,11191.73,19668.96,34061.36,62805.85,14451.85,24451.32,32261.34,56813.27,8124.74,13856.28,25449.71,41673.05,9592.65,17112.22,25945.93,45205.31,9171.04,18663.6,30863.1,55178.11,10456.5,24038.7,39145.74,71590.75,21330.24,37353.04,49796.46,87147.64,20492.4,37878.09,67035.67,112937.5,23822.17,44473.22,70395.77,122723.96,16688.48,37863.01,64288.49,133963.94,29145.59,48552.36,74860.62,128507.79,23234.15,49414.63,77853.14,127876.15,27031.9,57725.63,87851.6,150801.35,26450.86,54600.08
营业成本,8320.93,12922.83,23078.19,47694.95,10895.63,19324.16,24991.13,42172.8,5548.65,9211.06,18387.96,30230.74,6740.23,11936.36,18632.19,33870.88,6414.99,13499.22,22379.86,42270.15,6142.01,15455.57,26015.59,50219.33,14867.66,25844.31,33116.29,61353.7,13779.72,23999.82,45553.94,78238.75,14733.18,26047.67,42259.77,80179.6,7422.61,17158.18,33216.81,85964.69,16957.41,23049.35,35399.48,68947.33,8674.55,19108.9,30403.8,56890.33,10994.62,24268.57,39507.84,81842.69,11416.86,23499.31
营业税金及附加,51.0,150.97,298.1,551.15,184.04,184.36,333.59,504.99,87.72,118.41,224.14,492.47,197.21,300.02,379.87,709.51,159.45,394.39,623.84,995.41,206.36,492.2,713.64,1232.59,421.49,574.91,629.96,895.76,76.64,132.21,191.65,382.7,126.08,229.14,328.7,751.51,143.58,273.98,403.11,778.35,108.4,176.28,243.12,622.35,95.05,222.07,299.98,585.48,121.91,204.94,346.72,717.09,117.3,229.03
销售费用,418.46,2396.48,4099.37,4995.62,1264.93,1232.24,1638.11,2394.61,418.8,652.39,1117.54,1564.66,499.22,862.51,1302.2,1794.17,583.25,883.44,1260.39,1917.16,876.41,1411.84,1768.14,2917.15,664.13,1437.1,2338.43,3805.38,1390.77,3149.57,4853.76,7025.77,2411.49,4846.99,7042.48,9928.0,2866.7,5830.55,8437.92,12241.68,4359.34,7306.92,10087.75,12984.99,2924.57,5939.82,8061.71,11079.81,3059.87,6144.49,8064.82,11124.27,2772.8,6212.26
管理费用,2390.42,3919.92,6127.21,8627.26,2234.17,3485.54,5130.2,7933.02,1905.05,3658.83,5389.96,9046.43,2034.67,3924.44,5674.61,8958.61,2220.56,3920.22,6457.07,9577.07,3397.95,6403.38,9917.75,16234.08,5149.54,9428.81,13544.6,20748.78,4981.08,10152.57,15521.9,24836.9,5915.63,12612.63,19405.31,29892.97,6360.59,15092.1,22334.99,33499.37,7982.73,17907.39,28895.6,44692.55,11347.22,24216.22,17705.67,27537.02,5220.85,12739.1,19139.42,30175.38,6696.31,13238.4
财务费用,10.92,62.88,49.73,-69.77,55.45,32.09,69.66,45.4,-51.5,-324.03,-465.44,-526.4,-65.21,-119.72,-205.57,-341.76,-89.56,-179.51,-267.58,-358.69,-86.17,-135.53,-180.96,-203.11,-44.09,-101.41,-169.72,-229.44,-27.67,63.61,364.67,803.88,295.07,615.53,945.33,1228.64,-170.45,-252.83,-305.14,-340.78,-30.33,-47.57,-65.18,-72.6,19.4,9.38,9.17,12.92,17.35,-13.55,-40.24,-114.39,-272.82,-642.15
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20443.62,30384.17,7538.45,14382.07,20833.03,27056.31,5720.42,12063.23
资产减值损失,0.0,215.88,408.75,1006.64,-182.36,192.94,98.64,3762.44,216.02,539.62,795.54,865.15,186.54,208.61,162.64,213.9,-117.65,145.85,409.52,777.01,-80.05,411.23,911.57,1190.7,271.52,169.31,336.9,573.46,291.85,380.31,549.75,1649.5,340.72,121.25,414.18,743.24,65.46,-238.97,200.8,1820.63,-231.97,159.99,299.85,1333.17,173.36,-81.76,929.2,1386.42,0.0,0.0,0.0,0.0,0.0,0.0
