报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
货币资金,187967.88,228396.35,193757.04,133490.86,164539.15,277651.49,309665.71,239351.03,294310.71,473688.31,496140.26,535058.07,635862.22,766046.4,837032.62,759795.81,814117.77,754213.41,751668.37,610761.13,695100.57,874095.09,906384.41,711824.8,839110.24,1004321.4,1070939.54,853172.01,831997.15,995847.62,916292.84,638865.08,792951.99,965434.64,914030.78,840175.16,894340.59,991987.76,1072394.78,857268.52,993353.04,1176101.04,1181537.36,980548.51,1191105.94,1346562.4,1412727.02,1253573.7,1407147.25,1657368.76,1664531.96,1530198.34,1565787.84,1895655.02,1977770.36,1846688.06,1234934.24,932235.34,947120.22
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.25,107.25,103.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.34,2023.6,0.0,13011.53,113857.44,110100.77,124367.25,120254.45,139769.82,145060.3,118290.0,152379.3,186098.22,189459.62,165228.59,188886.28,793183.42,917736.66,951650.52
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18361.72,16101.24,21135.22,20343.22,16450.73,11339.67,21511.08,25011.16,22616.94,21576.03,17798.21,19113.59,12515.5,15581.96,21137.06,16985.14
应收票据,2993.12,2285.83,2637.99,3729.38,1262.16,1085.26,158.98,905.48,1320.0,1825.0,1800.5,1075.0,450.0,120.0,1350.79,1260.5,2517.5,2264.9,7530.52,9835.0,7328.41,5847.0,10075.04,6180.0,10475.32,7476.29,11876.63,8476.0,7785.5,6217.73,11659.4,4160.0,11525.0,4771.0,2985.0,2277.0,2445.0,4273.0,4800.0,2640.0,2709.4,4606.45,4631.3,4222.0,2440.0,0.0,3520.0,5380.16,1820.0,2785.0,4101.61,7510.0,6430.0,2901.33,2510.0,564.86,1430.0,1410.36,1650.0
应收账款,10559.41,10010.22,10362.04,9419.93,9069.36,9937.19,12305.93,8145.27,8788.24,8657.44,11569.32,9259.46,9922.9,12449.67,12152.46,8981.01,7730.51,19898.06,12772.03,8809.75,11342.84,13968.84,11861.23,8268.51,20278.74,27475.93,15414.17,15229.27,24137.0,39561.68,20463.93,12542.16,19553.01,37114.78,17411.27,11799.1,13143.67,21288.98,18468.41,12464.7,12997.25,22606.84,25706.37,14139.72,13661.24,0.0,16823.22,11070.58,9519.67,18726.08,20909.55,15106.94,15146.03,14896.88,16603.59,11950.64,14151.96,19726.69,15335.14
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,32247.3,30475.22,71453.84,86248.21,79983.95,76467.73,44203.69,22545.65,27691.45,18476.97,15617.77,13923.32,38638.13,21426.4,36292.77,4977.6,12868.4,12624.28,28772.81,27320.88,26328.37,5711.24,5903.28,8373.91,13005.7,11422.25,7491.72,13234.55,15420.33,14950.64,12687.65,19167.29,22313.56,11910.04,8794.47,4439.28,11524.83,7875.33,4808.46,5180.63,13731.8,13425.88,10588.32,11639.44,11961.74,13169.15,8008.43,17356.49,24535.18,20943.81,16192.53,11715.61,26441.37,16097.96,14104.39,23988.43,22555.12,19709.01,15164.39
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34840.05,31665.01,33401.58,36410.15,29778.48,36292.87,11011.63,8901.79,8626.94,9528.78,10997.45,9506.01,7389.36,10604.72,12867.25,10042.68
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.37,1334.63,3565.07,6200.39,9256.83,6399.64,9455.81,7907.35,13206.06,18846.14,18973.46,18222.09,15816.31,17166.04,13256.91,13639.43,12372.24,14858.14,12755.48,7051.55,8574.78,7155.73,10020.67,9878.99,14631.23,8657.39,14630.83,0.0,21610.52,0.0,22598.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,218.74,218.74,218.74,0.0,218.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1531.08,0.0,0.0,1409.81,0.0,0.0,0.0,1481.14,0.0,0.0,0.0,1053.32,0.0,122.81,0.0,904.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,21761.44,23107.82,32040.04,21426.05,24774.21,22736.53,21060.57,13838.21,14143.4,13053.71,16089.56,13324.37,12931.77,16377.29,18236.2,18891.74,22847.96,17112.36,19212.81,11442.51,14162.89,15907.4,14438.51,8729.19,13170.22,20953.58,31134.89,18339.55,179697.8,26561.25,22579.98,16358.4,32742.4,52223.51,66202.34,20067.6,21862.22,56216.03,17870.55,23384.39,16036.84,15497.83,18439.08,26182.66,15980.87,33401.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12867.25,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,178232.66,179181.51,165564.23,218725.37,247045.36,269026.3,254395.93,275633.74,240128.39,207602.74,184869.39,187737.93,180729.14,170358.52,161936.59,194241.36,204578.81,236521.67,202377.51,271772.18,228797.89,213098.58,206885.44,236005.88,216602.91,200156.71,203959.92,253455.19,221661.78,210943.11,205032.31,248682.71,212809.96,200958.48,177752.45,218243.51,185949.94,161033.94,174428.04,241244.28,196551.72,182957.63,165710.62,239291.01,197461.88,185687.98,169422.74,265122.47,225777.68,199141.46,172787.33,318176.93,230936.81,231661.47,212446.83,328103.35,247814.78,221364.1,185308.59
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,5.25,0.0,8.09,0.0,0.0,0.0,0.0,5527.55,3190.49,560.95,756.28,997.89,849.81,1153.46,593.45,1315.73,1106.88,957.25,887.25,17059.21,11190.42,11424.05,10993.5,28431.44,17578.78,15740.55,12569.79,46686.34,29125.56,27383.88,34403.88,78263.12,88036.57,76123.12,84884.52,76874.11,136958.98,129239.54,84938.39,111618.19,107843.73,106647.09,119929.54,109606.06,27586.9,41440.56,29654.42,73494.19,39855.16,36409.03,16406.07,56467.73,25904.71,18672.13,17864.02,55240.98,265399.46,659501.6,673491.15
流动资产合计,433767.06,473456.96,475823.28,473039.8,526892.92,657123.25,642009.55,566123.17,589898.67,723969.07,726843.09,761376.04,879383.95,987931.74,1067594.88,989463.75,1065767.83,1043591.92,1024043.67,958335.28,997816.44,1146252.6,1175798.24,1014213.37,1139677.73,1298454.05,1366592.73,1227439.06,1328798.58,1339687.99,1238936.3,1035204.8,1193189.41,1363706.08,1284433.07,1188733.91,1280390.52,1378966.13,1386283.41,1260956.44,1356728.92,1533745.34,1541173.82,1407298.34,1589740.16,1751497.66,1800933.23,1776030.52,1884717.63,2091446.06,2022120.85,2100181.81,2066273.76,2380341.86,2416033.79,2462811.97,2590073.7,2784551.01,2799762.69
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,1455.39,986.99,696.52,557.19,441.65,595.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.86,30.86,30.86,30.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,1744.16,1744.16,2004.16,2004.17,2004.16,2104.16,1992.16,1992.16,1992.16,1992.16,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,3313.62,3384.23,3397.2,3355.12,3410.95,3473.8,3556.54,3436.57,24857.93,15005.95,15267.93,15281.79,15000.01,15319.17,15551.31,15301.74,15663.32,15499.29,15312.58,15196.52,15394.65,15785.14,16546.84,16387.69,16708.31,132148.46,132437.54,127194.74,144985.3,151572.6,154584.15,153626.24,151750.57,154070.5,155862.07,150774.51,148474.55,152305.19,39314.99,37953.09,37367.39,39103.88,38467.33,37589.94,37119.5,37353.83,37805.35,37048.62,36803.0,37474.86,38158.67,37664.18,37991.4,37273.35,38047.44,37433.38,38503.19,37367.36,38369.34
