报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.0,0.79,0.79,0.79,1.01,0.0,1115.89,2353.8,3701.76,0.0,0.0,0.0,277.2,0.0,0.0,78.43,1395.53,322.25,431.34,1356.77,1754.51,0.0,0.8,1473.33,26.35,24.49,1058.47,1973.28,1100.2,101.2,3359.04,4859.04,5306.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,28.8,28.8,28.8,28.8,0.0,0.93,0.93,865.83,0.0,12.84,90.88,90.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,158.92,0.0,124.1,0.0,0.0,0.0,9.44,9.44,9.0,0.0,3.35,21.95,29.84,0.0,1.98,2.74,24.74,0.0,0.0,270.19,269.97,0.21,0.21,0.21,42.72,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.04,0.0,3586.02,3586.02,3586.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34362.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2252.96,0.0,4050.0,4050.0,4050.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,164.32,0.0,0.0,0.3,71.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26896.37,2032.46,12032.46,39315.99,48057.59,6760.0,5573.87,9345.87,9379.29,13.3,13.3,33.95,0.0,0.0,0.0,2203.55,0.0,0.0,0.0,0.0,0.0,2597.99,0.0,1014.5,0.0,0.0,0.0,0.0,560.99,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,1600.33,1600.33,1600.33,1764.65,1289.31,23.61,23.91,1418.92,0.0,3598.86,3676.89,7842.47,0.79,7055.22,8439.22,37073.52,2032.46,15348.44,45790.65,55880.21,6760.0,6962.25,11506.03,15396.25,35176.65,35176.65,35275.73,36675.63,322.25,788.69,3793.57,11987.76,0.0,10.24,1482.77,35.35,2622.48,16464.86,18639.76,17397.54,13796.2,25373.58,27024.38,30642.68,570.0,700.0,1575.79,5343.54,4074.21,4074.21,4074.21,4146.72,0.0
购建固定资产、无形资产和其他长期资产所支付的现金,1355.57,2080.54,3871.29,5911.03,33.16,42.09,121.91,640.89,15.0,75.12,270.14,399.06,5.8,21.95,36.17,43.73,61.31,69.98,81.87,81.69,1.75,88.35,93.68,759.7,1829.04,2866.71,10091.16,15406.61,2619.22,4371.09,3567.37,4448.68,529.11,1356.2,1543.23,3794.32,1162.21,3442.57,8534.63,9758.43,1855.54,3971.33,5592.87,7056.53,385.68,433.98,540.03,959.4,185.62,1707.57,1821.53,515.53,173.19
投资所支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,2950.0,340.0,6600.0,6600.0,8100.0,0.0,1635.64,5063.89,7563.22,0.0,3212.83,4494.78,4996.72,0.0,0.0,0.0,10462.06,0.0,0.0,1616.55,1035.0,3920.0,17997.5,19365.5,19317.5,0.0,21584.04,22784.04,15810.51,1400.0,10720.0,18220.04,22120.0,3170.0,3170.0,3170.0,1170.0,0.0,0.0,0.0,0.0,0.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30139.35,30139.35,57735.44,74825.52,88707.38,89307.38,111007.38,0.0,9034.94,11034.94,13669.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,53326.0,11410.0,14811.91,23667.49,26362.3,2300.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,640.67,0.0,1663.63,0.0,15.0,0.0,2492.94,0.0,1153.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.28,0.0,0.0
投资活动现金流出小计,1355.57,2080.54,3871.29,5911.03,33.16,42.09,121.91,640.89,15.0,125.12,320.14,3349.06,345.8,6621.95,6636.17,61469.73,11471.31,16517.54,28813.25,34007.21,2301.75,3301.18,4592.7,5756.42,1829.04,2866.71,10091.16,25868.68,3259.9,4371.09,6847.55,5483.68,4464.11,49493.04,53541.01,80847.26,77140.79,113733.99,120626.04,136576.31,3255.54,23726.27,34847.85,42846.01,3555.68,3603.98,3710.03,2129.4,185.62,1707.57,1889.81,515.53,173.19
投资活动产生的现金流量净额,244.76,-480.21,-2270.96,-4146.38,1256.15,-18.48,-97.99,778.04,-15.0,3473.74,3356.75,4493.41,-345.01,433.27,1803.04,-24396.21,-9438.86,-1169.09,16977.4,21872.99,4458.25,3661.08,6913.32,9639.83,33347.61,32309.94,25184.56,10806.95,-2937.65,-3582.4,-3053.98,6504.08,-4464.11,-49482.81,-52058.24,-80811.9,-74518.32,-97269.13,-101986.28,-119178.77,10540.66,1647.31,-7823.47,-12203.33,-2985.68,-2903.98,-2134.24,3214.14,3888.59,2366.64,2184.4,3631.19,-173.19
吸收投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84813.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326500.0,0.0,0.0,0.0,0.0,14000.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,15400.0,24600.0,26430.0,35546.0,10900.0,14950.0,15750.0,13550.0,200.0,200.0,10400.0,10400.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,3200.0,5200.0,7600.0,3200.0,35634.34,52048.11,158902.4,72624.89,242763.97,284763.97,455378.94,87496.19,234851.81,420067.87,468073.54,110373.24,281942.58,402323.93,493389.78,166001.77,304231.92,339531.77,436910.42,43178.32,91892.79,91892.79,1752.69,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99200.0,99200.0,99200.0,99200.0,0.0,0.0,0.0,49500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,1994.7,186.93,1575.93,1000.0,1585.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9140.0,0.0,0.0,0.0,0.0,6845.0,0.0,25231.4,0.0,1748.66,1940.0,86140.18,0.0,0.0,0.0,0.0,30000.0,2.68,14000.01,14000.01,14000.01,0.0,0.0,0.0,0.0,21714.47,0.0,0.0,0.0,0.0
筹资活动现金流入小计,15400.0,24600.0,26430.0,37540.7,11086.93,16525.93,16750.0,15135.93,200.0,200.0,10400.0,10400.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9140.0,3200.0,3200.0,5200.0,92413.49,10045.0,35634.34,77279.5,158902.4,74373.54,244703.97,370904.15,781878.94,186696.19,334051.81,519267.87,597273.54,124375.93,295942.59,416323.94,556889.79,166001.77,304231.92,339531.77,436910.42,64892.79,91892.79,91892.79,1752.69,0.0
