报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,3577.31,9370.76,15088.21,1329.02,2089.37,4234.37,6426.6,8968.83,2188.0,4566.71,11257.83,24348.49,9428.79,24033.4,41057.51,90200.16,22834.37,65167.36,86634.95,131204.42,11259.9,81083.46,104137.61,169157.26,33510.98,77357.54,102747.72,164335.89,1739.57,35267.45,89799.87,138724.59,32818.91,65335.76,96485.59,126065.52,24149.58,55962.85,85666.2,120597.65,73224.42,136074.53,203394.93,285111.08,83054.45,185507.77,263711.39,332631.42,58351.69,134030.08,199523.53,278363.26,47083.42,74865.86
营业收入,3577.31,9370.76,15088.21,1329.02,2089.37,4234.37,6426.6,8968.83,2188.0,4566.71,11257.83,24348.49,9428.79,24033.4,41057.51,90200.16,22834.37,65167.36,86634.95,131204.42,11259.9,81083.46,104137.61,169157.26,33510.98,77357.54,102747.72,164335.89,1739.57,35267.45,89799.87,138724.59,32818.91,65335.76,96485.59,126065.52,24149.58,55962.85,85666.2,120597.65,73224.42,136074.53,203394.93,285111.08,83054.45,185507.77,263711.39,332631.42,58351.69,134030.08,199523.53,278363.26,47083.42,74865.86
二、营业总成本,3622.79,9608.95,15570.74,-199.79,1095.21,2140.9,3299.35,5229.93,1655.09,3832.1,10727.03,24497.37,8971.07,23157.4,39198.74,75556.25,21738.06,55330.07,76617.59,122140.03,12180.08,73442.4,91994.42,154240.86,33011.76,72808.99,103554.52,163575.21,4330.92,39416.8,92565.59,141027.46,34774.22,67856.24,103511.86,141806.68,29650.65,59401.68,93755.5,146803.53,68288.65,139994.75,203657.45,288892.61,70471.23,153706.43,218732.5,296448.7,56172.32,124754.59,187444.93,256324.3,54103.63,92303.57
营业成本,3483.11,9134.91,14726.52,11.74,66.42,451.93,879.24,1524.79,229.22,601.59,5324.86,15137.19,7107.81,19533.54,34303.51,68164.45,20396.74,50383.67,69533.57,111478.77,9053.7,64216.88,79453.54,138700.97,29748.31,66896.1,89560.61,141822.67,507.0,27584.87,46963.06,69289.45,16856.69,28385.6,44781.05,59854.93,12510.34,28076.84,42631.09,59967.79,34110.67,70661.51,98664.23,129764.62,32781.75,69872.84,94434.89,109034.1,18115.75,41558.29,64417.95,79980.59,20608.28,38429.58
营业税金及附加,3.34,13.54,18.93,224.07,342.49,705.67,1039.95,1392.9,366.78,752.62,1113.77,1607.1,430.46,824.63,1226.83,3043.2,410.02,1891.14,2302.96,2930.91,366.35,3131.14,3945.79,3813.74,435.67,638.83,3224.38,5691.51,238.94,1708.44,12023.9,26671.04,7889.05,16000.92,23030.85,29732.92,3763.63,7627.04,12224.88,18276.91,9906.24,16717.4,26135.14,38691.73,12962.39,31643.62,51236.59,72320.09,14806.21,32654.05,51668.92,68719.92,13042.24,15040.37
销售费用,48.09,114.56,155.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.02,0.0,0.0,0.0,0.0,48.49,78.45,452.24,34.65,210.85,306.94,742.77,178.46,304.92,317.08,687.79,50.75,327.34,9022.36,7511.83,3703.95,7107.91,10880.53,15032.06,2775.45,7550.66,11003.53,17058.05,5537.58,10592.53,14153.6,20687.57,4732.04,10472.16,16348.21,25155.32,6022.78,12091.17,18226.95,27015.49,6296.5,11621.07
管理费用,-24.28,114.99,326.66,522.57,552.59,602.2,832.2,1469.41,590.27,752.9,1326.47,2262.18,747.69,1352.77,2012.04,3123.55,691.72,1598.07,2549.13,4141.42,1177.78,2574.0,3662.02,6093.36,1325.56,2583.97,4969.41,8283.53,2636.6,5782.1,11662.56,16378.14,3086.86,7688.58,12319.97,18390.96,2774.66,7098.7,12641.99,18325.73,6105.86,10473.52,16468.31,26007.06,5341.3,12065.4,17851.81,23871.32,4372.94,9868.91,15294.14,23031.18,4660.39,9028.82
财务费用,112.53,230.94,343.09,-20.37,133.71,361.82,528.69,748.06,468.83,1655.13,2889.17,2864.81,685.09,1581.61,1769.14,2179.15,239.57,1100.33,2041.8,4251.67,1567.1,3083.52,4431.77,4421.84,1323.81,2535.8,5384.89,6811.48,1121.82,4190.02,13091.39,20985.55,3237.67,8670.48,12474.37,18863.18,7777.48,8958.24,15093.62,32418.61,12527.77,31274.81,47481.62,69967.88,14702.79,29797.49,38414.02,55521.19,12891.09,28582.17,37836.98,57378.58,9496.21,18076.29
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.53,0.0,107.43
资产减值损失,0.0,0.0,0.0,-937.8,0.0,19.26,19.26,94.77,0.0,69.85,72.76,2476.08,0.0,-135.16,-112.79,-954.1,0.0,308.37,111.68,-1114.98,-19.5,226.02,194.35,468.18,-0.04,-150.63,98.16,278.23,-224.2,-175.97,-197.68,191.45,0.0,2.75,25.09,-67.36,49.09,90.2,160.38,756.44,100.54,274.99,754.54,3773.76,-49.04,-145.08,446.99,10546.69,-36.44,0.0,0.0,0.0,0.0,0.0
