报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,909049.92,966283.12,1066760.89,1059989.51,1058787.58,288945.74,524279.16,756681.78,1029260.02,291629.68,536690.87,776201.88,1055377.01,307523.49,562405.34,829637.13,1141391.62,359449.77,651891.35,939870.19,1244117.62,241033.35,442906.67
营业收入,909049.92,966283.12,1066760.89,1059989.51,1058787.58,288945.74,524279.16,756681.78,1029260.02,291629.68,536690.87,776201.88,1055377.01,307523.49,562405.34,829637.13,1141391.62,359449.77,651891.35,939870.19,1244117.62,241033.35,442906.67
二、营业总成本,876714.64,923744.82,1024633.4,1017207.99,1013663.23,275336.5,498756.01,723156.63,982979.82,276465.0,509135.62,738952.3,1004666.09,288085.62,527898.16,790120.54,1107699.93,346401.96,629248.55,909233.16,1202820.48,244987.5,439364.3
营业成本,752255.43,789493.03,878590.35,860786.21,855727.7,233086.54,420945.85,610036.83,832040.97,231942.37,425411.28,618183.22,844759.4,240751.77,439009.17,645460.23,885192.7,275353.3,500942.01,719305.49,951995.13,183659.33,331627.16
营业税金及附加,4806.44,5594.81,6582.84,7174.94,7268.5,1971.81,3542.33,4502.03,7945.93,2382.78,4389.05,6268.92,8432.51,2440.43,4401.28,6983.43,9807.76,2596.15,4898.84,7006.39,9686.56,1457.56,3580.23
销售费用,78467.92,81840.2,88386.79,91734.67,90726.79,23990.53,44119.83,66105.33,89296.18,26978.0,49575.04,74528.18,99554.9,29257.71,54951.24,90295.07,137652.89,39643.93,74994.81,110863.44,149663.25,36117.37,61405.18
管理费用,32950.26,33830.8,34908.6,38788.76,40072.94,11203.06,20447.71,29670.05,37532.01,10853.97,20979.03,29913.86,41130.53,12621.35,23230.27,38784.76,62888.07,23838.27,42728.12,62265.98,78105.23,20023.16,34375.52
财务费用,5979.79,10346.55,12264.47,14445.01,15431.39,3157.62,6130.18,9043.28,11731.06,2414.46,4397.96,5368.47,7297.99,1526.09,2944.19,4812.19,7342.33,2877.08,5684.77,9791.87,13370.32,3730.08,8376.2
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值损失,2254.79,2639.42,3900.35,4278.41,4435.91,1926.94,3570.11,3799.13,4433.68,1893.41,4383.26,4689.65,3490.76,1488.27,3362.02,3784.86,4816.19,2093.22,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,11124.43,549.78,121.84,-36.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.02,875.47,1190.99,1321.66,1436.6,0.0,52.52,98.34,35.82,114.18,719.95
其中:对联营企业和合营企业的投资收益,314.84,549.78,121.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.52,98.34,35.82,114.18,114.18
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,43459.71,43088.08,42249.34,42744.75,45124.35,13609.24,25523.15,33525.15,46280.2,15164.69,27625.51,38100.06,52516.58,20717.59,36241.12,41453.12,35735.42,13516.16,21708.38,30483.91,39046.33,-5366.68,3057.67
加:营业外收入,2342.04,2535.89,4641.84,4406.13,2484.34,265.16,1202.87,1378.63,4316.2,309.39,601.5,933.02,2968.1,240.34,1362.61,1694.24,2838.62,3414.1,5465.91,5878.51,6899.01,460.68,2413.09
减：营业外支出,523.45,221.22,481.6,279.24,376.4,79.26,130.05,136.82,188.08,30.96,67.73,115.74,200.35,17.31,125.09,797.12,1159.07,258.18,454.01,1435.12,1888.63,251.17,668.66
其中：非流动资产处置损失,203.24,0.0,7.61,23.7,89.61,47.95,49.35,49.42,51.18,0.9,36.41,38.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,45278.31,45402.75,46409.57,46871.64,47232.28,13795.14,26595.97,34766.96,50408.32,15443.12,28159.28,38917.34,55284.33,20940.62,37478.64,42350.25,37414.97,16672.08,26720.29,34927.29,44056.71,-5157.17,4802.1
减：所得税费用,14697.78,12066.05,13159.82,13474.63,13414.24,3461.47,7029.88,9430.93,14217.99,3998.5,7288.61,11500.43,15835.01,5192.98,9365.5,12638.45,17209.14,6973.21,9706.47,13389.05,17336.12,1653.35,5729.89
五、净利润,30580.53,33336.71,33249.75,33397.01,33818.04,10333.67,19566.09,25336.03,36190.33,11444.62,20870.67,27416.91,39449.32,15747.64,28113.13,29711.8,20205.83,9698.87,17013.82,21538.24,26720.59,-6810.52,-927.79
归属于母公司所有者的净利润,29406.73,33335.55,33251.99,33391.8,33816.5,10332.99,19564.72,25334.11,36186.53,11444.44,20870.06,27415.94,39453.06,15746.98,28112.36,29713.12,20207.61,9692.82,17011.8,21536.66,26729.01,-6807.09,-922.44
少数股东损益,1173.8,1.15,-2.23,5.21,1.54,0.68,1.36,1.92,3.8,0.18,0.61,0.97,-3.74,0.66,0.77,-1.32,-1.78,6.05,2.02,1.58,-8.42,-3.43,-5.35
基本每股收益(元/股),0.51,0.49,0.49,0.49,0.49,0.15,0.29,0.37,0.53,0.17,0.28,0.35,0.49,0.18,0.33,0.35,0.23,0.11,0.2,0.25,0.31,-0.08,-0.01
稀释每股收益(元/股),0.51,0.49,0.49,0.49,0.49,0.15,0.29,0.37,0.53,0.17,0.28,0.35,0.49,0.18,0.33,0.35,0.23,0.11,0.2,0.2,0.31,-0.08,-0.01
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.59,-42.63,12.17,68.06,52.61,45.16,18.45
八、综合收益总额,30580.53,33336.71,33249.75,33397.01,33818.04,10333.67,19566.09,25336.03,36190.33,11444.62,20870.67,27416.91,39449.32,15747.64,28113.13,29711.8,20222.42,9656.25,17025.99,21606.3,26773.2,-6765.36,-909.34
归属于母公司所有者的综合收益总额,29406.73,33335.55,33251.99,33391.8,33816.5,10332.99,19564.72,25334.11,36186.53,11444.44,20870.06,27415.94,39453.06,15746.98,28112.36,29713.12,20224.19,9650.2,17023.97,21604.72,26781.62,-6761.93,-903.98
归属于少数股东的综合收益总额,1173.8,1.15,-2.23,5.21,1.54,0.68,1.36,1.92,3.8,0.18,0.61,0.97,-3.74,0.66,0.77,-1.32,-1.78,6.05,2.02,1.58,-8.42,-3.43,-5.35
