报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,22268.54,61677.4,76496.57,30383.45,67367.97,113111.65,165225.8,45800.49,99531.99,162069.3,201798.92,47339.45,79843.28,121176.42,170832.51,45948.87,97189.95,155738.84,228046.06,69484.92,145658.7,244982.8,368016.85,82078.59,167939.19,280188.05,594703.26,220884.12,642378.57,852497.88,1153053.35,268712.27,627620.99,1084637.2,1636228.45,347002.1,1000197.29,1467128.18,2198761.49,571019.01,1411138.15,2269337.99,3289745.54,859941.08,2014128.14
营业收入,22268.54,61677.4,76496.57,30383.45,67367.97,113111.65,165225.8,45800.49,99531.99,162069.3,201798.92,47339.45,79843.28,121176.42,170832.51,45948.87,97189.95,155738.84,228046.06,69484.92,145658.7,244982.8,368016.85,82078.59,167939.19,280188.05,594703.26,220884.12,642378.57,852497.88,1153053.35,268712.27,627620.99,1084637.2,1636228.45,347002.1,1000197.29,1467128.18,2198761.49,571019.01,1411138.15,2269337.99,3289745.54,859941.08,2014128.14
二、营业总成本,17050.13,54726.86,66947.2,25189.3,55999.1,87184.77,119705.0,30522.0,74673.55,134023.29,174041.72,46921.69,78847.62,123236.01,186473.76,47274.08,94541.29,151429.45,220730.09,64751.76,134740.55,226223.35,338951.95,76713.09,160072.24,259405.24,537901.01,190518.98,543468.62,729706.55,981509.41,217760.09,480310.99,823118.54,1296734.35,318470.27,891198.16,1334603.68,2004953.7,509339.85,1169721.68,1838089.08,2642236.27,633952.63,1537547.8
营业成本,15465.42,49714.78,58497.5,22634.98,50643.54,79906.28,107907.56,26227.33,63298.53,118193.62,153932.94,39547.25,65930.77,100750.66,148508.06,41233.16,84834.24,135415.86,200084.3,57975.62,121595.59,203733.44,305433.68,64427.71,132887.66,217281.33,473574.11,167514.94,476088.5,629131.65,836143.32,184529.06,407244.6,705070.94,1108182.69,270958.46,773945.46,1141310.11,1709569.44,436613.64,1041089.22,1642389.41,2338936.45,585919.93,1425332.54
营业税金及附加,87.95,137.52,94.87,16.74,34.69,70.4,301.97,234.05,302.76,483.65,530.16,22.19,105.69,138.6,169.51,17.05,38.05,101.35,171.71,122.32,265.5,442.35,734.24,150.23,478.97,573.97,987.17,649.83,3067.99,4328.08,10998.05,2227.64,5715.02,8659.38,15164.7,2299.55,5495.96,7322.37,11718.15,2685.71,6398.71,9307.31,17841.81,4031.02,7941.04
销售费用,132.23,575.23,927.65,265.35,600.4,982.99,1445.36,345.32,737.7,1213.7,1640.25,519.89,1192.89,1740.16,2185.12,384.16,921.37,1629.27,2514.51,933.73,2017.69,2943.29,3886.05,894.44,2049.32,6144.34,13299.24,7029.65,19553.6,25682.22,46782.53,12086.55,26216.04,41757.68,66425.09,16043.68,45686.45,68473.62,101735.46,21429.52,54644.86,83158.64,132974.83,11444.4,33014.72
管理费用,1163.81,2670.86,3221.79,922.08,1932.51,3306.61,5594.0,2103.88,4361.0,7082.68,9662.49,3286.41,6013.0,9241.71,13061.09,2218.64,4987.36,7893.35,11936.76,3396.79,6735.9,10673.8,17159.77,4853.61,10633.8,17320.76,27522.94,8746.63,30319.37,42259.43,44110.05,13207.98,26754.17,44101.14,66442.0,17100.1,35177.03,42044.8,62286.64,18716.66,39918.07,64450.11,97102.51,26735.56,58585.2
财务费用,9.58,791.15,2792.69,856.76,2534.08,3437.1,3976.2,658.21,1607.48,3320.38,5841.74,2757.49,4806.55,7457.23,8886.25,1983.27,2869.12,4484.8,6482.43,1375.07,3025.82,5294.35,7876.39,2380.48,4468.55,6412.12,8999.33,3153.19,3811.18,6532.46,10197.85,4175.35,9705.19,15290.36,19784.79,3847.0,8511.55,12460.77,26687.65,14789.43,15971.53,19024.69,24960.84,-1823.44,-5951.34
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14731.92,20183.7,5616.37,11699.29,19758.91,30419.83,7645.16,18625.64
资产减值损失,191.15,837.33,1412.7,493.39,253.87,-518.61,479.92,953.21,4366.08,3729.26,2434.14,788.46,798.72,3907.66,13663.72,1437.81,891.14,1904.83,-459.61,948.23,1100.05,3136.11,3861.81,4006.62,9553.93,11672.71,13518.22,3424.73,10627.98,21772.71,33277.6,1533.5,4675.97,8239.05,20735.08,8221.47,22381.7,48260.09,72772.65,9488.52,0.0,0.0,0.0,0.0,0.0
