报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,16548.85,20200.14,38348.85,44811.22,51805.67,61123.06,72644.76,178453.91,186152.27,182191.93,213634.77,245968.01,204745.54
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,5789.96,5159.85,9804.07,19009.34,21637.81,26066.91,28571.97,24508.94,17870.32,16074.24,36788.31
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.25,0.0,0.0,0.0,0.0,0.0
应收账款,5135.1,5291.87,5789.96,5159.85,9804.07,19009.34,21637.81,25980.66,28571.97,24508.94,17870.32,16074.24,36788.31
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,120.32,156.48,425.66,245.8,768.77,964.57,1888.59,1124.36,831.89,221.86,156.47,292.0,380.4
其他应收款(合计),0.0,0.0,198.17,300.29,543.92,804.78,1048.82,1027.89,1043.84,421.92,391.88,282.91,245.09
应收利息,0.0,0.0,0.0,94.76,337.17,545.21,557.58,733.62,740.04,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.7,0.0,0.0,0.0
其他应收款,232.15,207.9,0.0,205.53,206.75,259.57,0.0,294.27,0.0,304.22,0.0,282.91,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,14.44,11.75,4.53,4.86,21.14,10.33,8.38,8.13,7.87,5.58,4.24,10.83,9.45
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5190.67,5229.74
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,444.27,1377.36,106.28,16.86,188.06,271.26,169.54,1452.28,374.31,11055.28,5652.87,464.67,10708.63
流动资产合计,22495.12,27245.5,44873.44,50538.88,63131.64,82183.34,97397.9,208133.48,226982.15,218405.5,257676.98,290748.27,275316.27
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,7.5,0.0,2.0,2.0,2.0,3002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,0.0,127.83,48.89,589.81,613.33,584.26,649.36,654.64,2531.63,2524.91,2558.71,8342.05
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,72.52,733.32,200.14,210.38,236.85,771.1,590.3,470.25,331.57,450.94,619.91
在建工程,987.32,784.43,0.0,733.32,200.14,210.38,0.0,771.1,0.0,470.25,0.0,450.94,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,5792.59,5780.04,7425.61,8278.51,8231.98,8939.68,9996.26,11239.88,12018.77,12600.97,12997.43
固定资产净额,2589.68,4782.9,5792.6,5780.04,7425.61,8278.51,0.0,8939.68,0.0,11239.88,0.0,12600.97,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,975.73,1232.92,2988.7,3318.34,4579.78,6286.23,6219.68,28979.59,27418.63,25649.91,23768.93,21903.04,20267.45
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,3928.54,3928.54,3928.54,3928.54,3928.54,3928.54,3928.54,3928.54,3928.54,3928.54,3928.54
长期待摊费用,63.87,289.18,202.64,177.95,183.47,143.08,116.65,91.0,63.78,37.35,22.7,62.17,52.17
递延所得税资产,44.9,23.91,110.41,133.73,177.61,171.72,148.97,126.05,133.6,166.32,173.84,174.84,182.18
其他非流动资产,89.98,223.56,338.37,233.44,116.61,214.44,494.44,504.8,827.92,5721.17,5762.95,857.8,1580.53
非流动资产合计,4758.98,7336.9,13563.6,14356.26,17203.58,22848.24,22963.38,46992.12,46615.67,52925.52,51712.69,45865.29,51298.54
资产总计,27254.1,34582.4,58437.05,64895.15,80335.22,105031.58,120361.28,255125.6,273597.82,271331.03,309389.68,336613.55,326614.81
短期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,5001.72,8244.22,15314.8,20534.67,29615.22,46589.14,53859.22,40193.27,61310.93,73900.31,59676.19
应付票据,0.0,166.33,145.4,159.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付账款,2449.72,2735.24,4856.31,8085.11,15314.8,20534.67,0.0,46589.14,53859.22,40193.27,61310.93,73900.31,59676.19
预收款项,462.4,331.63,235.14,1301.88,437.42,2799.52,3159.44,3140.75,2859.65,3231.72,0.0,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,1264.39,1329.96,3461.72,3193.7,5270.25,6787.43,4845.87,5373.06,6581.02,5857.12,6708.92,4988.26,5713.1
应交税费,170.69,204.74,565.21,171.58,316.78,201.93,634.26,277.26,557.22,320.53,1007.08,852.33,734.03
其他应付款(合计),0.0,0.0,2889.4,187.76,653.3,318.3,484.39,345.93,238.68,165.16,89.87,11666.06,94.76
应付利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11552.91,0.0
其他应付款,2564.97,4948.55,0.0,187.76,653.3,318.3,0.0,345.93,0.0,165.16,0.0,113.15,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动负债,72.68,109.51,177.93,295.21,668.96,811.17,743.06,1307.71,753.15,849.88,1188.15,1617.4,1384.84
流动负债合计,6984.85,9825.96,12331.12,13394.35,22661.51,31453.03,39482.24,57033.86,64848.93,50617.68,74368.46,96161.41,70505.34
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,59.99,76.17,92.35,108.07,129.56,147.02,162.26,164.42
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.62,44.62,82.07,82.07
长期递延收益,300.0,1049.31,1002.31,1186.49,1671.09,2241.0,2200.85,2099.56,2128.18,2042.51,1971.38,2500.26,3303.6
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,300.0,1049.31,1002.31,1186.49,1671.09,2300.99,2277.02,2191.91,2236.25,2216.68,2163.02,2744.58,3550.08
负债合计,7284.85,10875.27,13333.43,14580.83,24332.59,33754.02,41759.26,59225.77,67085.18,52834.36,76531.49,98905.99,74055.42
实收资本(或股本),1538.46,1538.46,9626.56,9626.56,9626.56,9626.56,9626.56,12836.56,12836.56,12836.56,12836.56,12836.56,23105.81
