报表日期,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,22821.15,38330.11,17398.95,29402.99,9697.44,17711.94,35219.37,49401.36,11860.75,27596.98,38685.88,57501.26,15573.94,27227.37,37696.74,58876.35,10327.8,21700.85,34857.65,56858.27,16070.89,29313.52,47120.91,64431.88,14795.57,31332.71,46672.8,65096.81,20157.39,42193.27,66582.66,92228.13,20930.47,38790.34,63254.6,90655.57,24539.52,45985.04,73501.47,98745.88,33742.0,55478.26,80751.94,106709.7,16019.23,37520.78
收到的税费返还,786.79,905.59,376.23,376.23,239.44,242.42,242.42,242.42,48.72,48.72,194.09,194.09,0.0,0.0,203.19,324.62,318.46,318.46,318.46,649.73,73.89,73.89,73.89,74.65,0.0,163.5,163.5,163.5,229.48,229.48,229.48,229.48,260.82,260.82,275.57,283.34,20.53,20.53,20.53,20.53,310.69,359.68,365.39,364.43,176.81,258.48
收到的其他与经营活动有关的现金,2638.34,878.74,2700.25,2886.33,83.7,301.69,663.86,773.41,537.21,452.92,674.31,2292.46,1293.7,1421.36,2372.1,2408.4,2327.72,3168.05,2382.24,3113.72,273.75,952.05,609.55,2801.62,330.84,869.39,1295.94,4365.69,2041.57,1247.48,2026.2,4019.01,3796.7,5479.74,7458.41,7437.76,3195.96,3760.08,2829.99,4764.91,2723.57,2427.62,2463.9,2254.29,342.41,639.47
经营活动现金流入小计,26246.28,40114.44,20475.43,32665.55,10020.57,18256.06,36125.66,50417.19,12446.67,28098.62,39554.28,59987.81,16867.63,28648.74,40272.03,61609.37,12973.98,25187.36,37558.35,60621.72,16418.53,30339.46,47804.35,67308.15,15126.41,32365.6,48132.24,69625.99,22428.44,43670.23,68838.34,96476.62,24987.99,44530.91,70988.58,98376.66,27756.01,49765.65,76351.98,103531.32,36776.27,58265.57,83581.23,109328.42,16538.44,38418.73
购买商品、接受劳务支付的现金,15688.53,18558.07,13175.51,15638.27,6052.89,14416.2,24634.05,34983.17,10449.57,19000.33,26361.81,31990.14,5914.96,11519.79,17491.42,28893.92,6710.94,13880.95,22262.94,31310.19,5822.07,11531.63,17047.08,26987.43,6332.08,14716.6,19569.7,23896.01,7354.55,15160.71,23291.14,30533.61,8574.52,15833.68,24473.5,27093.33,8387.91,16832.58,21743.93,21413.49,6638.92,13975.65,23878.34,34218.42,5319.69,12847.05
支付给职工以及为职工支付的现金,3306.0,3846.11,3318.58,5409.8,1917.68,4230.14,6765.17,8557.92,2521.04,5372.68,8032.06,10558.05,3115.31,6119.63,9023.95,11864.47,3361.03,7100.69,10985.58,15235.13,4555.26,8949.97,12697.57,17548.69,4477.55,8568.71,13527.17,17471.93,5412.86,10529.95,15696.52,22000.76,7508.53,14198.7,21498.5,28238.22,9213.53,17561.0,25666.39,34468.1,10073.12,19244.78,25372.71,31314.44,6903.46,12612.44
支付的各项税费,1914.92,3446.11,2382.88,2912.53,252.28,832.19,1837.68,3200.16,817.41,2907.14,4767.49,6352.58,1050.58,3152.08,3454.99,5002.24,155.46,2000.86,3627.8,3881.51,830.83,2514.57,4021.8,5079.97,1157.59,2552.46,4374.6,5691.15,1748.1,5210.59,7501.73,8926.99,2360.02,5531.8,7772.61,9095.53,1744.47,4251.87,5581.64,7045.24,1750.59,3754.2,4089.99,5599.57,763.47,1478.16
支付的其他与经营活动有关的现金,3890.24,6034.8,4097.59,5198.17,1274.2,2610.81,3969.06,6085.75,2011.97,4070.96,5909.44,6662.01,2272.92,4174.26,5422.24,7087.4,1760.93,2862.57,3604.77,7149.56,1335.46,2806.06,4479.53,7306.62,1464.47,2970.04,4643.65,7906.01,1656.12,5655.77,8470.18,19572.81,2715.95,6981.98,13538.15,14453.02,4662.85,7539.08,10323.44,16525.68,5293.39,7313.95,10324.32,14511.03,2687.25,5777.88
经营活动现金流出小计,24799.69,31885.1,22974.56,29158.77,9497.05,22089.34,37205.97,52827.0,15800.0,31351.11,45070.81,55562.78,12353.76,24965.77,35392.6,52848.04,11988.36,25845.07,40481.09,57576.39,12543.63,25802.23,38245.97,56922.71,13431.68,28807.81,42115.12,54965.1,16171.63,36557.02,54959.57,81034.17,21159.03,42546.15,67282.76,78880.1,24008.76,46184.54,63315.4,79452.51,23756.03,44288.58,63665.36,85643.45,15673.88,32715.53
经营活动产生的现金流量净额,1446.6,8229.35,-2499.13,3506.78,523.52,-3833.28,-1080.31,-2409.81,-3353.33,-3252.49,-5516.53,4425.02,4513.87,3682.97,4879.42,8761.33,985.62,-657.7,-2922.73,3045.33,3874.9,4537.23,9558.38,10385.44,1694.73,3557.78,6017.11,14660.89,6256.81,7113.21,13878.77,15442.45,3828.97,1984.75,3705.82,19496.57,3747.25,3581.11,13036.59,24078.81,13020.24,13976.99,19915.87,23684.97,864.56,5703.2
