报表日期,2007-12-31,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,57068.18,29472.97,99388.22,99611.47,331880.53,357378.7,387809.82,384360.6,340052.96,331499.75,466430.5,456178.14,437348.64,420507.52,328271.23,396630.89,272720.3,224494.64,215548.91,198647.94,211790.39,203732.32,197134.27,245036.82,210428.92,263121.37,211966.01,176862.0,252022.44,170500.21,127741.22,367482.57,704181.01,704462.74,765438.75,682999.29,688055.88,606249.2,553287.23,606037.04,615324.63,622016.85,653435.45
交易性金融资产,23.02,8.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.28,84.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50154.32,22981.39,96.18,96.18,477.17,982.23,10007.62,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886278.76,743930.46,980204.52,1019210.1,1070746.0,1203433.62,1330703.12,1308631.1
应收票据,30692.38,19658.47,12408.77,15707.73,17516.3,26633.03,32004.2,38503.89,44901.21,73033.01,100015.09,120638.47,81201.64,96621.95,124984.55,103138.3,105093.88,149987.42,193263.75,211879.3,195721.4,222929.36,234762.25,226031.44,166457.16,148276.53,178272.61,137546.7,146223.62,140407.02,158685.47,182573.96,174543.93,201100.94,221289.36,236008.04,216775.09,277441.7,325766.61,353319.96,333563.95,329574.07,420675.91
应收账款,41041.85,47205.11,55755.69,46566.95,53360.27,55490.82,61739.87,50537.32,69601.81,80011.68,79573.55,95833.55,92552.08,104646.75,156599.81,141808.87,177659.48,194693.24,201436.57,193758.35,211093.28,215875.64,226106.55,207813.9,235521.5,280056.27,292005.42,275372.34,279680.34,296229.22,289269.83,555542.88,605428.54,581945.36,589814.18,650270.72,527155.37,702762.82,693443.48,717426.04,869869.67,1001129.05,887955.18
预付款项,4893.06,5058.87,5219.18,6050.16,7889.05,5443.21,4874.32,2528.21,6439.5,8284.15,9936.68,8117.37,8714.8,7849.81,11117.55,4386.79,8412.83,13742.25,13880.32,8796.82,9852.92,12696.14,12242.45,4260.13,8977.43,8864.22,12850.58,3779.95,7365.91,10247.79,11994.13,58590.17,72910.34,66981.45,63396.61,40680.8,71674.75,69225.08,159948.37,59848.42,86945.95,134014.16,105393.35
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.38,47.85,0.0,0.0,3287.74,1393.09,1129.16,1735.13,1240.47,2796.79,3378.41,3273.68,1465.42,1728.36,2614.63,2813.4
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1466.23,1055.71,1055.71,1055.71,17072.41,25529.13,22064.23,32828.54,22375.59,21597.39,21097.33,15817.82
其他应收款,584.61,765.95,1141.12,949.43,1320.99,1609.18,1203.99,689.11,1403.59,1743.14,1279.81,20670.01,2083.89,2945.9,6479.85,3203.45,6760.67,7751.55,9516.74,3590.07,5706.69,6681.24,8927.08,7033.93,4285.12,6195.45,5767.57,5584.53,6011.64,5324.61,7196.8,32872.02,58725.18,36259.72,47303.86,36834.32,113760.49,100624.66,0.0,86938.34,0.0,79737.07,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,57024.16,46155.94,36685.3,47002.48,49207.94,47734.37,47846.15,67555.75,66445.01,74794.02,81136.23,106159.53,78344.27,61705.7,100270.6,99254.52,88634.29,90051.12,111204.91,115057.91,116254.19,116844.42,126969.85,127768.72,131461.76,119669.13,127503.17,117549.08,110340.63,123029.13,129577.43,204493.66,224689.05,241814.33,287514.22,327128.89,385155.18,409683.4,421825.02,465768.97,433679.65,358543.73,420264.39
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.51,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,134.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.91,1246.49,629.91,629.91,0.0,657.36,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,311.71,290.83,501.92,402.19,336.27,382.45,454.99,488.93,410.67,367.42,433.33,527.57,651.78,583.95,1400.66,51221.01,81140.0,75364.14,90687.79,35850.46,66824.42,44706.72,101044.48,117734.3,113811.94,159021.12,151857.7,107735.36,260304.74,150559.96,251085.55,174181.25,57469.71,44162.77,61624.23,69856.12,64899.08,65052.61,83091.26,67835.25,87574.77,101161.6
流动资产合计,191461.37,148637.75,210889.12,216390.14,461577.26,494625.58,535860.81,544629.88,529333.0,569776.4,738739.27,808030.4,700772.88,694929.41,728389.83,749907.48,711536.45,762144.23,820299.33,822418.17,786269.33,845583.53,850849.17,918989.42,874866.19,939994.9,987386.49,868575.68,909427.78,1006042.72,875024.84,1658024.69,2018354.59,1892849.02,2022340.5,2104013.49,2125642.06,2256424.75,2369889.37,2396748.22,2526458.58,2646309.29,2713147.21
