报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31
一、营业总收入,22197.81,48331.65,74323.6,106078.65,29625.21,62232.98,95341.74,131127.21,34744.25,76622.98,118913.27,168633.61,46704.53,98741.75,150182.35,210098.23,61815.5,122658.44,179315.6,250578.49,67024.75,138994.49,195683.34,271366.31,65751.7,139883.68,214269.4,311938.13,79773.84,173962.53,265991.13,365411.46,98110.78,205344.64,306539.94,421336.03,112545.68,237738.44,350105.86,486053.24,141885.22,290982.76,418281.87,577572.82,163032.22,332676.14,489893.22,668560.07,181964.83,371373.86,555995.23,765275.46
营业收入,22197.81,48331.65,74323.6,106078.65,29625.21,62232.98,95341.74,131127.21,34744.25,76622.98,118913.27,168633.61,46704.53,98741.75,150182.35,210098.23,61815.5,122658.44,179315.6,250578.49,67024.75,138994.49,195683.34,271366.31,65751.7,139883.68,214269.4,311938.13,79773.84,173962.53,265991.13,365411.46,98110.78,205344.64,306539.94,421336.03,112545.68,237738.44,350105.86,486053.24,141885.22,290982.76,418281.87,577572.82,163032.22,332676.14,489893.22,668560.07,181964.83,371373.86,555995.23,765275.46
二、营业总成本,19735.01,40910.47,65101.52,94922.46,26552.43,54758.84,84942.26,115958.45,30334.87,63470.55,98470.25,140028.6,37844.68,79158.93,122884.76,174901.08,51563.45,104627.21,156732.07,223030.32,58678.61,122172.02,175457.51,244359.56,59537.53,128044.27,198092.86,290770.61,74243.52,162111.88,250193.17,344591.72,90881.49,188315.91,282939.64,388196.95,99355.39,207712.63,307521.6,426467.77,119118.2,243829.33,351084.56,486383.49,134598.11,277909.0,415725.38,574998.41,153490.68,314701.33,475854.19,659583.93
营业成本,15021.66,32358.49,51158.69,73805.92,20671.01,41744.87,64495.14,86539.85,22959.93,48953.32,75986.84,106626.75,30084.57,63119.45,97802.74,139182.73,41888.14,83615.46,123756.95,176778.54,46312.47,96426.09,136593.87,188529.81,44126.54,95489.99,149898.05,220639.2,54327.96,120508.65,187527.75,258373.66,68438.52,143056.33,216517.88,295420.17,77178.46,162474.49,238090.47,327519.56,91991.77,185665.86,265139.2,360183.31,103149.27,210969.3,315004.41,425759.86,115682.59,236812.61,359187.91,497397.96
营业税金及附加,98.94,243.99,562.27,809.96,202.01,399.86,696.73,952.62,156.75,433.84,711.51,1157.13,235.46,763.66,1014.95,1191.24,216.81,788.3,1246.69,1587.5,448.97,950.52,1541.66,1909.72,348.8,835.68,1341.78,1850.48,534.23,1074.22,1566.43,2398.7,545.02,1135.58,1696.08,2334.4,564.58,1273.31,1998.27,4721.18,1530.69,3071.02,4465.5,6162.35,1955.39,3498.82,5031.36,6702.66,1995.48,3385.06,5189.97,6919.42
销售费用,2581.93,5229.58,8435.53,13131.8,3251.27,7453.1,11880.47,17076.23,4374.3,9021.8,13697.74,19989.69,4391.76,9482.19,14868.18,21118.89,5568.78,11851.96,18384.29,27163.94,6933.59,14496.66,23079.8,33193.18,8344.76,17910.66,26917.96,36619.09,9747.15,21150.96,31494.09,42824.98,11487.48,22557.13,33090.75,46346.75,12650.47,25684.4,38053.15,55683.27,15696.57,30847.12,44695.45,62883.65,15381.3,33937.46,52224.98,75597.62,20361.75,41490.88,63854.55,88507.55
管理费用,1511.38,2822.89,3968.51,5730.01,1536.7,3007.86,4928.73,7308.53,1749.44,3509.83,5503.19,8799.35,1933.45,3942.6,6075.21,9061.33,2329.48,4981.15,8008.11,11016.84,3231.76,6364.12,9538.26,13801.62,3970.37,8978.46,13518.38,23758.27,5730.17,12425.4,19518.77,27447.13,7244.19,15082.72,21926.08,30224.83,7820.77,16167.63,25680.56,35111.3,8285.17,21133.22,31120.53,46047.92,10357.68,22777.96,16444.62,22820.47,6177.42,12672.25,18410.35,25569.83
财务费用,486.92,971.14,1567.69,2215.13,814.44,1964.79,2853.37,3931.41,960.98,1416.57,2349.34,2863.24,975.32,1687.58,2750.91,3983.76,1314.15,2515.08,3915.13,4767.34,1443.95,2904.45,4051.25,6209.45,2555.73,4523.65,6534.86,8094.63,3897.48,6657.82,9828.61,11661.58,2647.51,5703.78,8970.09,11958.8,3007.07,4682.23,6955.57,5892.13,1756.94,3913.93,6360.46,8550.08,3990.69,6871.08,10213.79,12910.12,1936.44,4985.37,5075.61,7842.96
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17030.85,27965.31,7313.99,15355.16,24135.8,33346.21
资产减值损失,34.18,-715.61,-591.17,-770.36,77.0,188.36,87.82,149.81,133.47,135.19,221.62,592.44,224.12,163.45,372.77,363.15,246.09,875.27,1420.9,1716.16,307.88,1030.17,652.67,715.77,191.32,305.82,-118.17,-191.06,6.53,294.83,257.52,1885.67,518.78,780.37,738.75,1912.01,-1865.96,-2569.42,-3256.42,-2459.68,-142.94,-801.81,-696.58,2556.18,-236.22,-145.61,-224.63,3242.38,23.02,0.0,0.0,0.0
