报表日期,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,6447.22,11282.31,10019.97,16299.85,2259.92,5381.7,8351.39,17902.9,4426.45,9567.24,16811.82,37286.08,5468.44,12242.56,23803.34,51040.27,8561.71,17426.45,29973.48,55688.13,7597.14,24473.26,37007.85,65577.77,10242.59,36489.45,59982.76,113530.72,15001.62,48792.24,74846.38,141727.65,19845.54,43931.17,72560.49,121628.28,31738.25,88100.67,158560.03,266767.87,63892.32,136064.62,220605.64,316063.47,68948.64,130217.82,191809.8
收到的税费返还,0.0,163.17,432.43,872.96,111.29,344.04,605.37,827.56,501.07,501.07,680.73,2305.2,391.3,1050.69,1368.5,2589.0,299.37,1467.33,2206.33,3334.88,419.43,1127.84,1921.38,3153.64,881.1,1703.13,3133.06,5054.64,796.32,1706.01,3357.62,6198.87,362.54,1679.16,2455.25,4134.73,1096.83,2055.76,2999.94,3943.33,689.73,2558.02,3755.01,4195.58,682.57,1796.39,3050.63
收到的其他与经营活动有关的现金,445.3,616.98,351.98,677.33,300.1,413.59,743.5,788.98,876.17,1297.53,1265.0,945.37,1162.27,1707.74,1605.83,2522.06,642.15,1105.39,1219.13,944.36,335.27,403.92,618.88,1254.63,278.53,708.63,901.0,1695.56,197.13,809.91,2464.98,1776.69,701.51,1348.18,2013.47,2902.4,1495.3,3981.59,17558.87,10667.49,4287.48,24297.1,18005.69,12721.65,823.53,4631.43,7621.35
经营活动现金流入小计,6892.52,12062.46,10804.37,17850.14,2671.31,6139.32,9700.26,19519.44,5803.68,11365.85,18757.55,40536.65,7022.01,15000.99,26777.66,56151.33,9503.23,19999.16,33398.94,59967.37,8351.84,26005.01,39548.11,69986.05,11402.22,38901.21,64016.82,120280.92,15995.08,51308.16,80668.98,149703.2,20909.59,46958.51,77029.21,128665.42,34330.37,94138.01,179118.83,281378.69,68869.53,162919.74,242366.34,332980.7,70454.74,136645.63,202481.78
购买商品、接受劳务支付的现金,3140.14,5381.2,5634.35,8653.63,1708.12,4341.87,6858.82,11819.52,3812.56,8761.82,13698.93,20294.86,9530.65,14888.2,23554.27,35754.64,9402.38,15109.75,25530.5,32568.47,8933.96,19513.92,31558.23,42277.8,9811.06,23324.92,38323.61,56004.66,17636.15,29375.28,46878.77,80266.68,14948.31,29850.1,51052.35,75807.25,23609.83,64079.9,130255.83,190758.82,54789.55,109539.12,167550.73,228421.67,44016.36,89880.21,138421.12
支付给职工以及为职工支付的现金,246.5,1069.44,1281.08,1668.18,724.0,1294.42,1849.82,2568.58,967.34,1497.28,2256.61,4505.35,2188.69,3745.3,5636.39,8327.58,3393.14,5399.57,7309.87,9675.54,3715.74,6181.06,8687.36,11979.38,5137.86,8735.32,12458.03,16666.27,6698.93,11768.72,16468.2,22033.02,7977.04,13341.34,18403.0,24595.92,7033.03,15862.88,23400.02,32588.58,9796.13,20642.96,28931.35,37874.12,11960.26,20634.72,28826.77
支付的各项税费,207.6,1307.01,1069.96,1922.6,338.71,818.09,1453.86,2254.26,950.46,1857.94,3143.18,4505.03,1874.86,3158.91,4285.5,6373.47,1951.33,3190.21,4152.34,5675.65,1011.81,2027.51,3241.32,4979.24,1678.78,3834.03,6383.47,8830.66,1601.83,4120.24,7250.14,11158.73,2195.63,4500.27,5991.66,8707.66,2943.39,6346.42,8790.76,10903.48,3387.85,6472.92,9380.82,15345.11,1089.14,2706.95,4162.91
支付的其他与经营活动有关的现金,1584.67,1692.78,1884.22,2609.74,787.55,1467.56,2454.29,3177.53,1830.27,3441.96,5815.45,7352.48,3020.49,5304.32,7405.98,9568.22,1600.81,3594.9,5720.86,8514.81,1979.35,3711.5,6786.14,11136.37,2064.18,3271.91,7178.18,12339.25,2579.69,5267.47,9874.71,10613.59,3509.06,6626.64,10569.89,14845.2,4607.33,19648.6,30245.51,18597.74,1297.12,26542.24,26703.16,29953.14,3086.72,8465.45,14539.05
经营活动现金流出小计,5178.9,9450.43,9869.6,14854.14,3558.38,7921.94,12616.8,19819.9,7560.64,15558.99,24914.18,36657.72,16614.69,27096.73,40882.13,60023.91,16347.66,27294.43,42713.58,56434.46,15640.88,31434.0,50273.04,70372.78,18691.88,39166.18,64343.29,93840.84,28516.6,50531.72,80471.83,124072.01,28630.03,54318.35,86016.91,123956.03,38193.58,105937.81,192692.13,252848.62,69270.65,163197.24,232566.06,311594.04,60152.47,121687.33,185949.84
经营活动产生的现金流量净额,1713.62,2612.03,934.76,2995.99,-887.07,-1782.62,-2916.54,-300.46,-1756.96,-4193.15,-6156.63,3878.93,-9592.68,-12095.74,-14104.47,-3872.58,-6844.43,-7295.26,-9314.64,3532.91,-7289.04,-5428.99,-10724.93,-386.73,-7289.66,-264.97,-326.47,26440.08,-12521.52,776.45,197.15,25631.19,-7720.44,-7359.84,-8987.7,4709.39,-3863.21,-11799.8,-13573.29,28530.06,-401.12,-277.5,9800.28,21386.66,10302.27,14958.31,16531.94
