报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
货币资金,34407.62,34850.81,21992.1,33892.93,42046.99,44988.46,64643.25,94016.57,194938.21,198280.0,86421.16,59335.5,83047.49,53975.03,57514.42,50968.43,55042.95,69958.94,53986.21,70688.56,80370.42,113770.47,115893.55,137166.25,214371.09,190661.37
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141809.83,106680.16,101859.05,127779.88,126234.8,112509.77,109610.29,67804.41,84194.46
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,28148.42,0.0,21585.53,0.0,19779.58,0.0,18391.14,21764.64,20272.91,23770.78,30290.58,28322.88,24191.54,24027.85,21044.36,34367.85,20471.96,26441.92,19548.37,53012.59
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,1777.01,1919.12,2229.26,2100.86,2291.41,2457.0,28148.42,18221.43,21585.53,20794.88,19779.58,22321.94,18391.14,21764.64,20272.91,23770.78,30290.58,28322.88,24191.54,24027.85,21044.36,34367.85,20471.96,26441.92,19548.37,53012.59
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,22.35,19.91,129.01,181.83,160.29,288.36,152.81,256.04,400.46,294.45,988.24,448.67,583.31,574.77,667.93,1146.33,1874.39,1835.65,1663.21,2445.41,3587.24,4575.72,5479.64,6214.47,9083.92,6991.76
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,649.66,0.0,1016.25,0.0,1256.91,0.0,1639.19,1819.1,2209.81,1958.22,3088.72,3053.13,3414.96,3537.64,3665.91,4375.04,7210.21,9221.1,10194.72,4984.75
应收利息,26.86,28.33,44.65,92.09,131.64,217.81,392.74,365.96,347.77,459.34,579.56,392.75,190.01,128.68,105.94,78.79,70.95,59.2,57.75,67.02,0.0,0.0,0.0,0.0,0.0,0.0
