报表日期,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业收入,7730100.0,10888700.0,12667900.0,14471400.0,17337900.0,13918753.0,18970700.0,9278100.0,18880900.0,5245000.0,10597300.0,16134500.0,22457200.0,6323900.0,13240800.0,19652300.0,26099500.0,6847400.0,14160600.0,21055800.0
利息净收入,7308600.0,10349700.0,12125000.0,13897300.0,16781600.0,13208369.0,17925900.0,8163700.0,15758600.0,4194900.0,8751400.0,13653900.0,18811500.0,0.0,0.0,17381700.0,23412200.0,5912900.0,11908200.0,17918000.0
其中：利息收入,11406800.0,16619500.0,21318300.0,24214500.0,28178000.0,22468261.0,30056100.0,14227600.0,27819800.0,7062300.0,14534800.0,22372600.0,30528500.0,0.0,0.0,26695500.0,36016600.0,9302400.0,19029700.0,28900700.0
减：利息支出,4098200.0,6269800.0,9193300.0,10317200.0,11396400.0,9259892.0,12130200.0,6063900.0,12061200.0,2867400.0,5783400.0,8718700.0,11717000.0,0.0,0.0,9313800.0,12604400.0,3389500.0,7121500.0,10982700.0
手续费及佣金净收入,372500.0,503900.0,509000.0,596500.0,647900.0,609070.0,867200.0,586600.0,1149800.0,408300.0,703300.0,1030200.0,1273700.0,0.0,0.0,1131000.0,1443400.0,490800.0,933900.0,1344800.0
其中:手续费及佣金收入,816200.0,1034500.0,1025500.0,1168200.0,1311200.0,1242173.0,1627200.0,988900.0,2101500.0,645000.0,1156800.0,1741100.0,2359100.0,0.0,0.0,2256600.0,2914100.0,877300.0,1670000.0,2453300.0
减：手续费及佣金支出,443700.0,530600.0,516500.0,571700.0,663300.0,633103.0,760000.0,402300.0,951700.0,236700.0,453500.0,710900.0,1085400.0,0.0,0.0,1125600.0,1470700.0,386500.0,736100.0,1108500.0
汇兑收益,600.0,500.0,8600.0,5700.0,6200.0,22303.0,16500.0,11300.0,298700.0,0.0,0.0,0.0,-187600.0,0.0,0.0,0.0,264100.0,0.0,68600.0,0.0
投资净收益,39700.0,14000.0,12400.0,-38800.0,-126900.0,41784.0,118300.0,450700.0,1635100.0,539500.0,983500.0,1224900.0,2429000.0,0.0,0.0,316500.0,2262800.0,375100.0,816600.0,1114300.0
其中:对联营公司的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
