报表日期,2007-12-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,16830580.5,9524591.5,14123993.74,20209679.9,4372210.7,11132757.2,17619538.1,26037963.5,6236660.0,15824163.6,24663314.1,37041753.3,8723074.4,21826979.4,34179764.6,48283663.7,10433593.5,25349200.5,39392642.0,57151583.5,12668483.9,30193393.7,47989232.6,68104799.0,16394607.0,37494094.4,56604737.3,80002875.3,19376729.9,41373388.7,61134173.1,88057713.4,21406349.8,46969479.9,67020068.7,95976548.6,23482734.2,52525469.2,77089943.0,105410650.3,27016069.9,58892676.7,84051010.2,119932452.5,29757676.9,68541931.5,97359911.9
营业收入,16830580.5,9524591.5,14123993.74,20209679.9,4372210.7,11132757.2,17619538.1,26037963.5,6236660.0,15824163.6,24663314.1,37041753.3,8723074.4,21814053.2,34179764.6,48283663.7,10433593.5,25349200.5,39392642.0,57151583.5,12668483.9,30193393.7,47989232.6,68104799.0,16394607.0,37494094.4,56604737.3,80002875.3,19376729.9,41373388.7,61134173.1,88057713.4,21406349.8,46969479.9,67020068.7,95976548.6,23482734.2,52525469.2,77089943.0,105410650.3,27016069.9,58892676.7,84051010.2,119932452.5,29757676.9,68541931.5,97359911.9
二、营业总成本,15951419.1,9099993.6,13646162.38,19565622.1,4192645.44,10617808.5,16862023.9,24781281.5,5948109.4,15035073.8,23513493.2,35315809.3,8310717.9,20719897.2,32486582.2,45945382.7,10014915.6,24149011.1,37590606.5,54533130.5,12069660.0,28769531.8,45830118.8,64824449.6,15618620.7,35522332.5,53905239.4,75991409.0,18430406.7,38918496.9,57821441.4,83473922.5,20368689.8,44289706.0,63558960.4,91549063.5,22346896.6,49610199.9,73037612.7,99859304.7,25713152.4,55502537.1,79440830.1,113332948.9,28346681.0,64575674.8,91947878.2
营业成本,14718496.9,8321183.1,12466890.85,17919801.7,3838934.22,9771845.5,15579675.8,22873805.8,5501075.1,13930923.8,21811830.6,32564984.8,7676060.4,19207525.6,30153805.2,42470383.9,9189541.3,22291665.7,34700467.3,50183538.7,11146731.3,26566019.0,42512569.8,60021983.5,14550372.1,32860961.6,50156017.3,69936400.0,17196844.9,36298777.6,54142034.2,77103877.0,19157123.3,42157736.3,60677282.7,86278832.7,21384145.2,47055740.3,69719210.1,94353912.1,24620477.1,52706952.9,75230259.6,105670959.0,27098452.0,61600079.2,87202149.2
营业税金及附加,636389.7,383311.4,535109.85,769753.4,149355.58,426850.0,646585.4,1004922.9,218125.6,616372.6,962397.9,1512285.8,316679.8,900728.6,1346608.9,1895979.4,398240.7,935593.4,1485142.0,2205694.7,454105.7,1112996.9,1722093.5,2473939.7,574790.7,1403299.2,1992818.7,3089183.1,656794.0,1302175.5,1831253.8,3196164.0,633027.7,575477.1,562502.4,1829718.1,208198.5,650549.0,861981.4,1406833.0,198925.4,680419.4,1017309.0,1619499.7,228086.2,765993.6,1253800.4
销售费用,60048.0,30018.4,69565.18,83108.5,14473.33,29274.1,50150.4,74799.8,13037.1,33841.3,43212.9,93214.7,13539.1,34286.4,51259.5,92026.1,19470.6,48122.6,83510.1,129867.2,34261.3,59912.0,104846.3,166242.6,30545.0,65056.9,107863.9,209882.6,32981.9,97690.0,144200.8,237030.7,35673.4,106130.1,180777.5,320760.8,70670.8,128803.5,191494.8,348782.0,79206.5,146068.7,232320.8,364988.6,90161.5,186483.4,288907.2
管理费用,371581.6,280865.7,430842.37,612006.3,148362.76,300337.0,477344.5,684176.4,196000.6,367778.3,594390.7,919458.1,251950.1,491127.4,796510.4,1113793.9,307068.0,622716.4,966571.1,1340225.7,366386.2,700354.7,1074416.7,1454921.0,363066.3,749838.6,1118615.7,1560577.3,397127.3,759849.9,1171068.8,1718633.3,432892.9,827479.0,1276702.3,1771752.9,519930.5,999811.5,1405102.0,2050877.4,624523.9,1090095.0,1642819.0,2335189.3,703575.7,1281044.7,1865502.7
财务费用,120449.8,73553.2,139195.84,139994.2,42446.3,78549.9,98873.5,82920.0,11160.5,36044.7,50319.8,95420.2,40228.7,45681.5,98001.5,290152.9,84966.0,213216.5,313912.6,412544.3,59845.1,185271.9,288922.7,540720.0,82158.8,239113.8,350013.0,742939.7,113987.3,294644.0,378131.1,842586.6,129771.5,314320.4,453317.8,811444.2,136107.3,453935.4,552072.3,993951.1,160457.1,538868.2,964478.6,1533627.8,165131.3,415635.6,760040.3
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77846.3,126189.4,762094.6,67477.2,326438.3,577478.4
资产减值损失,44453.1,11061.8,4558.29,40958.0,-926.75,10952.0,9394.3,60656.6,8710.5,50113.1,51341.3,130445.7,12259.8,40547.7,40396.7,83046.5,15629.0,37696.5,41003.4,261259.9,8330.4,144977.3,127269.8,166642.8,17687.8,204062.4,179910.8,452426.3,32671.3,165359.9,154752.7,375630.9,-19799.0,308563.1,408377.7,536554.8,27844.3,321360.2,307752.1,704949.1,29562.4,262286.6,227453.7,1046589.9,-34926.5,0.0,0.0
