报表日期,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
其中：非流动资产处置损失,1.97,3.57,0.88,0.27,0.67,1.03,1.25,0.1,0.21,0.36,0.56,0.67,0.31,0.61,9.51,0.46,14.41,14.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,5321.84,8257.97,9221.18,456.27,2379.53,3489.18,10491.05,408.88,2811.58,3861.73,10854.9,562.17,2267.38,3293.54,11385.89,1894.46,3077.69,6107.21,20112.99,5629.7,11061.59,19129.72,36073.01,7328.47,15770.32
减：所得税费用,2325.33,2136.66,2406.17,193.13,646.34,1019.16,2775.61,123.32,775.14,1124.23,2656.85,263.28,613.21,890.85,2241.92,437.62,829.25,1350.52,3028.13,1087.32,2059.99,3984.18,7350.21,1489.33,3278.98
五、净利润,2996.52,6121.31,6815.0,263.14,1733.19,2470.02,7715.44,285.56,2036.44,2737.49,8198.05,298.88,1654.17,2402.7,9143.97,1456.84,2248.44,4756.69,17084.86,4542.38,9001.6,15145.54,28722.8,5839.14,12491.35
归属于母公司所有者的净利润,2996.52,6170.35,6695.64,280.9,1657.26,2422.63,7500.63,287.51,2068.93,2852.37,8253.25,559.23,2142.14,3002.89,10039.14,1730.1,2575.02,4862.45,16475.56,3792.87,7211.53,12659.16,26048.19,5023.83,9722.45
少数股东损益,0.0,-49.04,119.36,-17.76,75.92,47.39,214.81,-1.96,-32.48,-114.88,-55.2,-260.35,-487.97,-600.19,-895.17,-273.26,-326.58,-105.76,609.3,749.51,1790.08,2486.38,2674.62,815.31,2768.89
基本每股收益(元/股),0.254,0.5142,0.5579999999999999,0.02,0.1381,0.2,0.6251,0.02,0.16,0.21,0.55,0.03,0.13,0.19,0.6109,0.1,0.05,0.09,0.3094,0.06,0.13,0.24,0.4894,0.0921,0.18
稀释每股收益(元/股),0.254,0.5142,0.5579999999999999,0.02,0.1381,0.2,0.6251,0.02,0.13,0.18,0.55,0.03,0.13,0.19,0.6109,0.1,0.05,0.09,0.3094,0.06,0.13,0.24,0.4894,0.0921,0.18
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.57,0.0,0.0,0.0,-26.18,-537.59,0.0,0.0,-302.72,-306.24,-629.74
八、综合收益总额,2996.52,6121.31,6815.0,263.14,1733.19,2470.02,7715.44,285.56,2036.44,2737.49,8198.05,298.88,1654.17,2402.7,9154.55,1456.84,2248.44,4756.69,17058.68,4004.79,9001.6,15145.54,28420.08,5532.89,11861.6
归属于母公司所有者的综合收益总额,2996.52,6170.35,6695.64,280.9,1657.26,2422.63,7500.63,287.51,2068.93,2852.37,8253.25,559.23,2142.14,3002.89,10049.71,1730.1,2575.02,4862.45,16435.21,3357.72,7211.53,12659.16,25862.74,4862.34,9346.36
归属于少数股东的综合收益总额,0.0,-49.04,119.36,-17.76,75.92,47.39,214.81,-1.96,-32.48,-114.88,-55.2,-260.35,-487.97,-600.19,-895.17,-273.26,-326.58,-105.76,623.47,647.07,1790.08,2486.38,2557.35,670.55,2515.24
