报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
货币资金,209653.04,368765.95,144653.08,309963.74,536876.39,195684.75,326499.35,810002.9,624050.94,585640.15,646516.63,597498.44,644929.53,602468.47,530497.15,570218.81,696931.24,754954.55,417700.71,454059.59,525746.85,600865.55,510230.48,554820.09,1667778.05,1587336.02,1305292.87,979868.21,1043271.64,1118292.69,804542.16,661740.78,952370.07,1039387.84,846064.89,1157575.17,1050350.34,1144864.56,716970.9,915004.6,1631472.84,1523745.6,1088684.43,1366150.1
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.7,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153736.39,123187.15,107554.28,139725.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362317.19,0.0,363795.35,0.0,326099.13,420757.62,322310.53,400417.8,579542.1,473038.04,465728.0,624531.27,519002.51,514892.91,588493.48,700307.27
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4838.52,8558.95,7691.39,9098.73,8925.16,150.0,2772.35,6336.83,18307.49,6249.28,14418.23,19926.81,31242.88,4200.74,5254.08
应收账款,193173.08,207476.23,88909.51,145244.46,85672.3,180830.46,144614.45,140283.77,155972.95,250650.07,109337.28,153736.39,123187.15,107554.28,139325.13,164934.55,161696.35,190884.58,171607.72,187274.53,169513.29,191228.81,236876.89,319190.11,288668.02,322807.88,255516.13,313986.4,362317.19,300063.03,355236.4,379170.04,317000.39,411832.46,322160.53,397645.46,573205.27,454730.55,459478.72,610113.04,499075.7,483650.03,584292.74,695053.18
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22452.67,18656.55
预付款项,104495.5,92554.31,192291.01,238534.97,302941.88,273090.3,132264.09,109578.96,103097.88,165542.64,138930.24,137733.35,113910.61,208116.9,119272.68,179681.98,160982.95,191435.88,166621.59,184811.83,178841.88,197850.08,168159.54,151822.83,195089.85,269540.92,206727.81,215760.14,304569.48,320597.8,377403.99,419798.8,397518.28,495547.45,425141.56,422476.99,434289.66,487076.98,325050.87,542817.16,636355.05,657298.17,416045.89,539510.26
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113483.39,123503.75,140323.46,128133.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128874.44,0.0,98670.35,0.0,151031.63,135094.29,130830.98,104142.23,100984.73,103763.7,93888.43,104318.27,150601.1,116777.51,120773.01,143838.99
应收利息,4159.53,198.85,193.05,0.0,0.0,0.0,155.41,0.0,0.0,0.0,103.95,0.0,0.0,0.0,316.74,0.0,0.0,0.0,421.33,751.25,1110.89,1071.01,1216.75,588.2,580.78,729.48,695.76,795.97,785.61,978.09,865.94,994.31,968.46,92.7,150.85,276.89,159.44,197.78,154.12,290.94,123.54,104.0,0.0,0.0
