报表日期,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31
货币资金,5412.1,6564.21,8755.16,10796.56,7679.27,8783.53,8140.5,12421.85,8041.44,8627.78,9954.43,12341.72,8505.61,6974.26,6880.53,2760.04,6211.66,3049.71,2793.57,4517.58,4096.23,4052.79,11720.61,14572.57,13853.93,14087.47,13425.59,13527.43,13325.47,8184.0,8446.51,1291.27,850.19,795.75,1703.22,1864.54,1360.22,1654.51,1912.13,1512.94
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15076.17,0.0,13869.34,0.0,13620.07,12624.29,9213.25,7444.83,2138.92,2328.03,2177.46,2650.39,3051.71,3091.61,2714.05,2910.71,3239.73,3976.75,3229.39,3875.98,3764.45,4817.11,5533.63,4926.03,5785.61,6387.69,5656.49
应收票据,25.0,0.0,0.0,4.0,37.4,34.0,138.0,230.0,318.0,35.0,0.0,210.95,183.15,113.0,233.0,261.87,0.0,120.89,22.05,1587.87,5.0,0.0,100.0,0.0,31.75,0.0,0.0,0.0,17.77,17.77,17.77,0.0,107.6,11.52,126.52,0.0,38.0,66.6,28.15,0.0
应收账款,15279.16,14039.72,10246.82,12129.01,12926.99,12352.03,12752.28,12355.56,13163.69,13662.47,13809.51,13401.42,14009.46,14963.17,14671.51,13607.48,12764.67,13499.18,12602.24,7625.38,7439.83,2138.92,2228.03,2177.46,2618.64,3051.71,3091.61,2714.05,2892.94,3221.96,3958.98,3229.39,3768.38,3752.94,4690.59,5533.63,4888.03,5719.01,6359.54,5656.49
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,1752.8,2192.13,2268.41,144.81,118.43,127.85,71.88,873.61,827.66,833.19,839.63,38.55,32.71,6.99,12.37,54.34,1042.18,1035.7,1035.94,187.83,243.67,215.15,1206.52,194.15,186.2,297.38,260.34,101.96,182.59,26.53,63.62,99.75,56.43,68.88,192.89,256.34,285.06,321.09,281.88,177.65
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.91,0.0,7102.49,0.0,1303.47,1539.99,312.31,1826.76,1813.48,2059.19,306.38,233.69,582.81,1673.2,75.96,138.95,4981.79,279.18,1923.0,1891.95,1728.6,2019.48,2796.19,3061.43,2817.83,2670.03,944.0
应收利息,0.0,0.0,0.0,3.31,0.0,0.0,13.32,0.0,20.48,25.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
